Date/Time, 2020-06-13_21:13
1600,65.68
200,26.16
100,19.16
100,18.41
400,38.22
400,39.29
200,26.64
800,53.87
1600,66.69
800,56.48
100,21.83
400,33.97
200,26.63
100,22.24
1600,66.02
200,25.51
800,53.01
400,40.81
1600,65.85
800,52.79
800,49.73
1600,64.98
100,19.00
200,24.51
400,34.80
100,20.76
200,25.84
800,52.94
400,40.24
1600,66.77
100,18.49
200,25.84
400,38.99
800,50.29
100,20.64
1600,68.29
200,26.29
400,36.30
800,45.64
1600,61.21
100,21.25
400,44.02
200,26.68
400,42.83
100,22.64
800,53.01
1600,60.73
200,29.40
800,48.75
1600,63.14
100,19.52
200,26.04
400,38.44
800,49.16
100,20.00
1600,58.93
200,28.05
400,42.21
100,23.93
200,26.17
800,52.92
1600,61.27
400,34.72
200,25.13
1600,65.33
100,20.89
400,35.37
400,38.30
800,52.24
100,19.97
800,48.20
200,26.39
1600,64.15
100,20.67
200,31.02
800,48.59
1600,63.70
100,21.45
200,27.97
400,34.12
800,54.19
1600,62.36
400,37.11
100,21.52
100,20.33
800,45.73
800,51.38
200,35.62
1600,64.40
400,41.88
200,27.15
1600,63.67
400,37.36
800,52.68
100,21.19
200,25.32
1600,62.97
400,39.48
100,21.21
800,52.83
1600,63.41
200,29.74
400,39.92
1600,64.10
800,47.53
100,21.74
200,30.06
400,39.19
100,21.08
1600,60.86
800,55.64
200,26.81
400,35.57
1600,63.45
800,48.12
1600,64.91
100,20.30
200,26.87
400,40.52
100,21.53
800,50.68
400,37.88
200,26.35
800,52.65
100,19.36
1600,67.08
400,36.86
200,29.41
800,50.57
100,18.00
1600,62.76
200,32.90
400,36.05
800,51.78
1600,60.47
100,20.35
200,25.23
400,39.95
800,49.11
100,19.56
800,48.86
200,26.44
200,25.91
400,38.05
1600,71.56
100,18.03
400,41.74
400,35.44
100,19.83
800,50.78
1600,66.64
200,32.77
1600,66.87
800,53.59
100,20.69
200,28.10
400,36.34
100,22.06
800,46.19
1600,67.55
200,28.03
400,36.57
1600,60.13
1600,59.99
100,19.46
200,27.44
800,52.85
400,37.11
100,20.39
200,27.26
1600,63.74
800,51.67
400,43.04
800,58.66
1600,61.92
100,19.25
200,25.30
800,49.58
400,42.55
100,20.00
1600,63.49
200,26.26
1600,71.29
400,33.95
1600,64.90
800,53.00
100,24.10
200,25.40
400,35.43
200,28.10
100,18.98
800,53.83
400,37.75
800,53.07
100,20.03
1600,66.81
200,26.46
400,42.36
200,27.79
100,21.83
800,53.22
1600,63.52
400,36.26
800,47.72
100,22.46
1600,63.15
200,26.45
400,34.29
800,52.09
200,26.08
400,35.76
800,52.52
1600,62.37
100,20.51
100,20.95
1600,63.29
200,27.74
400,39.12
800,47.68
1600,63.17
100,19.96
200,30.57
400,39.25
1600,61.57
100,23.31
800,60.74
200,27.23
400,38.92
800,51.98
100,22.22
1600,64.58
200,26.99
800,48.40
400,37.99
800,50.85
100,22.19
1600,64.05
200,28.62
400,38.28
100,21.14
1600,63.27
400,39.17
200,25.44
800,50.95
1600,64.77
100,18.54
400,35.18
200,26.20
800,45.54
100,18.54
200,28.19
1600,63.64
400,33.70
800,48.15
100,19.12
1600,64.44
200,30.25
400,35.59
800,49.77
100,22.71
1600,63.81
200,29.89
400,33.47
800,51.75
100,19.99
1600,63.10
200,29.80
800,51.40
400,38.73
100,19.43
200,24.81
1600,62.58
400,35.61
800,56.27
100,19.41
1600,67.32
200,28.84
400,36.76
800,50.60
100,19.06
200,33.17
1600,60.91
400,36.03
800,50.64
1600,62.29
100,20.72
200,25.57
800,45.50
400,40.43
100,23.01
200,30.90
800,47.97
400,38.51
400,32.93
100,20.52
1600,67.56
200,30.53
1600,63.85
800,52.28
200,31.18
100,18.20
1600,63.67
400,37.50
800,54.45
1600,63.11
200,29.40
100,22.17
400,41.35
800,49.46
1600,62.24
100,20.01
1600,62.56
400,41.77
