Date/Time, 2020-06-02_20:38
1600,82.07
1600,82.61
800,81.02
800,81.80
400,78.90
400,79.03
200,79.17
200,75.16
100,66.12
100,68.74
1600,82.38
800,81.68
100,72.31
400,79.18
200,76.18
1600,81.87
800,80.42
400,78.84
100,71.59
200,75.26
1600,83.21
800,81.22
1600,82.66
200,76.23
400,79.43
100,73.28
800,81.03
100,67.87
400,78.93
200,77.97
1600,82.37
800,81.27
100,72.89
200,76.13
400,79.09
1600,82.39
800,80.81
100,65.02
400,78.32
200,75.61
1600,82.80
800,80.61
400,78.26
100,72.62
200,76.21
1600,82.05
800,80.21
400,78.97
200,76.14
100,67.12
1600,82.38
800,81.39
400,80.54
100,75.85
200,75.94
1600,82.81
800,81.18
100,71.64
400,78.39
200,76.53
1600,82.37
800,80.66
100,75.79
200,78.24
400,79.53
1600,82.83
800,81.03
200,75.10
400,78.56
100,75.25
1600,82.27
800,81.50
100,69.94
400,79.01
200,77.84
1600,82.31
800,79.91
100,64.46
400,80.16
200,77.80
1600,82.27
800,81.08
100,68.45
400,79.88
200,75.56
1600,82.56
800,81.37
400,78.90
100,69.53
200,78.21
1600,82.40
800,80.64
100,69.82
400,79.72
200,77.25
1600,82.12
800,80.38
200,75.64
400,79.02
100,71.47
1600,81.82
800,80.60
100,66.00
1600,81.99
200,78.41
400,80.24
800,80.63
100,72.36
400,79.12
200,77.49
1600,82.49
100,71.00
800,80.65
200,76.29
1600,82.64
400,80.74
800,80.77
100,72.95
400,77.69
200,75.87
1600,82.11
800,80.48
400,79.44
100,69.32
200,77.06
1600,83.00
800,81.51
100,69.63
400,80.16
200,76.56
1600,82.44
800,81.12
100,62.55
200,77.44
400,79.15
1600,81.92
800,80.70
400,78.12
100,71.85
200,77.27
1600,82.30
800,80.34
400,79.27
100,69.43
200,77.08
1600,82.31
800,80.58
200,76.80
100,71.68
400,79.41
1600,82.01
800,80.34
400,80.12
100,67.66
200,78.21
1600,82.33
800,81.20
400,78.33
100,70.45
200,79.05
1600,82.56
800,80.22
400,79.77
100,75.63
200,76.33
1600,82.42
800,81.09
400,79.95
100,73.01
200,75.90
1600,82.00
100,70.25
800,81.42
200,79.81
400,78.45
1600,82.07
800,81.19
100,72.05
400,79.60
200,75.10
1600,82.58
800,81.11
