Date/Time, 2020-06-03_16:48
1600,82.11
200,66.87
200,70.05
1600,82.30
800,79.02
400,75.97
100,58.51
800,80.72
100,48.00
400,76.42
100,54.20
200,65.50
400,76.23
800,77.99
100,56.66
200,65.24
800,79.14
400,74.91
100,53.08
1600,80.94
1600,82.07
200,66.09
800,77.82
200,67.96
400,75.98
100,56.32
800,79.04
1600,82.22
200,65.40
400,74.61
100,46.66
1600,81.50
400,76.46
800,79.55
800,79.05
1600,80.87
100,55.40
200,66.83
400,73.52
100,59.95
1600,81.56
200,69.13
800,79.07
400,74.93
1600,81.57
100,52.41
400,74.77
100,50.11
800,79.69
1600,81.52
200,64.85
1600,81.46
400,74.72
200,65.39
800,79.45
100,51.50
800,80.31
200,68.14
100,48.74
400,74.28
1600,81.76
200,64.08
800,80.02
400,76.28
1600,81.91
100,49.52
400,75.82
200,66.60
800,79.48
200,66.34
1600,82.00
100,54.87
1600,81.78
400,74.10
800,80.12
200,66.45
400,76.60
100,48.91
800,79.70
1600,81.87
100,56.85
800,79.37
200,66.89
400,76.67
100,48.71
1600,81.26
400,76.53
200,67.59
1600,81.60
800,80.17
400,76.38
800,79.19
100,42.44
200,69.36
100,45.04
1600,82.06
200,67.99
800,80.82
400,76.41
1600,81.00
100,46.68
800,79.02
200,71.86
400,74.89
400,74.52
100,56.99
1600,81.50
200,65.28
800,80.08
1600,80.87
100,56.61
200,68.86
200,67.85
400,75.70
800,80.31
1600,81.32
100,53.51
800,78.82
400,73.91
100,53.29
1600,81.08
200,69.09
100,46.84
400,76.34
800,79.42
1600,81.46
200,66.84
800,80.23
400,75.49
1600,81.91
100,47.01
800,77.95
400,73.26
200,68.08
1600,81.63
400,74.81
200,66.91
100,55.34
800,79.99
200,66.52
1600,81.76
100,55.36
400,75.08
800,78.76
100,48.36
1600,81.57
200,66.69
1600,81.87
400,76.79
800,79.80
200,70.16
100,45.94
400,75.83
100,58.42
1600,80.54
800,79.49
1600,82.35
200,69.42
400,76.54
100,51.06
800,80.68
200,63.06
400,74.33
800,79.46
1600,81.49
100,56.10
200,70.71
400,74.96
1600,80.77
800,80.20
100,56.43
200,73.06
400,74.34
800,78.26
800,80.79
1600,81.33
100,54.81
200,66.42
400,76.87
200,63.42
1600,81.71
100,49.63
800,80.14
400,77.36
200,65.07
1600,81.99
100,50.91
400,77.02
800,79.82
1600,81.93
800,80.82
100,48.27
200,67.95
100,56.12
400,76.69
200,68.65
1600,81.16
400,77.27
800,80.22
800,78.85
1600,81.87
400,76.06
100,51.78
200,67.66
200,66.88
1600,82.38
400,76.85
100,57.12
200,67.35
1600,81.64
100,48.86
800,79.95
400,76.44
800,79.92
1600,81.93
100,50.08
200,68.11
400,75.74
200,66.61
1600,81.99
100,54.03
800,78.68
400,75.16
800,79.10
1600,81.02
200,67.28
100,60.28
400,73.77
100,51.48
1600,81.34
800,79.26
200,65.22
400,75.21
1600,81.35
100,58.84
800,79.80
800,79.40
200,68.67
400,75.24
1600,81.19
100,51.96
1600,81.44
100,51.43
200,68.62
400,76.25
800,80.59
400,75.57
200,65.04
800,79.02
400,74.64
1600,81.29
100,44.85
1600,82.01
100,47.57
800,80.28
200,63.29
200,65.58
1600,81.66
800,78.16
400,75.77
1600,81.87
100,60.63
200,63.88
400,76.22
800,78.68
100,55.31
200,68.39
400,75.80
800,80.77
100,46.65
1600,81.88
200,64.55
1600,82.05
400,76.69
800,80.16
100,54.80
400,77.89
200,65.28
1600,81.60
800,79.26
400,75.04
100,56.52
200,68.64
800,80.42
100,53.05
1600,81.62
200,67.95
100,50.03
400,77.06
800,79.71
400,76.68
1600,80.61
200,71.15
1600,81.68
100,56.12
800,78.97
800,80.45
400,75.21
200,68.20
200,66.65
1600,81.68
100,52.32
400,75.54
400,74.18
800,78.53
800,78.64
100,52.65
1600,81.88
200,68.39
1600,80.63
200,65.38
100,53.39
400,75.78
100,51.20
800,78.63
800,79.69
1600,81.25
400,74.43
200,66.20
200,66.91
100,51.65
1600,81.30
400,75.21
200,67.92
800,80.31
1600,81.32
100,50.63
400,77.12
800,79.96
100,57.94
1600,82.08
800,80.95
200,67.22
400,76.07
1600,81.94
200,67.33
100,51.35
400,74.43
100,48.35
1600,81.53
800,79.98
400,76.25
200,67.69
800,79.41
100,51.74
1600,81.95
200,68.63
400,76.94
100,56.47
1600,82.11
800,80.42
200,66.52
800,80.53
1600,81.82
400,75.97
400,75.62
100,55.47
200,61.75
100,57.22
1600,81.51
800,79.36
400,76.33
200,68.67
100,58.86
800,80.48
1600,81.46
200,68.89
400,74.13
200,66.13
800,80.05
1600,82.29
100,47.11
1600,81.31
400,75.48
800,79.98
100,46.57
200,70.53
400,77.61
800,79.00
400,76.61
200,71.67
1600,81.93
100,58.43
1600,81.49
800,80.72
800,79.86
100,55.67
200,65.78
1600,81.33
400,77.34
400,77.15
100,46.09
800,79.04
200,68.94
400,76.03
1600,82.23
100,51.93
200,68.73
1600,81.12
800,80.26
400,76.67
100,55.13
800,80.48
200,66.50
1600,81.25
100,51.11
800,79.74
200,68.38
400,77.05
1600,80.90
100,58.94
200,69.24
400,72.56
1600,82.15
800,79.43
100,55.20
800,80.72
200,66.97
400,75.76
1600,81.76
200,68.35
100,56.57
100,53.24
1600,81.07
400,76.16
800,79.72
800,79.79
200,67.95
400,74.42
1600,82.16
100,51.30
100,58.44
200,68.22
800,79.11
400,78.07
1600,81.64
400,77.62
200,67.01
800,79.06
1600,81.41
200,69.50
100,57.80
400,75.34
200,68.56
800,80.74
400,74.49
1600,81.66
800,79.73
100,51.37
1600,81.31
200,64.76
400,73.65
100,53.38
400,75.19
1600,82.00
800,79.57
100,46.16
800,80.49
1600,81.43
200,65.50
1600,82.11
800,80.12
800,79.45
200,66.59
100,54.68
400,76.26
100,50.40
200,70.45
1600,82.01
400,73.72
100,52.00
800,79.86
200,65.99
1600,81.15
400,76.49
400,76.51
200,68.17
100,52.72
800,79.30
1600,81.63
100,49.47
800,79.18
200,64.02
200,66.63
400,74.17
100,54.22
1600,81.05
400,77.16
800,78.74
100,49.13
200,68.20
1600,82.10
400,74.15
800,79.76
1600,81.80
200,63.61
100,54.82
400,75.42
1600,82.04
800,78.35
