Date/Time, 2021-03-22_23:00
100,71.47
800,75.40
200,73.35
400,72.58
100,71.95
1600,75.04
400,73.68
200,75.47
800,73.04
1600,76.21
100,71.27
200,69.73
400,73.49
800,76.26
800,76.85
200,72.73
400,71.62
100,70.47
1600,74.19
1600,73.17
100,71.13
400,75.13
200,71.17
1600,74.79
800,76.07
100,70.37
200,76.79
400,73.58
800,76.87
1600,74.84
100,70.68
400,73.35
200,75.91
800,75.91
200,74.13
100,69.38
1600,74.94
400,73.68
800,73.59
100,69.69
200,71.58
1600,75.31
400,74.86
800,71.97
800,74.59
200,73.52
1600,74.69
400,73.90
100,71.42
100,71.50
1600,75.20
200,72.56
400,74.54
100,71.29
800,75.85
1600,75.36
200,73.36
800,72.14
400,75.75
100,73.20
1600,76.95
200,74.19
400,74.22
200,74.85
800,75.30
1600,76.45
400,76.49
100,69.89
100,74.27
800,74.79
1600,75.23
200,72.45
400,74.33
100,74.15
800,71.80
800,77.35
1600,75.30
100,67.63
200,73.80
400,75.59
1600,75.70
200,71.86
400,72.98
100,75.97
800,74.72
1600,76.31
400,74.19
200,72.94
200,72.49
800,74.09
100,68.81
400,74.22
1600,72.46
800,74.94
1600,75.71
400,75.01
200,73.28
100,68.37
100,71.29
200,73.31
1600,72.84
800,75.17
400,72.04
800,73.85
200,73.50
800,73.98
1600,76.81
100,70.67
400,72.11
100,73.54
1600,75.57
200,71.49
400,75.29
800,74.69
800,74.73
1600,74.69
200,72.17
1600,76.59
100,71.22
400,74.76
200,73.49
100,71.63
400,71.54
1600,74.51
100,74.60
400,74.60
800,75.67
800,74.12
200,72.52
100,70.98
1600,74.44
200,74.58
1600,76.70
800,72.74
400,73.26
200,70.56
800,74.74
100,73.16
400,75.65
1600,75.98
100,71.37
100,74.16
200,74.06
200,74.42
1600,76.47
800,75.83
400,70.83
800,75.16
400,73.49
1600,74.67
100,72.12
200,72.38
800,71.87
400,70.89
1600,76.65
100,74.82
200,72.07
800,76.09
400,76.60
100,72.35
1600,76.10
200,75.50
1600,75.09
800,73.07
200,73.70
400,76.35
100,72.75
400,74.44
100,69.18
1600,77.08
800,74.68
200,73.04
400,72.80
1600,74.68
100,69.70
400,75.79
800,75.02
200,74.67
800,75.32
100,70.37
1600,75.23
200,71.52
400,73.50
800,73.20
200,71.22
800,75.41
1600,74.20
100,76.09
400,72.20
1600,74.20
100,71.53
200,71.52
400,74.35
800,75.48
1600,74.69
100,69.12
200,72.50
400,73.46
800,76.98
1600,74.55
100,74.12
200,71.55
100,72.02
400,73.89
800,74.81
1600,74.66
400,75.51
200,71.00
800,75.06
100,71.58
200,72.51
1600,72.32
400,71.53
800,71.74
200,72.08
1600,76.29
100,68.98
400,73.71
800,74.65
100,72.77
1600,75.32
200,72.92
1600,72.65
400,74.01
800,75.37
800,75.05
100,74.05
200,76.40
1600,74.51
400,75.11
100,68.47
200,71.74
400,74.52
1600,76.18
100,72.17
800,74.63
800,73.37
200,73.04
400,75.88
1600,74.55
100,72.98
400,74.96
200,75.19
800,74.57
1600,74.77
400,72.87
200,72.54
100,70.61
1600,76.64
800,74.65
100,70.29
200,73.68
800,72.30
1600,74.87
100,70.74
400,74.63
200,70.37
400,74.94
800,74.53
1600,75.24
800,75.23
200,72.60
1600,75.19
400,73.45
100,71.65
200,72.01
100,70.32
400,71.51
800,76.79
1600,74.38
100,71.12
200,74.08
200,70.60
400,71.81
800,74.17
100,72.12
1600,74.68
400,72.56
800,74.83
1600,74.78
100,73.17
800,76.08
400,73.43
1600,76.50
100,70.18
200,72.80
200,71.09
400,75.71
1600,74.71
800,73.88
100,71.52
200,73.14
400,74.54
1600,76.35
800,71.91
200,76.56
100,72.22
400,74.08
1600,75.83
800,74.55
100,70.60
200,73.17
400,72.99
1600,75.84
400,73.15
800,75.19
200,73.91
100,69.29
800,77.35
1600,74.05
100,73.73
400,72.81
