Date/Time, 2020-08-20_22:33
200,70.39
800,74.63
100,63.68
400,72.07
1600,76.14
200,67.55
400,71.49
100,66.53
800,75.92
1600,76.73
100,64.97
200,70.81
800,74.40
400,72.44
1600,76.45
100,69.72
200,69.88
400,71.07
800,74.09
1600,76.70
200,69.05
100,68.09
400,71.80
800,74.95
1600,76.96
100,65.94
200,68.83
400,71.52
1600,76.06
800,74.74
100,65.64
200,68.97
400,72.25
1600,76.59
800,73.52
100,63.88
200,71.09
400,71.49
800,73.74
1600,76.27
100,67.09
200,69.86
800,73.65
400,71.93
1600,76.69
100,66.30
400,71.30
200,69.13
800,74.93
1600,76.49
200,69.02
100,63.95
400,72.75
800,74.31
1600,76.62
100,69.58
200,69.32
400,71.80
1600,76.52
800,74.70
100,67.48
200,67.63
400,72.96
800,74.94
1600,76.70
100,66.89
200,68.30
400,72.14
800,74.65
1600,76.99
100,65.39
200,71.59
400,72.71
800,75.65
1600,76.75
100,65.38
200,69.12
400,73.07
800,73.51
1600,76.25
100,67.75
200,70.38
400,73.11
800,75.27
1600,75.69
100,65.36
200,69.66
400,73.05
800,75.55
1600,76.25
100,63.41
200,70.72
400,73.12
800,75.62
1600,76.51
100,65.73
200,69.40
400,73.09
800,75.22
1600,76.56
100,65.77
200,70.88
400,74.33
800,74.26
1600,76.29
100,70.44
200,68.84
400,71.99
800,75.08
1600,76.64
100,65.38
200,69.24
400,72.64
800,73.88
1600,76.56
100,68.29
200,69.92
400,71.83
800,74.09
1600,76.66
100,65.45
200,69.77
400,72.16
800,74.53
1600,76.25
100,66.26
200,69.44
400,72.21
800,75.01
1600,77.02
100,62.40
200,69.87
800,73.78
400,71.83
1600,76.83
100,66.69
200,69.97
400,71.79
800,73.97
1600,76.51
100,65.85
400,72.20
200,69.94
800,74.05
100,67.70
1600,76.32
200,67.15
400,72.74
800,74.84
1600,76.63
100,64.71
200,72.46
400,72.85
800,74.93
1600,76.42
100,66.37
200,71.23
400,72.34
800,74.32
1600,76.22
100,66.15
200,69.41
400,71.91
800,74.06
1600,76.68
100,66.53
200,70.88
400,72.35
800,74.13
1600,77.34
100,65.37
200,71.18
400,72.42
800,74.44
1600,76.31
100,66.91
200,68.89
400,73.27
800,73.26
1600,77.30
100,66.07
200,69.69
400,73.19
800,74.84
1600,76.65
100,67.13
200,68.32
400,74.04
1600,77.50
800,73.97
200,69.41
100,62.19
400,73.00
800,74.24
1600,76.95
100,65.63
200,66.65
400,71.18
800,74.53
1600,76.33
100,65.44
200,67.34
400,72.63
800,74.76
1600,76.44
100,66.32
200,69.38
400,71.93
800,74.98
1600,76.55
100,67.17
200,67.82
400,71.43
800,73.44
1600,76.17
100,65.81
200,67.89
400,74.06
800,73.32
1600,76.34
100,66.15
400,73.03
200,68.02
800,74.60
1600,76.27
100,65.25
200,69.88
400,71.66
800,74.26
1600,76.41
100,66.72
200,68.23
400,70.99
800,74.62
1600,76.75
100,66.77
400,72.08
200,69.57
800,73.90
1600,76.51
100,65.81
200,70.59
400,72.27
800,76.01
1600,76.18
100,64.57
200,68.79
400,72.29
800,74.88
1600,76.96
100,64.23
200,71.31
400,70.69
800,74.46
1600,76.83
100,65.06
200,69.61
400,70.90
800,75.10
1600,77.01
100,65.52
200,71.52
400,71.84
800,74.12
1600,76.28
100,64.57
200,70.40
800,74.15
400,72.47
1600,77.18
100,62.77
200,69.27
400,72.29
800,75.16
1600,76.58
100,66.91
200,69.33
400,72.94
800,73.66
1600,76.18
100,64.26
200,68.97
400,71.75
800,74.36
1600,75.89
