Date/Time, 2020-06-03_14:58
1600,80.56
800,79.75
800,80.73
1600,81.04
400,78.14
400,78.10
200,76.83
200,77.37
1600,80.79
800,79.54
100,72.33
100,72.99
400,78.14
100,73.28
200,75.25
1600,80.45
800,78.96
400,78.12
100,74.05
200,76.24
1600,81.46
400,78.28
1600,80.67
200,75.18
800,80.02
800,79.66
400,77.81
100,74.63
200,76.17
1600,80.96
800,79.51
400,78.17
200,75.60
100,72.79
100,73.24
400,78.04
800,79.35
1600,80.77
100,70.99
200,77.46
1600,81.15
800,79.17
400,77.30
1600,80.67
200,76.83
800,80.09
100,73.55
400,78.19
200,75.24
100,72.55
