Date/Time, 2020-06-02_22:58
1600,81.13
100,74.94
200,78.77
800,79.93
100,75.16
800,80.38
200,79.16
400,78.49
1600,80.65
400,78.21
100,75.07
400,77.93
200,75.78
100,74.10
200,78.79
800,80.47
100,75.22
1600,80.76
800,79.48
400,77.88
200,76.35
400,78.81
1600,80.39
800,80.18
1600,81.43
200,77.50
1600,81.33
200,77.10
400,79.45
800,80.15
100,74.53
400,77.84
100,74.41
100,72.57
1600,80.07
800,79.77
200,78.23
400,77.98
400,77.67
1600,81.24
800,80.18
100,74.26
1600,80.53
200,77.26
800,79.46
1600,80.26
100,74.62
200,77.25
400,77.80
100,76.67
200,77.75
800,79.01
400,80.04
100,75.69
800,80.01
800,80.01
800,80.12
1600,80.20
200,76.97
1600,81.30
400,78.14
100,77.41
200,77.86
100,75.04
400,78.95
800,79.59
1600,80.45
1600,80.54
200,77.85
400,78.51
100,77.11
400,80.45
100,77.59
200,78.14
800,80.20
1600,80.47
200,76.64
400,78.93
200,77.84
400,78.20
800,78.75
1600,80.31
100,76.16
800,80.72
200,78.09
400,78.76
800,80.10
1600,80.34
1600,80.36
1600,80.13
100,74.10
100,73.08
200,77.92
400,79.52
800,79.51
1600,80.23
200,78.96
200,77.89
400,79.53
1600,80.58
800,79.55
100,71.57
100,77.87
100,75.57
200,77.34
400,79.50
800,79.51
400,79.22
400,79.80
800,79.70
800,79.52
1600,81.29
100,74.41
1600,80.29
200,77.61
1600,81.63
800,79.88
200,76.61
100,75.66
200,77.04
400,77.91
100,77.63
200,77.40
100,74.97
400,78.68
800,79.38
200,78.34
1600,80.36
400,78.58
400,79.45
800,80.14
1600,80.61
100,76.91
200,77.40
100,77.21
800,79.77
400,78.41
800,80.59
1600,80.57
800,79.67
1600,80.10
1600,81.24
100,76.18
200,77.28
400,79.00
200,79.19
100,76.50
200,76.53
800,78.75
1600,80.94
400,79.51
100,76.51
100,76.63
400,77.94
800,80.32
1600,80.90
400,79.33
800,79.23
200,78.60
400,79.41
1600,81.42
1600,81.27
100,74.19
800,79.53
200,75.86
800,79.38
100,71.86
400,78.83
100,74.35
200,76.46
100,75.32
1600,80.25
200,77.16
400,78.85
200,79.54
800,80.25
1600,80.54
100,74.95
400,78.65
800,80.53
400,80.04
1600,81.27
1600,80.08
400,79.29
200,75.48
800,80.35
100,77.38
800,79.78
1600,81.48
200,78.15
200,74.98
100,74.49
400,78.88
100,75.54
800,80.20
1600,80.67
200,76.95
1600,80.34
400,78.97
200,76.38
800,79.53
100,75.34
100,74.94
400,80.29
1600,80.37
800,80.27
1600,80.52
400,79.77
400,78.80
1600,80.38
800,80.57
200,76.04
200,74.94
800,79.59
100,74.47
100,76.17
800,79.40
400,78.23
400,78.52
200,78.16
1600,80.62
100,76.63
200,75.91
800,79.47
100,77.47
400,79.21
1600,80.58
1600,80.28
200,79.08
800,81.12
800,78.59
100,76.10
1600,80.02
100,73.82
200,76.44
400,77.88
800,80.83
400,78.63
800,80.31
200,78.15
1600,80.58
100,75.03
100,74.81
200,78.48
400,78.81
200,77.48
800,79.57
1600,79.81
400,77.51
200,75.75
1600,80.64
200,75.82
100,74.06
1600,80.67
400,77.74
100,72.02
800,80.67
1600,80.63
800,80.05
200,78.19
400,77.27
800,79.58
400,80.12
100,76.61
400,79.25
200,77.04
1600,80.02
100,76.71
200,77.78
800,80.69
1600,80.02
800,79.04
100,74.10
400,78.71
100,77.21
1600,80.04
1600,82.22
1600,80.29
200,77.32
400,77.94
800,80.23
100,73.04
400,78.00
200,76.78
100,73.27
200,77.67
800,80.33
1600,81.14
1600,80.63
400,78.55
800,79.27
800,78.98
200,78.39
100,76.06
400,79.03
100,75.78
