Date/Time, 2020-06-12_16:36
800,80.47
100,75.10
400,79.01
200,79.63
1600,81.34
100,75.44
200,78.28
400,79.54
800,80.66
1600,81.54
200,78.04
100,76.07
400,80.31
100,74.26
800,81.37
1600,81.51
200,77.11
800,79.86
400,77.80
1600,81.28
100,75.52
200,78.89
400,80.43
800,81.34
1600,82.14
100,75.90
200,79.04
400,79.75
800,80.91
1600,82.45
100,74.64
200,77.91
400,80.59
800,81.05
1600,82.16
100,74.01
200,79.13
400,79.11
800,80.95
1600,81.88
100,76.04
200,78.01
400,78.49
800,79.23
1600,82.06
100,73.88
200,77.46
400,79.43
800,80.23
1600,81.22
100,77.61
200,78.39
400,80.15
800,81.50
1600,81.61
100,75.37
200,77.33
400,78.86
800,80.55
1600,81.99
100,77.68
200,78.91
400,79.90
800,81.02
100,74.55
1600,82.23
200,78.28
400,78.87
1600,81.54
800,80.58
100,78.58
200,78.44
800,81.35
400,79.06
1600,81.46
100,79.14
400,80.86
200,78.95
800,79.51
1600,81.35
100,77.40
200,77.44
400,79.26
800,80.67
1600,81.44
200,78.82
100,75.16
400,79.76
800,80.94
1600,81.83
200,78.75
100,73.59
400,80.35
800,80.82
1600,82.05
100,74.58
200,78.10
400,79.78
1600,81.18
800,80.76
100,77.09
200,78.66
800,79.85
400,78.86
1600,81.55
100,77.49
400,79.70
200,77.90
800,80.39
1600,81.03
100,75.18
200,78.26
400,79.85
800,80.11
1600,81.95
100,76.95
200,79.16
400,79.97
1600,81.87
800,80.11
200,78.69
100,75.22
800,80.79
400,79.66
1600,80.87
100,78.17
200,78.40
400,80.31
800,80.65
1600,81.69
100,76.86
200,77.71
400,80.06
800,80.37
1600,81.75
100,76.39
200,78.63
400,78.90
1600,81.62
800,81.28
100,77.41
200,78.59
800,81.39
400,79.69
1600,81.89
100,77.77
400,79.86
200,76.26
800,79.89
1600,81.25
100,74.63
200,79.49
400,79.58
800,80.55
1600,81.60
100,77.64
200,79.49
400,79.09
800,81.68
1600,81.76
100,77.92
200,78.60
800,80.52
400,79.44
1600,82.09
100,76.02
400,78.87
200,77.27
800,80.26
1600,82.17
100,74.62
200,80.06
400,79.12
800,80.26
100,77.68
1600,81.05
200,77.36
400,79.76
1600,81.45
800,80.61
100,75.36
200,79.22
400,79.51
800,81.13
1600,81.99
100,77.97
200,73.68
400,79.41
800,80.84
1600,81.79
100,76.72
200,77.21
400,81.15
800,80.77
100,77.53
1600,81.99
200,77.64
400,79.16
800,80.33
1600,82.19
100,75.44
200,77.75
400,80.37
800,80.48
1600,81.70
100,77.34
200,77.61
400,80.16
800,80.40
1600,81.23
200,75.62
100,77.94
400,80.04
800,80.01
1600,81.90
100,77.54
200,78.33
400,79.35
800,79.89
1600,81.43
100,77.34
200,77.42
400,78.74
800,80.53
1600,82.11
