Date/Time, 2020-06-03_08:06
800,78.48
200,71.82
100,67.19
1600,79.56
100,68.74
400,74.97
1600,79.23
200,72.96
800,77.25
400,74.18
100,67.74
100,71.51
800,77.39
200,72.29
200,72.08
400,74.98
400,74.50
1600,79.42
1600,79.48
800,76.85
200,71.12
100,69.44
200,70.90
800,77.62
100,67.75
400,74.80
400,73.93
1600,80.07
800,77.26
1600,79.50
100,66.39
200,71.28
800,76.96
100,67.01
1600,79.43
200,73.42
400,75.06
1600,79.43
800,76.47
400,74.59
100,68.29
200,72.51
100,68.64
800,76.52
400,74.62
200,71.36
400,75.06
1600,79.77
1600,79.36
800,77.72
400,75.22
100,67.84
200,72.11
200,71.72
100,71.60
400,74.68
800,77.55
800,77.58
1600,79.71
1600,79.53
200,71.00
100,69.24
100,69.03
400,75.23
1600,79.54
800,77.76
800,77.29
200,71.54
400,74.15
1600,80.01
100,67.84
200,73.55
100,67.83
400,75.03
1600,79.49
800,78.34
400,76.08
800,76.53
200,71.57
1600,79.33
100,69.74
1600,78.83
200,72.11
800,77.73
400,75.09
100,67.00
200,72.55
400,75.48
800,77.84
1600,79.51
100,67.17
800,77.74
200,73.45
400,75.90
100,67.97
1600,79.50
1600,79.43
400,75.75
200,71.99
800,77.93
100,67.57
100,72.14
400,76.69
1600,79.00
200,73.29
800,77.66
400,74.47
200,71.37
1600,79.42
800,77.88
100,67.41
200,72.42
1600,79.51
400,75.23
800,76.96
100,71.22
200,72.56
400,74.76
800,76.88
1600,79.57
100,68.92
200,72.16
400,75.37
100,68.28
1600,79.28
800,77.20
200,71.48
400,74.72
1600,80.05
800,77.81
100,65.98
800,76.94
400,74.29
1600,79.76
200,72.75
100,69.20
200,72.70
400,74.34
800,77.16
1600,79.26
100,68.89
200,72.78
800,76.97
400,74.11
1600,79.24
100,69.97
200,70.59
400,75.25
1600,79.55
800,77.24
200,74.21
400,75.50
100,67.84
800,77.46
1600,79.13
100,69.31
200,73.37
400,74.80
800,77.35
1600,79.35
100,67.51
400,74.79
