Date/Time, 2020-06-03_12:49
100,14.47
400,13.62
1600,54.09
200,19.86
1600,52.68
400,12.89
100,20.96
800,13.64
200,15.15
800,13.75
100,18.09
200,17.05
100,15.57
400,13.83
1600,50.70
800,11.87
200,12.49
800,15.86
1600,52.07
400,13.14
100,14.86
400,17.45
800,16.51
200,17.51
1600,51.21
100,14.74
200,15.50
1600,47.51
400,15.48
800,13.45
400,16.85
100,14.40
200,12.97
1600,53.62
100,11.13
800,12.27
1600,49.50
800,13.84
400,14.29
200,16.52
100,14.42
200,15.19
400,14.03
800,13.16
1600,53.37
100,13.09
200,16.46
400,13.88
800,13.40
1600,54.49
