Date/Time, 2020-06-03_17:53
800,81.99
100,72.64
800,81.51
1600,81.81
1600,82.40
200,78.36
400,79.70
200,77.93
400,78.77
100,72.92
200,78.41
100,74.93
400,79.71
1600,82.54
800,81.05
200,77.29
1600,81.71
100,74.58
400,77.84
800,80.75
100,72.90
400,79.86
200,77.64
100,72.61
200,77.54
1600,82.30
800,81.07
800,80.78
200,78.23
1600,82.35
100,75.40
400,79.09
800,80.92
400,79.62
1600,81.89
200,78.76
100,72.11
1600,82.29
800,80.77
400,79.35
200,78.50
100,73.45
400,78.90
1600,82.08
800,80.61
400,79.63
800,81.39
200,76.95
400,79.77
100,72.46
800,80.49
1600,81.73
100,74.67
200,77.18
100,74.47
1600,82.07
200,76.96
800,81.03
1600,82.12
400,79.55
400,80.26
100,77.08
200,76.52
800,81.11
1600,82.18
200,76.33
100,74.60
400,78.30
800,81.47
800,81.38
1600,82.29
400,79.13
200,78.72
100,75.31
1600,82.08
800,80.17
400,80.89
100,76.58
200,77.02
1600,82.04
200,77.34
100,73.06
800,81.78
1600,81.91
400,79.16
200,76.71
100,73.63
400,80.31
800,81.36
200,77.47
100,73.86
1600,81.92
200,77.37
100,73.04
800,80.35
400,80.90
1600,82.38
1600,81.51
100,73.23
400,79.69
800,80.51
200,78.61
400,80.08
800,81.04
1600,82.04
100,76.95
200,77.01
400,79.92
800,80.34
1600,81.85
100,73.63
400,78.66
800,81.08
200,76.12
400,80.03
800,81.05
1600,82.00
100,76.91
200,78.46
1600,81.32
100,74.79
200,77.51
400,80.38
100,76.52
800,81.69
400,79.42
1600,81.76
200,76.76
800,81.18
100,74.61
1600,82.16
800,80.69
200,77.45
400,79.18
1600,82.22
1600,82.15
200,77.60
100,74.92
400,78.51
800,81.78
200,78.50
100,74.65
400,79.67
1600,81.77
800,80.65
100,71.18
100,74.70
400,80.12
200,75.90
1600,82.25
800,80.72
800,80.78
200,78.04
400,80.11
1600,81.88
100,75.58
200,77.00
200,78.52
1600,82.05
400,79.08
800,80.56
100,75.76
100,74.32
400,79.54
800,80.44
1600,82.55
200,77.57
400,78.03
400,79.60
800,80.47
1600,82.39
200,78.94
100,71.40
200,77.36
800,81.00
1600,81.94
100,75.72
400,80.43
800,80.21
1600,81.89
800,80.90
100,74.17
200,77.83
400,79.44
100,75.44
200,75.89
1600,82.12
400,79.90
1600,82.24
100,76.30
800,80.60
1600,82.30
100,73.12
400,79.32
200,77.05
800,81.28
200,75.87
400,79.20
800,79.85
1600,82.41
100,73.29
800,81.04
400,80.89
200,76.05
1600,81.81
100,75.53
800,81.40
1600,82.05
200,77.75
400,79.43
200,76.43
400,79.27
800,80.72
1600,82.69
400,79.01
200,74.57
100,75.71
100,73.17
800,80.63
1600,82.21
100,77.02
200,77.39
400,78.78
800,80.83
1600,81.79
100,76.46
200,78.31
400,80.38
100,75.60
200,76.16
800,80.07
1600,82.35
800,80.92
1600,82.53
200,77.74
1600,81.65
800,81.05
400,78.58
100,74.37
400,79.30
100,74.06
200,77.43
400,79.63
1600,81.81
800,81.17
100,74.11
200,77.15
400,78.84
800,80.71
1600,81.82
400,79.48
800,81.22
100,72.40
200,76.66
1600,81.85
100,75.62
800,81.30
200,77.80
100,73.29
400,79.64
200,78.40
1600,81.80
400,79.66
800,81.18
100,76.25
400,80.69
800,80.83
1600,81.03
1600,82.23
200,76.51
100,72.33
200,77.34
100,76.12
400,78.98
800,80.73
200,76.44
1600,82.22
400,79.19
800,81.20
1600,82.17
400,79.32
200,77.73
100,73.44
100,72.11
800,81.24
1600,82.29
200,76.39
100,71.66
400,79.40
800,81.08
800,80.80
1600,82.23
200,78.22
400,79.65
1600,82.02
100,76.98
200,78.83
400,79.15
1600,82.48
800,80.94
1600,82.08
200,76.65
100,74.14
800,81.34
400,80.29
200,76.78
100,72.59
400,77.82
100,73.40
100,73.94
800,81.52
1600,81.76
200,77.07
400,79.61
800,80.53
1600,82.06
800,81.07
200,75.66
1600,81.64
400,79.90
100,76.60
200,78.68
400,78.53
800,80.99
200,73.56
1600,81.83
100,75.22
800,80.72
400,79.82
1600,81.80
1600,82.61
400,80.31
100,74.12
200,77.11
400,80.19
800,81.39
100,74.92
200,77.75
100,72.53
800,81.02
1600,82.32
200,77.53
400,79.80
800,80.93
1600,82.56
100,75.26
200,79.06
800,81.67
400,80.06
1600,81.89
200,77.38
100,73.73
200,77.41
800,80.89
400,80.65
400,79.04
800,81.13
1600,82.15
100,73.50
1600,81.80
100,73.99
200,76.53
400,80.58
800,81.93
1600,82.10
100,73.21
200,76.99
400,79.57
800,80.92
1600,82.10
400,80.01
800,80.59
100,74.15
200,76.95
1600,82.32
100,77.00
200,78.23
100,73.43
400,79.13
200,77.73
800,80.95
1600,82.21
400,78.60
800,80.89
100,73.87
200,74.41
1600,81.80
400,79.85
800,80.91
1600,82.01
100,72.92
200,76.67
1600,82.29
100,74.41
400,80.91
800,80.02
200,76.77
400,80.14
400,78.99
800,81.45
800,81.04
1600,82.15
100,74.96
200,78.41
1600,81.91
100,74.68
800,81.28
100,75.67
200,78.77
1600,81.99
400,80.00
200,76.64
400,76.86
800,80.78
1600,82.50
100,72.69
200,79.52
1600,82.08
400,79.19
800,82.31
1600,81.87
100,75.38
200,76.93
400,79.32
800,80.96
400,78.92
100,78.07
200,77.13
100,74.49
800,80.85
1600,82.20
100,72.30
200,76.44
400,79.29
800,81.41
1600,82.00
800,81.52
200,76.95
400,79.44
200,78.38
1600,82.57
100,75.46
200,77.14
400,78.48
800,81.66
1600,82.02
100,73.90
1600,82.07
800,80.90
400,80.46
400,77.79
100,75.50
200,76.85
400,79.70
800,79.96
1600,81.63
100,77.26
200,76.22
100,71.49
800,81.94
1600,82.00
800,81.07
200,79.32
400,79.64
1600,81.38
800,80.41
100,76.21
200,78.74
400,79.27
200,77.15
1600,82.37
100,74.39
800,81.30
400,80.38
100,74.12
1600,82.04
200,77.25
400,79.58
800,81.11
400,79.74
1600,82.01
1600,82.20
100,71.86
200,78.95
800,80.57
1600,82.35
100,74.06
200,78.15
400,79.29
100,73.54
800,81.19
200,79.09
800,81.03
400,79.74
1600,82.18
100,76.15
1600,81.97
200,76.91
400,79.03
800,80.34
