Date/Time, 2020-06-03_09:21
1600,81.42
800,80.91
1600,81.71
800,81.64
400,79.17
400,79.39
200,78.91
200,79.16
100,73.73
100,75.00
400,79.30
800,80.88
1600,81.58
100,73.99
200,77.23
800,80.04
400,78.84
100,75.29
1600,81.40
200,77.18
1600,82.13
400,79.31
200,78.87
800,80.88
1600,81.67
800,80.65
100,74.34
400,79.31
200,78.63
100,74.90
1600,81.40
800,80.45
400,79.35
200,77.34
100,73.45
800,80.20
400,79.07
1600,81.66
200,78.74
100,71.35
400,78.16
800,80.08
1600,81.96
200,78.34
100,75.27
1600,81.30
400,79.15
800,80.33
200,77.43
100,74.09
800,80.73
1600,81.78
200,77.85
400,79.95
400,78.48
800,80.96
100,76.17
200,76.95
1600,81.54
100,75.12
800,80.39
400,80.00
1600,81.54
200,77.28
1600,81.88
100,77.44
400,78.69
800,80.74
200,76.99
100,73.20
1600,81.67
400,79.12
800,81.22
200,78.33
100,77.03
1600,81.39
800,79.76
400,80.39
200,77.27
100,75.48
800,81.00
1600,81.06
400,79.29
200,76.97
400,79.92
100,75.05
800,81.08
200,77.41
1600,81.60
100,72.68
1600,81.39
400,80.30
800,80.58
200,78.25
1600,81.26
100,72.19
800,80.65
400,79.25
100,72.44
200,77.43
1600,80.86
800,80.65
400,80.16
200,78.75
100,76.08
1600,81.26
400,79.23
800,80.69
100,77.57
200,78.04
800,80.60
1600,81.46
400,80.32
200,77.50
1600,81.48
100,74.89
800,80.60
400,78.63
200,76.89
100,76.05
1600,81.40
800,80.47
400,79.66
200,76.85
100,74.46
1600,81.86
800,81.05
400,79.83
200,77.97
100,77.25
800,80.30
1600,81.77
400,79.23
200,77.97
100,74.60
400,78.34
1600,81.32
800,80.47
200,77.76
100,75.91
800,80.36
1600,81.53
400,79.40
200,77.84
100,74.77
800,80.64
1600,81.45
200,76.64
400,79.45
100,75.66
400,79.90
800,80.54
1600,81.09
200,79.50
800,80.49
100,75.08
400,79.10
1600,81.44
200,78.44
100,74.85
800,79.96
1600,81.65
400,79.25
200,76.52
100,74.15
800,80.51
400,79.38
1600,81.95
200,77.45
100,73.71
400,78.67
800,81.01
1600,81.16
200,79.31
100,73.15
1600,81.76
800,80.41
200,77.30
100,72.69
400,80.25
1600,81.47
400,79.51
800,80.68
200,77.24
100,73.77
1600,82.10
400,80.34
800,80.06
200,76.51
100,75.61
400,78.86
800,80.86
1600,81.74
100,72.11
200,77.93
1600,81.54
800,80.19
400,79.28
200,76.54
100,73.15
1600,81.29
400,80.37
800,80.98
200,76.39
100,74.14
1600,81.44
400,79.29
800,80.92
100,75.93
200,76.02
1600,81.43
400,78.84
800,80.37
200,73.98
100,76.25
400,80.31
800,79.58
1600,81.23
100,73.96
200,77.55
1600,81.65
800,80.70
200,76.58
400,78.27
100,76.38
1600,81.08
800,80.33
400,79.95
200,79.03
100,75.91
1600,81.52
800,80.89
400,78.82
200,76.56
100,75.89
800,80.79
400,79.68
1600,81.68
200,78.34
100,74.23
1600,80.86
800,81.43
200,79.57
400,79.62
100,74.72
1600,81.54
200,76.48
400,78.94
800,81.04
100,72.65
800,80.73
1600,81.40
400,78.55
200,77.11
100,72.76
800,80.42
400,78.89
1600,81.58
200,75.88
100,71.54
400,79.35
200,78.76
800,80.46
1600,81.07
100,75.44
400,80.03
1600,81.61
800,80.47
200,77.68
100,77.18
1600,81.21
800,81.11
400,79.36
200,77.10
100,72.99
1600,81.17
400,78.83
800,80.21
200,77.24
100,76.88
1600,81.69
800,80.82
200,77.99
400,78.89
100,72.23
1600,81.12
800,80.84
400,79.00
200,76.50
100,73.56
800,80.25
1600,81.54
400,79.68
200,78.69
100,71.29
400,79.62
800,80.53
1600,81.43
200,78.56
100,75.63
200,78.02
400,79.70
1600,81.17
800,80.97
100,73.63
1600,81.42
800,80.72
400,79.33
200,77.10
100,71.90
1600,81.47
400,80.08
800,80.10
200,77.76
100,74.93
800,80.55
1600,80.80
400,79.18
200,77.39
100,75.59
800,80.90
400,78.23
100,75.41
1600,81.26
200,77.96
1600,81.45
800,80.46
400,79.79
200,74.72
100,74.81
1600,81.86
800,80.69
400,79.76
100,74.37
200,77.81
1600,81.23
400,80.06
800,80.65
100,73.48
200,75.93
800,80.11
400,79.68
1600,81.56
200,77.03
100,70.08
1600,81.31
400,80.48
800,81.03
200,77.72
100,76.31
1600,81.54
800,81.25
400,79.23
200,77.51
100,72.16
1600,81.65
400,78.86
200,78.10
800,80.72
100,71.40
800,80.88
200,77.06
1600,81.38
400,79.29
100,72.13
1600,81.57
800,80.75
400,79.45
200,76.33
100,72.38
800,80.46
1600,81.33
400,79.25
200,77.24
100,74.75
1600,81.89
800,80.53
400,79.24
200,78.02
100,74.50
800,80.95
400,79.37
1600,81.67
200,79.62
100,76.04
800,81.08
1600,81.43
200,75.96
400,80.32
100,76.69
1600,81.47
400,80.02
800,80.15
200,77.40
100,73.14
1600,81.45
800,80.99
400,79.83
200,77.91
100,73.55
800,80.70
400,78.64
200,78.20
1600,81.55
100,75.81
400,79.57
800,81.07
1600,81.38
200,78.49
100,73.62
1600,81.83
800,80.45
200,76.86
400,77.56
100,74.94
1600,81.67
800,81.53
400,79.79
200,79.07
100,74.16
200,76.14
1600,81.24
400,79.35
800,80.36
100,75.88
1600,81.65
400,79.96
200,77.58
100,75.55
800,80.50
400,79.69
1600,81.59
800,80.97
200,76.73
100,74.02
1600,81.88
800,80.79
400,79.87
100,72.84
200,76.38
400,79.45
800,80.84
1600,81.66
200,77.83
100,76.01
1600,81.60
400,79.45
200,77.72
800,80.41
100,75.86
800,80.08
400,78.99
1600,81.10
200,76.57
100,75.60
1600,81.47
800,81.04
400,78.90
100,75.92
200,75.43
400,79.81
800,80.96
1600,81.18
200,80.11
100,71.28
1600,82.08
800,80.11
400,78.77
200,78.64
100,73.48
800,81.14
1600,81.44
400,79.80
200,78.36
100,75.65
1600,81.77
800,80.74
200,76.13
400,80.15
100,74.88
800,80.59
400,79.34
200,79.29
100,71.98
1600,81.42
1600,81.88
200,78.48
800,80.57
100,74.35
400,79.49
1600,81.41
200,78.97
800,80.64
400,79.46
100,71.67
1600,81.73
800,79.64
400,79.48
200,76.45
100,75.21
