Date/Time, 2021-03-22_23:03
20,62.67
20,67.39
20,50.21
20,50.73
20,66.02
20,63.40
20,63.93
20,59.28
20,54.95
20,66.65
20,66.58
20,50.40
20,56.02
20,54.95
20,56.06
20,58.99
20,59.02
20,60.09
20,56.71
20,57.99
20,63.81
20,66.75
20,49.27
20,59.13
20,68.92
20,62.80
20,64.97
20,56.95
20,64.05
20,65.00
20,59.99
20,69.45
20,62.61
20,65.74
20,57.85
20,58.53
20,61.54
20,66.10
20,65.87
20,65.01
20,60.57
20,57.18
20,65.41
20,65.09
20,55.36
20,62.76
20,63.52
20,56.14
20,64.89
20,62.84
20,55.04
20,58.61
20,62.70
20,73.22
20,58.76
20,56.97
20,55.37
20,62.08
20,63.37
20,58.69
20,56.82
20,51.74
20,65.09
20,65.32
20,63.09
20,67.71
20,57.34
20,69.04
20,56.67
20,57.37
20,54.90
20,68.79
20,53.94
20,59.26
20,58.04
20,61.89
20,64.02
20,68.45
20,67.47
20,53.74
20,59.60
20,66.08
20,67.37
20,59.58
20,67.60
20,61.73
20,62.22
20,63.57
20,65.81
20,55.70
20,70.64
20,64.24
20,59.88
20,56.54
20,63.86
20,62.26
20,62.40
20,61.27
20,63.52
20,69.84
