Date/Time, 2020-06-08_23:33
20,68.27
20,63.43
20,64.83
20,69.95
20,66.47
20,68.59
20,64.04
20,69.38
20,68.81
20,58.63
20,65.19
20,64.05
20,57.76
20,66.34
20,59.86
20,61.56
20,59.72
20,61.21
20,67.09
20,59.55
20,67.21
20,69.24
20,67.86
20,62.01
20,71.37
20,66.56
20,66.43
20,65.95
20,64.55
20,63.51
20,66.01
20,69.14
20,68.90
20,62.77
20,66.52
20,70.96
20,70.17
20,66.29
20,64.84
20,65.22
20,66.89
20,61.53
20,67.73
20,68.37
20,66.55
20,71.27
20,57.03
20,63.37
20,69.88
20,54.21
20,65.38
20,63.05
20,63.38
20,64.45
20,60.34
20,71.19
20,66.13
20,57.57
20,64.73
20,61.25
20,68.02
20,62.88
20,68.91
20,54.57
20,63.82
20,70.66
20,64.41
20,69.06
20,62.05
20,64.51
20,66.80
20,61.14
20,66.34
20,63.89
20,63.91
20,63.99
20,66.71
20,68.25
20,68.49
20,67.84
20,61.06
20,65.16
20,60.57
20,62.22
20,68.65
20,63.71
20,71.37
20,69.16
20,68.29
20,62.86
20,65.25
20,69.91
20,68.18
20,63.12
20,61.83
20,62.00
20,69.78
20,63.82
20,68.75
20,69.37
