Date/Time, 2020-06-13_17:53
10,11.99
20,13.33
30,13.68
10,11.83
20,12.53
30,14.67
40,18.51
50,15.42
50,16.05
40,15.67
10,12.36
50,17.14
20,13.00
30,14.47
10,11.62
40,15.10
20,12.84
40,13.93
30,13.84
50,16.01
10,11.72
10,12.13
30,16.55
20,12.56
40,14.88
20,12.85
50,15.83
30,13.42
40,14.35
50,15.57
10,12.10
20,13.57
50,17.52
10,11.63
30,14.10
20,13.71
40,14.27
30,15.76
40,15.98
50,14.88
10,11.72
20,12.61
40,15.36
30,13.39
10,12.58
20,12.64
50,19.14
40,14.47
30,14.27
50,15.29
10,11.83
20,12.91
30,13.72
50,16.09
40,15.09
10,11.61
20,14.08
40,14.81
30,13.42
50,16.08
10,11.80
20,12.20
30,14.79
40,14.93
10,11.64
20,14.55
50,16.96
30,13.93
40,14.78
50,16.25
10,11.56
20,13.67
30,14.40
40,15.07
50,15.70
20,13.35
10,11.60
30,14.48
50,15.00
40,15.49
10,11.80
20,12.17
30,13.24
10,12.02
40,16.60
50,15.59
20,12.66
30,14.41
40,14.45
10,11.87
50,20.89
20,14.02
10,11.46
30,14.27
50,15.58
20,12.46
40,15.21
30,13.25
40,15.17
10,12.76
50,15.27
20,13.06
30,13.43
40,14.92
10,11.57
50,14.60
20,13.12
30,17.43
40,15.13
10,12.02
50,16.37
20,12.73
30,13.50
40,15.58
10,11.35
50,16.27
20,12.04
30,13.57
40,14.71
50,16.91
10,11.36
20,15.66
40,14.43
10,11.24
50,15.03
30,14.81
20,12.73
30,16.32
40,15.27
10,11.14
50,16.15
20,12.85
10,11.70
30,12.95
50,16.37
20,14.18
40,15.13
50,16.09
30,13.43
10,11.83
40,14.09
20,12.41
30,13.28
10,11.81
50,15.85
40,16.86
30,14.51
20,14.33
40,18.44
10,11.63
50,15.04
20,13.19
40,16.13
50,18.57
30,14.30
10,10.90
30,14.46
20,13.66
10,11.57
50,16.41
40,14.74
20,12.41
40,15.41
30,13.91
10,11.67
50,15.58
30,15.52
20,12.99
10,12.07
40,14.67
50,16.58
20,14.07
10,11.60
30,13.49
50,17.91
30,17.40
40,14.91
10,12.97
20,12.68
50,16.39
40,15.45
20,13.51
30,14.03
40,14.60
20,12.77
10,11.81
50,16.40
30,14.67
50,19.08
10,11.71
40,14.79
20,14.06
30,14.27
10,11.82
50,16.11
40,14.47
40,14.96
10,11.81
30,13.77
20,12.54
50,16.58
20,13.19
30,15.21
20,12.90
10,12.56
40,15.30
50,16.39
30,13.80
40,14.24
10,13.17
50,15.12
20,13.85
30,13.68
10,12.05
40,15.42
20,13.96
50,15.43
30,13.73
40,17.60
10,11.85
50,19.36
20,12.95
30,14.27
20,13.34
10,12.12
40,14.61
50,16.10
30,14.49
50,15.52
40,14.97
10,12.94
20,13.39
30,14.82
40,14.79
50,16.42
20,13.95
10,11.77
30,14.66
40,14.72
50,17.11
10,12.30
20,12.11
10,12.04
30,14.35
40,17.10
20,12.20
50,16.63
40,16.06
30,13.95
10,11.84
50,15.06
20,13.26
10,11.27
50,16.16
30,13.44
40,15.24
20,13.90
30,14.63
50,16.17
10,11.49
40,16.40
20,12.67
10,11.69
40,15.58
50,16.36
30,13.48
20,12.77
40,14.78
30,14.59
50,15.94
10,12.00
20,14.63
50,14.83
30,14.04
20,12.79
40,14.68
30,13.90
10,12.12
40,15.86
50,16.61
10,11.62
20,12.40
30,14.07
40,14.42
20,12.43
30,13.83
50,16.65
10,11.71
10,11.96
40,16.18
50,16.11
20,13.18
40,14.19
30,13.84
10,11.41
50,15.33
30,14.09
10,11.66
20,13.89
50,15.71
40,18.01
20,13.24
30,13.55
40,14.72
30,14.14
10,12.40
20,13.23
10,12.06
50,18.38
40,15.61
50,15.74
20,13.19
10,11.88
20,14.97
40,14.03
30,13.75
50,15.04
30,15.21
40,15.86
10,11.93
20,13.59
50,14.72
40,14.79
20,12.68
10,11.21
30,14.78
50,16.36
30,13.82
10,11.26
40,15.94
20,12.54
50,16.02
10,12.00
30,15.24
40,16.17
50,15.73
20,12.68
30,14.74
10,11.92
50,15.89
40,16.26
20,12.81
40,16.79
10,12.03
30,13.68
20,12.79
50,16.76
40,14.59
20,13.20
50,16.27
10,12.04
30,14.75
10,11.44
30,14.33
20,13.56
40,14.64
50,18.02
30,14.31
10,11.46
50,16.00
40,14.63
20,11.93
30,14.22
40,15.07
10,13.29
50,16.22
20,13.73
10,12.31
30,13.70
40,13.99
50,17.28
30,14.28
20,12.30
10,11.12
20,12.72
40,13.90
50,14.62
30,14.20
40,14.99
10,12.01
30,16.26
50,15.96
40,15.81
20,13.40
10,11.47
20,12.44
50,15.85
30,14.44
40,14.92
50,16.40
20,12.69
10,11.35
40,15.45
30,14.01
10,11.77
20,13.77
50,17.97
30,15.18
40,14.95
10,11.70
20,12.46
50,16.93
30,13.73
40,15.03
50,17.17
10,11.67
30,13.93
20,13.16
40,14.59
50,16.89
10,11.92
20,12.52
30,13.39
50,17.64
10,11.75
20,14.39
40,15.07
30,16.24
40,15.76
50,15.85
20,13.06
10,11.64
30,14.55
50,17.51
30,14.55
40,16.70
20,13.31
40,15.18
10,11.88
10,11.61
50,16.50
20,13.31
30,15.39
50,15.69
10,11.64
20,13.10
40,14.81
30,13.37
40,14.95
10,12.18
20,13.69
50,16.60
30,14.80
10,11.81
40,16.06
50,14.52
20,12.14
30,14.98
10,11.85
40,14.31
50,16.22
20,11.95
40,15.24
30,13.05
10,11.54
50,17.82
30,14.72
20,12.06
40,14.72
10,11.73
50,15.91
20,12.98
30,14.09
10,11.61
50,16.29
40,14.61
20,13.62
40,14.73
30,14.52
50,15.20
10,11.88
20,13.11
30,13.66
40,16.58
10,11.60
20,12.67
30,13.80
10,11.29
50,18.11
40,13.60
50,16.19
20,12.75
30,13.69
10,12.91
40,14.48
20,12.78
50,17.58
30,13.26
50,15.36
10,12.49
40,14.44
20,12.95
30,13.71
40,14.37
50,16.39
20,12.38
30,14.37
10,11.82
40,15.18
50,16.56
