Date/Time, 2021-03-22_22:49
10,48.01
20,63.12
20,59.86
10,51.77
50,67.56
30,72.23
40,70.25
30,63.59
50,66.18
40,70.07
20,57.13
10,66.94
20,56.32
30,59.79
40,65.89
30,68.07
10,58.84
50,67.50
40,73.19
50,68.19
20,67.04
10,58.70
30,67.78
40,70.26
50,65.46
10,61.29
20,60.05
40,65.20
50,73.07
30,67.11
10,57.08
20,56.43
30,66.23
50,68.56
30,58.28
40,68.22
40,62.69
10,50.44
10,42.57
20,64.08
50,67.20
40,69.84
20,55.99
30,71.24
20,53.73
10,60.17
50,70.32
40,66.14
30,65.49
50,66.09
10,51.39
30,67.32
20,70.67
50,70.12
40,71.89
20,59.68
10,50.20
10,51.77
30,61.91
40,67.34
50,70.95
20,53.70
30,61.28
40,61.49
50,71.53
10,62.71
30,67.14
20,63.00
30,67.01
10,51.39
20,56.39
50,69.70
40,68.96
40,67.59
50,73.62
20,67.23
40,70.68
10,51.20
30,66.42
10,57.09
50,72.88
20,48.35
30,61.82
40,72.83
50,75.03
10,64.70
20,70.81
10,53.42
40,66.07
30,68.52
30,68.36
20,70.12
50,67.24
40,65.31
10,55.94
50,66.99
20,68.87
50,70.72
30,65.74
20,56.57
10,54.06
40,68.67
30,62.20
10,51.10
20,51.35
40,64.50
50,63.87
30,62.81
10,61.69
40,70.58
40,71.52
50,68.58
30,60.23
20,65.81
50,71.38
10,54.16
30,64.31
20,56.03
40,69.01
10,58.39
30,63.14
20,55.52
40,63.70
50,71.56
50,67.70
10,46.62
20,64.66
40,66.28
50,64.81
20,52.77
30,67.01
10,38.28
30,63.07
40,66.59
50,66.91
10,57.00
30,65.32
20,65.14
40,69.89
50,73.50
20,70.10
10,63.91
40,66.01
30,63.92
20,70.01
50,72.81
10,60.47
50,64.48
30,68.29
40,69.42
10,53.36
20,66.30
30,68.45
50,65.18
40,69.57
30,67.49
20,68.05
10,47.45
40,70.93
50,72.51
40,71.94
10,49.32
20,58.83
50,69.41
30,65.75
10,56.64
40,69.50
20,62.99
30,67.72
10,63.09
50,72.54
20,65.49
10,51.06
30,64.58
50,62.91
40,72.01
50,71.71
20,65.94
40,60.84
30,63.58
10,56.90
20,65.03
30,66.48
50,65.05
20,61.02
10,64.58
40,68.52
30,65.52
10,48.64
50,68.38
40,68.10
20,64.48
30,72.46
50,70.04
40,68.33
10,53.12
20,58.66
30,66.15
20,62.65
50,68.94
30,68.02
40,65.19
10,56.90
40,69.28
50,72.00
10,57.12
20,56.57
40,68.59
10,61.51
30,57.17
50,69.16
50,65.58
20,57.58
40,67.60
30,56.75
10,65.60
40,68.23
30,65.30
20,66.75
20,60.58
50,67.43
40,63.28
10,66.70
30,67.02
20,55.70
10,61.15
50,70.05
30,62.54
40,67.33
10,53.47
50,71.53
20,64.70
40,65.09
10,50.36
50,71.90
30,64.67
20,62.40
30,66.91
50,70.46
40,67.25
20,52.73
10,51.45
30,68.72
40,64.29
40,69.37
50,70.02
10,39.63
30,68.60
20,56.16
50,68.91
10,64.40
30,67.97
20,66.57
40,66.00
20,65.12
50,70.96
50,68.30
10,54.18
20,61.25
30,67.76
40,69.71
10,59.99
30,71.39
50,69.61
10,59.70
40,63.69
30,61.02
20,64.39
20,65.53
40,64.56
50,63.94
10,68.39
30,66.30
50,70.27
40,71.89
40,57.78
50,70.48
20,59.02
10,53.67
30,67.20
10,56.82
20,59.77
40,71.89
30,63.85
10,47.26
20,65.86
50,72.32
40,66.23
30,69.21
50,69.97
10,54.94
30,70.11
20,64.29
50,66.78
10,50.37
40,64.91
20,57.20
40,74.28
30,66.02
50,72.46
20,62.65
40,68.97
10,57.24
50,66.39
30,69.33
10,56.43
20,62.89
50,69.87
20,58.91
10,56.40
40,65.99
30,69.04
30,65.00
40,64.62
50,68.45
10,54.27
20,51.12
40,70.52
30,71.51
50,60.61
20,48.30
10,57.18
40,62.84
30,65.85
50,69.73
10,45.52
30,67.34
40,70.14
20,66.52
50,68.42
10,53.91
30,69.19
40,70.76
20,61.26
20,65.09
10,54.15
50,70.50
30,70.02
40,72.24
50,72.00
20,65.30
50,62.24
10,53.23
40,73.19
30,58.47
10,46.78
30,71.88
40,72.93
20,69.32
50,66.95
20,57.97
10,53.98
30,64.09
20,62.28
50,72.19
40,68.53
10,54.24
30,70.91
40,63.38
50,72.19
20,61.46
10,55.39
40,66.38
30,67.75
20,63.49
10,53.93
50,74.87
30,63.35
40,69.81
30,70.23
40,70.22
50,72.05
50,67.60
10,64.45
20,65.38
10,47.62
20,64.66
30,67.75
40,68.36
50,71.13
10,56.56
40,65.49
30,70.83
50,73.63
20,64.13
10,45.09
30,68.52
20,68.05
40,65.98
50,71.05
10,35.57
40,74.11
20,62.98
30,65.78
20,62.32
50,66.73
10,46.83
50,74.45
30,66.63
40,64.66
10,50.27
20,68.62
30,68.28
40,68.92
20,62.96
50,68.75
20,68.52
10,53.40
30,70.49
10,57.42
50,65.97
40,69.82
30,64.28
50,72.21
40,67.76
10,41.08
30,64.35
40,66.01
20,65.51
40,67.96
50,71.66
10,41.66
30,59.16
20,67.40
50,69.30
10,54.83
30,71.07
20,60.53
40,65.50
50,70.23
30,66.61
10,46.13
20,65.51
10,55.30
40,71.10
50,67.12
30,65.85
