Date/Time, 2020-08-20_22:31
10,42.68
40,61.09
20,54.05
30,59.84
50,59.40
10,47.12
20,48.74
30,55.04
50,62.21
40,64.77
10,55.20
20,48.53
30,57.41
40,58.81
50,60.41
10,50.44
20,50.77
30,55.20
40,61.32
50,60.74
10,50.38
20,53.85
30,60.19
40,60.65
50,59.50
10,50.89
20,53.19
30,59.98
40,58.11
50,61.44
20,51.96
10,46.48
30,56.15
40,57.39
10,45.58
50,58.48
20,55.78
30,53.33
40,62.07
20,43.17
50,59.70
10,47.73
30,58.06
40,59.64
50,61.94
10,50.56
40,58.20
30,58.99
20,53.22
10,45.54
20,59.87
30,53.08
50,61.84
40,63.74
10,41.09
50,63.43
20,54.86
40,57.43
30,57.91
10,45.95
50,60.28
20,49.68
30,54.88
40,58.22
50,60.51
10,50.33
30,52.34
20,56.43
40,56.09
10,38.46
50,59.17
20,51.25
30,54.65
50,64.78
40,58.43
10,46.94
20,60.02
40,62.98
30,58.07
50,58.39
10,44.02
20,47.26
30,53.61
40,57.28
50,59.39
10,46.37
20,56.14
30,62.67
40,58.06
50,65.43
10,52.30
30,59.49
20,54.52
40,58.64
50,56.91
20,55.00
30,54.00
10,47.58
40,60.95
50,62.37
10,51.05
20,51.00
30,55.59
40,56.96
10,40.11
50,50.89
20,48.32
40,63.27
30,57.46
50,61.49
10,42.20
30,54.73
20,54.43
40,61.51
50,59.58
10,49.80
20,49.27
30,57.94
50,63.26
40,58.63
10,44.17
20,54.62
30,57.38
40,55.49
10,41.87
50,60.01
20,47.49
40,59.46
30,57.08
50,56.40
10,35.15
30,54.84
20,49.95
40,57.95
50,58.69
20,55.88
10,45.11
30,51.67
50,60.87
40,57.18
10,45.80
20,54.98
30,54.60
40,57.46
50,62.27
10,45.85
20,57.07
30,59.30
40,61.83
50,57.60
10,44.31
20,58.12
30,58.80
40,57.78
50,61.73
10,40.43
20,55.68
40,58.72
30,60.40
50,60.93
10,43.65
20,54.20
30,55.45
40,57.65
50,62.56
10,52.78
30,54.79
20,49.49
40,58.78
50,63.06
10,43.02
20,54.78
30,53.70
40,57.85
50,55.28
20,52.38
10,49.87
30,63.37
40,53.75
10,41.64
50,62.14
20,53.91
30,55.48
40,59.64
50,61.82
10,47.52
20,54.02
30,60.36
40,62.19
50,62.35
10,49.96
20,53.67
30,57.12
40,62.66
10,43.37
50,62.02
20,55.64
30,54.61
40,58.09
50,63.19
20,57.11
10,44.20
30,60.00
40,61.31
50,59.39
10,56.88
20,51.72
30,56.22
40,58.22
10,55.77
50,65.12
20,54.31
40,56.46
30,56.62
50,58.03
10,46.94
20,57.38
40,59.59
30,59.38
50,58.38
10,54.17
30,59.73
20,56.34
40,57.52
50,61.17
10,56.18
20,56.86
30,54.53
40,60.77
50,61.83
10,51.54
30,56.87
20,54.97
40,58.11
50,65.87
10,49.90
20,51.52
30,55.46
40,59.58
50,65.25
10,41.78
20,46.92
30,52.17
50,58.55
40,62.42
10,38.31
20,46.34
30,58.19
40,61.20
50,63.02
10,44.24
20,53.17
30,52.91
40,62.46
10,40.23
50,58.55
20,58.13
40,61.17
30,58.94
50,61.01
10,44.66
30,60.61
20,50.04
40,58.58
50,61.79
10,48.49
20,59.76
40,54.78
30,55.58
50,64.41
10,54.37
20,55.79
30,54.87
40,62.33
50,58.62
10,47.92
20,51.55
30,57.12
40,55.07
50,60.57
10,47.72
20,50.96
30,60.16
50,61.54
40,59.58
10,42.20
20,55.80
30,58.68
40,57.60
50,57.95
10,45.10
20,57.58
30,61.51
40,59.97
10,39.98
50,58.84
30,56.53
20,49.93
40,58.22
50,65.56
10,43.97
20,47.55
30,56.14
40,57.02
50,64.24
10,50.31
20,54.45
30,59.62
40,56.00
50,59.67
20,51.48
10,48.80
30,54.08
40,57.42
50,59.84
10,47.38
20,49.95
30,63.41
40,59.77
10,58.75
50,57.99
20,48.90
40,59.06
30,64.55
50,61.61
10,47.48
20,55.38
30,58.60
40,66.71
50,62.27
10,47.36
20,56.88
