Date/Time, 2020-05-28_13:22
10,58.27
30,70.03
10,62.37
20,63.66
40,70.66
50,71.66
40,76.74
20,62.91
30,71.87
10,66.94
50,70.39
30,68.27
50,69.07
20,62.92
40,70.96
10,66.41
10,60.00
40,73.71
30,66.57
20,65.48
40,71.39
10,64.21
30,71.69
50,72.60
50,72.17
20,66.89
20,66.83
30,71.00
40,75.50
50,74.39
20,63.88
40,71.62
50,72.69
20,66.45
10,60.85
30,71.41
10,56.46
40,70.50
50,72.98
30,60.41
30,68.04
40,71.13
10,59.80
50,70.82
20,58.94
10,61.11
20,65.96
40,65.78
50,71.36
30,70.86
40,74.18
30,67.60
50,74.54
10,57.22
20,73.03
20,70.21
50,72.05
10,59.88
40,72.23
30,67.05
30,69.57
10,61.31
50,73.24
10,62.81
20,69.17
40,67.49
30,66.90
40,70.69
20,66.34
50,69.79
10,58.05
40,70.86
30,69.05
20,70.06
10,58.46
50,73.55
30,69.66
40,73.84
10,62.24
50,72.91
30,64.69
40,71.14
50,74.47
20,66.30
10,62.89
20,66.10
20,60.89
30,73.37
40,68.85
50,74.83
10,67.23
10,62.08
50,71.64
40,68.55
20,68.91
40,72.23
30,70.93
20,67.40
30,71.05
50,72.91
10,62.25
20,61.99
30,64.24
50,70.42
10,52.01
40,69.65
40,73.08
30,68.65
20,64.06
10,61.18
50,73.35
30,65.96
50,70.79
40,72.15
20,68.91
40,69.17
30,70.46
10,61.40
50,72.23
20,65.34
20,58.35
40,68.43
50,71.22
30,67.64
10,60.58
10,61.98
30,69.31
50,65.69
40,72.29
20,64.38
30,66.70
50,71.09
40,71.89
10,51.20
20,67.87
20,62.00
50,72.68
30,67.66
40,70.70
10,63.54
30,67.92
10,65.34
20,66.28
40,67.60
50,71.37
20,68.64
30,70.91
50,66.25
40,71.77
20,69.36
10,52.89
30,70.34
50,70.66
40,70.99
30,71.38
10,59.84
50,74.22
10,59.42
40,70.48
10,63.28
30,65.64
50,73.60
40,73.02
10,66.56
20,63.72
30,68.88
20,69.48
40,71.50
50,75.53
20,65.83
20,67.88
40,70.30
50,68.68
10,66.11
10,61.86
30,72.67
20,65.16
40,67.70
30,68.19
20,70.93
30,72.40
10,60.67
40,74.75
50,73.02
20,71.73
10,60.87
10,56.54
30,70.39
40,71.00
20,67.56
50,70.64
40,72.05
50,74.79
30,73.25
50,72.08
10,64.26
40,70.56
50,71.53
30,67.24
20,70.17
10,63.36
20,68.80
30,70.30
50,73.77
40,73.16
30,66.60
10,68.98
50,70.26
40,72.48
10,65.12
20,63.28
20,60.37
30,70.21
40,68.07
50,69.98
40,74.03
20,67.68
50,73.27
10,69.14
30,70.75
20,72.32
30,69.78
10,64.60
50,71.01
40,69.49
20,62.55
30,68.75
50,72.82
10,62.18
30,71.89
10,66.20
20,65.61
40,66.84
50,71.62
40,70.83
40,71.88
30,67.73
10,63.48
50,75.33
20,60.00
40,72.13
30,72.91
10,54.94
50,69.77
20,68.75
30,72.76
50,74.22
20,59.29
10,50.49
20,68.80
30,69.09
40,72.32
40,72.39
10,60.14
10,52.24
50,67.72
30,71.54
20,65.46
10,62.05
30,73.48
20,64.01
40,71.75
50,72.17
