Date/Time, 2020-06-12_15:59
50,70.88
10,66.64
20,66.44
30,72.03
50,73.04
20,61.39
40,76.48
10,56.52
40,72.23
30,71.33
10,59.82
30,67.14
50,69.63
20,63.54
30,67.14
10,72.26
40,72.75
40,74.07
50,73.49
20,68.39
10,62.66
50,73.61
20,69.40
20,72.07
40,73.62
30,72.47
10,62.35
50,74.44
30,71.90
40,75.96
20,62.28
10,65.70
30,64.63
30,74.13
40,69.33
50,73.75
20,67.58
10,58.25
50,73.13
40,70.91
20,54.93
10,62.22
40,72.86
30,69.63
50,70.37
20,65.95
10,57.05
40,70.25
30,71.97
50,71.57
20,70.45
10,58.40
40,75.58
50,75.15
30,65.21
30,64.22
20,73.74
10,56.39
40,74.03
50,72.07
40,69.37
20,66.71
10,61.80
30,69.66
10,63.32
20,71.78
50,72.76
10,57.81
30,65.51
40,70.51
50,70.28
50,75.49
20,66.86
40,71.19
30,66.31
10,59.60
20,71.35
10,61.29
30,67.30
40,73.96
50,74.30
40,72.66
20,62.47
30,65.39
10,64.18
50,72.82
30,74.48
40,68.80
20,69.58
10,73.00
50,77.48
40,70.77
20,65.71
30,74.77
50,71.93
20,70.07
10,66.60
30,69.81
40,75.05
40,72.94
30,66.50
10,65.61
20,66.67
50,74.72
50,73.96
20,65.59
30,70.47
50,73.90
10,56.13
40,73.36
20,73.78
10,61.71
30,66.58
40,74.56
50,71.67
20,60.86
50,73.34
10,66.23
20,70.21
40,71.51
30,69.79
10,62.87
30,70.83
50,72.70
40,68.19
20,64.14
10,59.74
30,68.69
50,65.76
40,72.92
20,64.27
50,71.66
10,49.72
30,66.71
40,74.74
10,64.76
30,65.40
50,73.42
20,69.29
40,71.43
20,68.50
30,69.75
10,66.51
40,67.37
50,72.63
10,52.86
50,63.04
40,72.93
30,71.29
20,70.09
20,71.16
10,59.96
30,73.08
50,71.19
40,71.01
50,73.20
10,62.31
30,71.27
40,73.69
20,69.83
10,62.60
20,60.73
50,74.77
40,73.25
30,66.58
30,70.55
20,68.74
10,67.76
40,73.04
50,76.88
10,69.80
20,71.37
50,70.95
40,70.32
30,70.86
10,59.88
20,69.00
30,72.07
40,70.40
10,63.11
50,74.44
20,73.09
