Date/Time, 2020-06-12_10:19
20,66.68
10,58.98
50,71.96
50,70.69
40,76.01
40,71.74
30,71.88
10,66.13
30,71.00
20,61.54
20,59.44
30,67.49
10,71.83
50,68.28
40,71.67
20,68.26
20,65.93
50,71.91
10,60.85
40,73.80
10,62.82
30,66.87
10,62.08
20,69.80
40,72.56
30,71.77
30,72.30
50,73.92
20,63.08
30,71.04
40,75.56
40,70.11
50,73.79
10,63.98
40,71.24
20,67.23
30,65.50
50,73.24
10,57.10
50,72.45
20,59.42
50,69.47
10,61.27
20,67.34
40,71.54
30,68.35
10,45.17
20,71.93
40,74.58
30,70.42
40,69.84
50,70.77
50,74.31
10,60.31
30,68.05
40,74.06
10,58.40
20,72.34
30,63.68
50,72.16
40,69.69
10,63.89
10,63.14
20,65.89
20,70.95
30,65.64
30,69.65
50,73.05
10,60.04
40,69.96
10,58.34
50,69.76
50,74.44
40,73.55
30,67.58
40,69.23
30,66.56
20,70.54
50,73.38
10,62.30
20,68.60
30,56.64
20,66.92
20,62.82
40,71.30
40,69.56
50,74.00
50,75.76
10,72.15
30,73.94
10,63.51
30,73.77
30,70.05
50,71.60
20,66.45
40,69.85
20,69.60
10,65.05
40,74.16
20,64.60
50,74.56
30,65.70
50,72.23
40,72.29
10,64.56
40,73.17
10,55.56
30,71.29
50,73.56
20,66.27
30,64.59
20,72.99
10,60.74
20,62.22
50,73.29
40,73.78
40,69.85
40,67.27
30,69.75
10,65.08
20,61.90
10,61.70
50,73.35
30,69.59
50,71.85
10,60.91
30,69.62
50,67.37
20,63.39
40,72.33
30,67.35
20,62.36
20,68.00
30,66.42
40,70.25
30,68.12
10,62.17
40,73.60
50,70.97
10,37.06
40,67.23
50,72.63
20,66.42
10,65.82
50,72.49
20,69.64
40,72.38
50,71.78
10,55.14
50,65.28
20,69.63
30,72.04
30,70.88
10,50.07
40,70.40
30,70.51
10,61.84
10,50.75
50,74.47
10,67.50
20,61.26
40,72.11
20,69.67
30,66.13
40,73.78
20,69.13
50,73.99
30,70.14
50,76.07
40,71.88
40,70.00
10,69.27
20,69.98
30,69.46
10,60.24
