Date/Time, 2020-05-29_12:02
10,54.91
20,62.81
30,69.96
40,69.86
50,69.23
10,58.09
20,58.79
30,68.01
40,71.81
50,69.70
10,66.43
20,57.52
30,64.46
40,69.63
50,67.16
10,53.14
20,59.77
30,60.09
40,71.20
50,70.89
10,55.64
20,66.47
30,71.23
40,67.08
50,65.68
10,59.63
20,61.49
30,70.62
40,72.58
50,69.99
10,56.85
20,60.28
30,67.46
40,67.44
50,71.82
10,51.22
20,62.49
30,61.56
40,71.02
50,68.07
10,54.91
20,48.33
30,65.30
40,70.29
50,69.33
10,57.67
20,61.38
30,64.15
40,62.02
50,67.24
10,51.10
20,66.23
30,60.90
40,71.15
50,72.24
10,50.91
20,69.32
30,66.31
40,67.94
50,70.71
10,56.40
20,59.89
30,66.07
40,66.49
50,72.18
10,55.96
20,66.00
30,58.25
40,67.85
50,69.42
10,52.36
20,60.08
30,65.36
40,67.74
50,71.98
10,47.18
20,68.02
30,63.11
40,71.02
50,70.18
10,59.72
20,56.28
30,58.58
40,67.70
50,72.09
10,54.53
20,66.01
30,71.00
40,63.87
50,73.37
10,66.55
20,64.04
30,65.81
40,65.80
50,64.89
10,53.64
20,66.34
30,62.72
40,70.41
50,70.97
10,57.79
20,56.13
30,66.71
40,66.77
50,62.70
10,46.71
20,56.41
30,65.59
40,71.12
50,73.23
10,51.83
20,68.46
30,62.85
40,70.03
50,70.05
10,54.41
20,54.14
30,66.55
40,68.63
50,70.62
10,55.27
20,59.71
30,63.80
40,63.18
50,69.15
10,48.74
20,58.65
30,65.27
40,69.70
50,63.84
10,41.10
20,55.59
30,63.31
40,68.35
50,65.85
10,51.19
20,64.10
30,61.29
40,64.29
50,69.70
10,57.64
20,67.78
30,64.95
40,65.26
50,72.60
10,43.98
20,67.32
30,65.83
40,69.98
50,65.36
10,57.92
20,64.43
30,66.81
40,63.31
50,69.06
10,52.60
20,64.00
30,68.30
40,66.66
50,72.04
10,52.85
20,60.27
30,61.65
40,69.97
50,72.44
10,61.99
20,63.79
30,65.56
40,69.32
50,73.46
10,62.30
20,63.33
30,59.92
40,66.66
50,64.30
10,52.01
20,62.18
30,70.33
40,59.20
50,74.01
10,46.03
20,61.55
30,67.29
40,71.21
50,70.80
10,60.58
20,64.12
30,68.91
40,67.72
50,72.15
10,54.38
20,60.58
30,70.51
40,69.85
50,73.89
10,60.25
20,63.49
30,69.23
40,67.39
50,73.51
10,55.05
20,59.05
30,69.49
40,72.57
50,70.17
10,62.63
20,56.07
30,67.39
40,70.47
50,73.16
10,60.34
20,62.13
30,68.22
40,64.33
50,67.88
10,55.78
20,62.01
30,67.78
40,70.13
50,66.42
10,66.50
20,66.26
30,69.27
40,65.77
50,67.46
10,58.07
20,58.66
30,62.25
40,67.49
50,70.49
10,58.90
20,63.29
30,65.84
40,66.93
50,69.94
10,63.05
20,65.87
30,65.87
40,69.27
50,70.32
10,49.72
20,58.32
30,61.71
40,70.83
50,65.41
10,44.29
20,51.45
30,69.28
40,71.84
50,70.52
10,57.78
20,59.41
30,61.24
40,72.12
50,65.43
10,44.21
20,65.32
30,69.22
40,72.30
50,71.27
10,48.93
20,55.45
30,70.68
40,69.84
50,73.71
10,57.04
20,62.73
30,67.12
40,65.27
50,74.44
10,58.12
20,64.79
30,67.70
40,69.17
50,69.42
10,52.21
20,60.73
30,64.72
40,64.58
50,69.54
10,61.82
20,58.92
30,62.71
40,70.74
50,70.53
10,48.70
20,62.90
30,71.68
40,66.99
50,71.04
10,55.65
20,68.18
30,68.94
40,68.93
50,66.73
10,52.77
20,64.56
30,65.91
40,67.59
50,71.17
10,49.34
20,55.27
30,67.97
40,67.51
50,68.12
10,65.54
20,60.04
30,68.76
40,68.30
50,70.78
10,51.54
20,60.92
30,60.09
40,65.04
50,71.25
10,51.90
20,53.03
30,70.51
40,68.85
50,66.20
10,63.87
20,49.36
30,69.01
40,69.97
50,70.73
10,52.02
20,67.74
30,64.73
40,73.92
50,70.95
10,50.43
20,63.11
30,65.28
40,68.05
50,67.24
10,62.55
20,65.36
30,71.40
40,71.13
50,69.28
10,52.54
20,60.47
30,67.91
40,73.28
50,69.37
10,48.72
20,65.68
30,68.33
40,67.36
50,71.80
10,58.26
20,59.74
30,66.63
40,64.63
50,73.45
10,58.93
20,65.91
30,69.71
40,68.11
50,69.71
10,50.47
20,52.72
30,66.10
40,66.24
50,71.57
10,55.40
20,64.01
30,62.27
40,68.67
50,73.09
10,54.26
20,62.80
30,63.69
40,71.37
50,69.79
10,48.64
20,67.29
30,62.88
40,68.44
50,74.07
10,57.09
20,58.81
30,66.09
40,69.14
50,71.82
10,50.58
20,63.10
30,62.82
40,66.66
50,73.05
10,46.35
20,59.19
30,68.21
40,71.25
50,65.50
10,49.24
20,57.81
30,69.33
40,64.24
50,74.52
10,56.09
20,66.23
30,65.91
40,69.24
50,73.68
10,50.95
20,63.73
30,68.85
40,71.42
50,64.94
10,52.93
20,64.14
30,71.19
40,68.86
50,72.99
10,52.02
20,69.03
30,65.99
40,65.58
50,71.09
10,56.72
20,67.13
30,60.47
40,61.80
50,72.04
10,55.34
20,55.30
30,70.70
40,67.30
50,70.93
10,47.47
20,62.92
30,67.60
40,73.82
50,70.65
10,56.02
20,65.97
30,65.03
40,64.66
50,73.27
10,54.23
20,62.31
30,70.34
40,75.02
50,64.74
10,55.05
20,62.21
30,67.40
40,67.53
50,74.00
10,54.92
20,58.36
30,68.02
40,67.46
50,72.23
10,55.51
20,62.06
30,66.39
40,66.87
50,72.87
10,56.83
20,67.73
30,65.58
40,71.23
50,66.87
10,60.99
20,62.20
30,65.13
40,70.04
50,65.68
10,60.69
20,60.72
30,67.23
40,68.49
50,68.45
10,52.77
20,59.79
30,68.16
40,65.53
50,68.52
10,47.68
20,66.83
30,69.64
40,71.81
50,73.68
10,60.92
20,64.87
30,59.53
40,70.03
50,69.66
10,55.97
20,64.04
30,59.30
40,68.13
50,72.41
10,54.43
20,52.79
30,64.76
40,70.89
50,69.76
