Date/Time, 2020-06-13_19:46
100,34.18
100,42.09
200,62.95
200,58.68
400,70.36
400,78.09
800,87.34
1600,91.07
1600,91.51
800,87.18
200,65.74
100,46.97
400,77.45
100,39.73
200,60.84
800,86.37
400,70.64
800,86.46
1600,90.56
1600,90.58
100,47.57
200,73.17
400,73.54
800,86.32
100,52.56
1600,90.57
200,59.24
800,86.28
1600,90.77
400,82.64
100,51.97
200,65.45
400,74.31
200,70.04
1600,89.72
800,86.91
400,71.98
100,50.84
800,85.14
100,41.96
200,67.50
1600,89.83
400,77.18
800,84.95
200,56.04
100,44.93
1600,90.51
400,72.50
100,50.00
800,85.93
200,66.51
1600,89.46
400,72.45
800,85.82
100,49.01
400,79.24
200,62.65
1600,89.61
100,46.29
1600,90.57
800,85.29
200,59.80
400,74.53
800,88.05
200,59.49
100,51.20
1600,90.98
400,73.00
800,83.70
100,50.46
1600,90.79
200,68.24
100,47.26
400,76.94
200,59.80
1600,90.62
800,85.21
400,75.51
800,82.49
100,59.66
1600,90.73
200,56.34
100,43.50
400,72.46
800,84.48
200,59.11
1600,91.15
400,68.90
100,43.37
1600,90.15
400,76.34
800,88.43
200,64.54
800,84.22
1600,90.23
800,84.01
400,72.46
200,67.66
100,47.78
100,49.85
200,63.15
1600,90.10
400,75.87
800,85.36
1600,90.86
100,37.52
400,76.71
200,57.13
800,85.58
100,42.97
200,65.45
400,72.89
1600,91.09
800,82.87
100,51.14
200,62.97
1600,90.66
400,76.36
100,50.75
800,84.94
200,60.97
1600,91.09
100,53.97
800,86.01
400,72.19
200,57.79
1600,91.22
400,78.53
100,47.16
1600,90.49
800,84.23
200,58.38
800,83.57
400,71.67
100,40.59
1600,91.02
200,61.15
100,45.06
400,80.46
1600,90.60
800,85.58
200,61.01
400,74.94
100,45.11
800,83.03
200,63.21
1600,90.02
100,47.97
400,78.37
800,86.96
200,61.32
1600,91.68
400,73.54
1600,90.56
100,51.62
200,60.65
800,87.35
400,76.13
1600,90.69
100,48.38
800,86.32
200,62.41
400,77.97
800,83.96
200,63.19
100,46.48
1600,91.44
400,76.99
800,86.65
100,42.64
1600,91.69
400,77.40
200,58.06
800,84.76
100,50.93
1600,91.11
400,75.55
100,47.14
200,62.00
200,56.76
1600,90.26
800,84.22
400,77.96
100,47.31
800,84.54
1600,91.32
200,64.23
400,71.26
800,84.05
100,39.52
1600,89.46
200,65.78
400,75.13
800,87.09
100,54.52
200,66.42
1600,89.88
400,75.93
100,52.32
800,85.71
1600,90.40
200,57.90
400,75.66
100,45.70
200,64.94
800,82.48
1600,90.67
800,87.46
400,70.72
1600,90.47
100,45.06
200,64.98
400,74.55
800,83.69
200,61.36
100,49.23
1600,90.73
100,48.54
800,83.72
400,76.46
200,66.32
1600,90.82
100,42.15
400,77.52
200,62.28
800,85.12
1600,90.78
400,79.96
100,52.06
800,85.67
1600,91.24
200,55.43
400,69.54
100,41.26
800,84.67
1600,91.04
200,63.44
400,73.68
800,85.76
100,48.52
1600,90.40
200,53.77
100,43.13
400,75.20
800,81.26
200,59.33
1600,91.47
400,79.99
800,85.47
100,46.04
1600,91.53
200,69.43
800,87.12
400,77.29
200,61.64
100,40.89
1600,89.74
400,75.48
800,86.91
100,50.36
1600,91.20
200,63.45
400,77.00
800,85.72
200,56.80
1600,90.77
100,40.50
100,45.16
400,74.55
200,62.73
1600,90.47
800,82.26
400,70.72
800,85.04
200,56.04
1600,90.78
100,54.76
1600,91.07
800,85.47
100,49.50
400,77.01
200,63.30
400,73.13
1600,91.52
800,87.06
100,44.71
200,62.73
400,74.89
100,41.16
800,86.21
200,66.38
1600,90.68
400,72.63
100,49.78
800,86.35
200,66.47
1600,91.11
400,75.76
100,51.80
800,86.84
1600,91.50
200,61.81
400,78.26
800,84.22
100,42.32
1600,90.65
200,59.45
100,42.37
200,62.67
800,86.26
400,74.79
1600,90.46
400,72.80
100,43.70
1600,90.62
800,86.07
200,57.00
