Date/Time, 2020-06-02_19:24
1600,97.04
1600,97.12
800,96.98
800,96.76
400,96.62
400,96.45
200,95.88
100,83.16
200,95.97
100,91.38
1600,96.89
800,96.86
200,96.35
100,90.35
400,96.05
1600,97.09
800,96.98
400,96.49
200,96.26
100,91.43
1600,97.03
800,96.82
400,96.46
1600,97.10
200,96.28
100,82.29
800,96.84
200,94.97
400,96.62
100,92.91
1600,96.88
800,96.69
100,96.01
1600,96.92
200,96.36
400,96.58
800,96.67
400,96.50
100,92.72
200,96.01
1600,96.92
800,96.83
400,96.51
100,84.53
200,96.19
1600,96.99
800,96.64
400,96.39
100,85.31
200,95.18
1600,96.93
800,96.92
100,93.56
1600,96.98
400,96.49
200,96.03
800,96.83
400,96.77
100,94.64
200,95.97
1600,96.99
800,96.94
100,94.71
400,96.74
1600,97.02
200,96.48
800,96.78
100,91.41
200,96.19
400,96.27
1600,96.82
800,96.82
100,93.96
200,96.13
1600,96.94
400,96.65
800,96.60
400,96.52
100,94.56
200,95.67
1600,96.98
800,96.55
100,94.87
400,96.43
1600,96.89
200,96.25
800,96.87
100,90.50
200,96.16
400,96.73
1600,97.07
800,96.72
100,89.40
1600,96.92
200,95.93
400,96.54
800,96.62
100,92.18
200,96.49
400,96.43
1600,96.94
800,96.73
100,93.34
400,96.66
1600,97.00
200,96.42
800,96.87
400,96.50
100,88.92
200,95.59
1600,97.04
800,96.86
100,88.33
400,96.46
200,95.80
1600,97.05
800,96.92
400,96.68
100,92.34
200,95.96
1600,97.04
800,96.82
400,96.57
100,91.45
1600,97.06
200,96.28
800,96.88
400,96.64
100,94.14
200,92.35
1600,97.02
800,96.88
200,95.75
100,93.76
400,96.50
1600,97.12
800,96.76
200,95.97
400,96.51
100,85.10
1600,97.06
800,96.83
400,96.69
100,92.16
200,96.02
1600,96.93
800,96.73
100,91.55
200,95.56
400,96.41
1600,97.06
800,96.61
100,91.05
400,96.25
200,95.60
1600,96.93
800,96.68
400,96.67
100,94.68
200,95.61
1600,97.05
800,96.71
100,84.34
200,96.21
400,96.22
1600,97.00
800,96.74
100,95.46
400,96.37
200,95.72
1600,96.95
800,96.89
100,92.24
200,96.22
400,96.61
1600,96.91
800,96.79
200,95.98
400,96.39
100,92.64
1600,97.07
100,95.72
800,96.70
400,96.45
200,96.26
1600,97.01
800,96.81
100,92.03
400,96.63
200,95.22
1600,97.07
800,96.88
400,96.51
100,88.93
1600,96.93
200,96.26
800,96.69
100,87.13
200,96.03
400,96.51
1600,96.88
800,96.79
100,94.58
200,96.16
400,96.66
1600,97.17
800,96.94
400,96.47
200,95.70
100,89.21
1600,97.03
800,96.87
400,96.52
100,93.19
200,95.38
1600,97.10
800,97.00
100,93.99
400,96.75
200,95.98
1600,97.10
800,96.82
100,87.30
400,96.41
200,96.34
1600,97.12
800,96.74
400,96.59
100,86.62
200,95.04
1600,96.91
800,96.64
400,96.75
100,92.02
200,95.62
1600,96.84
800,96.92
400,96.75
100,91.85
200,96.00
1600,96.95
800,96.77
400,96.00
100,90.84
200,96.23
1600,97.07
100,85.68
200,95.69
800,96.73
400,96.06
1600,96.89
100,94.20
800,96.85
200,96.50
400,96.48
1600,97.02
800,96.76
400,96.27
100,94.91
200,95.62
1600,97.08
800,96.86
100,92.75
400,96.69
200,96.11
1600,96.86
800,96.83
100,92.98
200,95.89
400,96.30
1600,96.95
800,96.86
100,93.57
200,96.67
400,96.51
1600,97.04
800,96.92
400,96.13
100,89.58
200,94.30
1600,96.98
800,96.71
100,89.36
200,94.43
400,96.42
1600,97.17
800,96.74
100,89.74
400,96.45
200,95.69
1600,97.10
800,96.73
100,92.71
200,95.84
400,96.41
1600,97.13
800,96.87
100,92.35
400,96.47
200,96.29
1600,96.87
800,96.83
100,92.75
400,96.79
1600,96.98
200,95.74
800,96.95
200,96.07
100,89.08
400,96.65
1600,97.00
800,96.89
100,84.78
1600,97.06
400,96.44
200,96.30
800,96.76
200,94.20
400,96.76
100,85.19
1600,96.87
800,96.70
400,96.13
100,90.28
200,95.73
1600,96.95
800,96.85
200,95.54
400,96.49
100,92.38
1600,97.10
800,96.53
100,92.57
400,96.37
200,95.28
1600,96.97
800,96.60
100,95.98
400,96.52
200,96.11
1600,96.89
800,96.78
100,94.65
400,96.50
200,95.64
1600,97.05
800,96.79
100,95.65
200,94.61
400,96.74
1600,96.92
800,96.82
400,96.66
100,88.37
200,96.03
1600,96.99
800,96.89
100,92.92
400,96.48
200,96.11
1600,96.98
800,96.75
400,96.38
100,94.96
200,95.91
1600,97.14
800,96.67
100,95.72
400,96.64
200,94.73
1600,97.09
400,96.47
800,96.61
100,86.98
200,96.27
1600,97.00
100,90.72
800,96.99
400,96.42
200,94.99
1600,97.07
800,96.80
100,94.60
400,96.68
1600,97.01
200,95.69
800,96.95
400,96.59
100,94.76
200,96.26
1600,96.95
800,96.65
200,95.62
100,90.95
400,96.47
1600,97.02
800,96.79
400,96.82
200,95.79
100,95.91
1600,97.06
800,96.70
100,83.05
1600,96.91
400,96.53
200,96.12
800,96.83
400,96.42
200,94.33
100,82.72
1600,96.90
800,96.66
100,85.16
200,96.29
400,96.53
1600,97.04
800,96.68
100,82.47
200,95.93
400,96.33
1600,96.89
800,96.82
400,96.28
100,90.79
1600,97.06
200,95.65
800,96.70
100,94.78
400,96.66
200,94.98
1600,97.12
800,96.65
400,96.56
100,94.12
200,95.65
1600,97.00
800,96.70
400,96.51
100,94.30
200,96.20
1600,96.93
800,96.80
400,96.55
100,90.97
200,95.91
1600,96.82
800,96.85
100,94.20
400,96.61
200,95.66
1600,97.06
800,96.80
100,86.29
200,95.75
400,96.49
1600,97.00
800,96.93
200,96.45
400,96.40
100,95.72
1600,96.98
100,95.92
800,96.98
400,96.61
200,96.14
1600,96.92
800,96.69
100,94.40
200,95.78
400,96.47
1600,97.03
800,96.89
400,96.47
100,94.50
200,96.60
1600,97.02
800,96.90
100,95.07
400,96.23
200,96.02
1600,96.98
800,96.66
400,96.64
100,93.65
200,96.03
1600,97.17
800,96.94
400,96.54
100,92.61
200,95.62
1600,96.94
800,96.75
100,91.19
400,96.67
200,96.40
1600,97.07
800,96.67
200,96.09
400,96.32
100,84.90
