Date/Time, 2020-06-03_16:18
200,92.21
200,90.68
1600,97.16
100,74.95
400,95.51
100,81.88
400,95.93
800,96.40
800,96.94
1600,96.91
100,86.08
200,91.69
800,96.52
100,78.76
400,93.44
1600,97.20
200,92.24
800,96.15
100,78.27
1600,97.11
400,94.36
200,92.60
400,94.83
1600,97.22
1600,96.95
200,89.49
800,95.84
400,96.06
100,84.09
100,83.12
800,96.91
200,91.10
400,94.62
800,96.20
100,76.54
800,96.55
1600,97.19
100,83.37
200,91.33
400,94.92
1600,97.18
400,94.59
200,91.87
1600,97.13
100,83.00
800,96.13
800,96.46
200,92.14
400,95.56
100,84.69
1600,97.03
200,91.28
400,95.81
100,80.37
800,96.81
1600,97.07
1600,97.13
800,96.48
200,91.35
400,94.33
100,83.16
400,94.90
200,91.80
800,96.50
100,79.83
1600,97.15
100,81.07
200,90.59
800,96.72
400,95.11
400,93.93
1600,97.02
200,91.83
800,96.69
100,82.31
200,91.34
800,96.79
1600,97.12
1600,97.09
200,90.94
400,93.74
100,85.45
400,95.97
200,90.28
100,73.73
800,96.09
800,96.60
1600,97.12
400,96.10
1600,97.02
100,85.95
400,94.58
200,91.96
800,96.37
100,77.29
200,91.02
1600,97.17
800,95.78
400,93.94
100,86.07
1600,96.86
200,91.90
400,95.46
800,96.01
1600,97.04
100,82.32
1600,96.89
400,94.19
200,89.23
800,96.59
400,94.83
100,80.88
200,90.61
800,96.18
200,91.24
1600,96.88
400,94.90
800,96.58
100,76.67
1600,97.02
100,79.40
200,90.90
1600,97.13
400,94.71
800,96.41
800,96.46
200,92.23
100,84.21
400,94.74
400,94.79
1600,97.06
200,90.49
800,96.96
1600,96.92
100,81.87
100,74.98
200,90.29
400,94.85
800,96.58
200,92.11
1600,96.99
100,80.15
1600,96.94
400,94.65
100,80.36
800,96.88
800,96.78
200,92.90
400,94.62
1600,97.09
400,94.98
200,90.34
100,76.76
1600,97.02
100,78.60
800,96.89
200,92.44
400,94.62
200,92.29
100,73.63
800,96.34
1600,97.11
200,92.05
400,94.78
1600,97.15
800,96.24
100,79.17
400,94.01
800,96.37
200,91.33
100,80.32
1600,97.07
400,94.76
800,96.51
100,82.88
1600,97.26
400,94.46
800,96.41
200,91.16
200,88.61
1600,97.26
400,94.58
100,80.24
1600,97.21
800,97.01
100,77.47
200,90.96
1600,97.28
800,96.97
400,94.70
200,91.23
400,94.94
100,81.64
800,97.05
200,88.39
100,81.34
1600,97.16
1600,96.82
400,94.56
800,96.82
200,91.66
100,80.63
100,83.72
400,95.52
800,96.96
1600,97.32
400,94.68
100,80.44
200,90.92
1600,97.00
800,96.96
400,95.75
800,96.71
200,89.91
1600,97.29
400,95.85
200,91.21
100,84.12
800,96.36
1600,97.21
400,95.82
200,91.20
100,81.07
800,96.74
200,91.54
1600,97.04
100,82.38
400,94.42
100,82.18
400,96.32
800,96.50
1600,97.21
200,91.41
1600,97.14
100,79.34
800,96.79
1600,97.12
400,94.75
200,91.85
800,96.82
400,94.14
800,96.59
100,80.72
200,90.95
1600,97.17
200,92.18
100,84.14
400,94.12
800,96.49
1600,97.08
200,91.41
1600,97.21
100,79.60
100,81.88
800,96.87
400,95.48
200,92.46
100,76.40
400,95.11
800,96.31
400,95.47
100,83.79
1600,96.96
200,90.72
800,96.62
1600,97.16
800,96.43
100,81.54
200,92.92
400,94.25
1600,97.16
200,91.59
1600,96.96
400,93.66
800,96.72
100,73.13
800,96.68
400,95.17
200,90.96
1600,97.22
200,91.81
100,80.47
1600,97.21
400,94.17
800,96.46
100,78.44
200,90.60
400,95.10
1600,97.18
200,91.17
800,96.45
100,82.28
1600,97.23
800,96.07
100,82.52
400,94.18
200,91.67
800,96.42
400,94.55
400,95.43
1600,97.06
100,83.91
200,90.83
100,86.17
1600,97.12
800,96.37
1600,97.03
200,91.39
800,96.72
100,85.43
400,94.90
200,91.75
1600,97.07
400,94.41
800,96.46
200,92.59
100,85.30
400,95.33
1600,97.11
400,94.46
800,96.07
100,81.30
100,80.77
200,90.23
1600,96.95
800,96.60
200,91.22
400,93.84
1600,97.09
1600,96.86
100,80.39
200,92.15
800,96.35
100,85.12
400,94.05
800,96.27
1600,96.93
400,94.79
200,92.98
200,90.64
800,96.03
100,83.20
400,95.01
800,96.38
100,83.67
1600,97.13
200,91.03
800,96.66
1600,97.24
400,95.57
100,76.81
800,96.69
400,94.13
200,90.07
1600,97.14
200,90.50
400,95.86
100,83.43
800,96.52
1600,97.25
100,84.92
200,91.20
400,95.34
100,86.22
800,96.92
400,95.66
200,90.53
1600,96.97
800,96.68
1600,96.99
100,80.94
1600,97.25
800,95.87
200,90.03
400,93.86
100,81.37
200,88.36
800,96.66
400,94.96
1600,97.01
