Date/Time, 2021-03-22_23:00
1600,96.93
400,96.94
800,97.07
200,95.92
100,97.11
400,97.08
200,96.89
800,96.95
100,96.93
1600,96.93
100,96.93
200,97.10
800,96.92
400,95.94
100,97.08
1600,96.93
1600,96.95
200,97.11
800,96.92
400,96.94
100,95.97
200,96.95
400,97.14
1600,96.90
800,96.92
100,96.92
200,95.95
400,97.11
1600,96.92
100,95.97
800,96.91
200,96.94
800,96.92
1600,96.93
400,96.92
100,97.08
400,96.93
200,97.11
100,96.91
800,96.93
1600,96.90
200,96.93
400,96.89
800,96.90
100,95.30
1600,96.92
200,97.08
400,96.94
800,96.94
200,95.91
1600,96.91
100,97.11
400,97.13
800,96.93
1600,96.90
100,96.91
200,95.93
400,97.11
1600,96.95
800,96.92
400,97.10
100,96.95
800,96.94
200,96.92
1600,96.92
200,96.94
100,96.90
800,97.10
100,95.92
200,96.92
400,97.10
400,96.93
1600,96.92
800,96.92
1600,96.92
100,96.95
200,96.92
400,97.11
800,96.92
100,95.93
400,96.94
1600,96.93
800,96.94
200,97.11
1600,96.94
100,97.14
200,96.93
400,97.12
800,96.92
1600,96.91
100,95.43
200,96.92
400,96.95
1600,96.97
800,96.92
100,96.92
400,97.13
200,96.94
1600,96.90
800,96.92
100,96.90
800,96.93
200,97.08
400,97.10
1600,96.93
100,97.11
200,97.08
400,96.91
100,96.42
200,96.93
800,97.11
1600,96.89
400,97.10
800,96.90
1600,96.90
100,95.93
200,96.05
200,97.07
400,97.11
800,97.09
1600,97.09
100,96.93
400,97.11
1600,96.94
800,96.91
200,96.95
100,97.12
400,96.94
100,97.11
200,96.94
1600,96.93
800,96.91
400,96.93
800,97.11
100,97.08
1600,96.94
400,96.89
200,96.92
800,96.92
1600,96.92
100,95.99
200,97.10
400,97.08
800,97.10
100,96.94
1600,96.94
800,97.10
400,96.95
200,96.90
100,96.90
1600,96.91
200,96.90
400,95.95
800,96.91
1600,96.93
400,97.07
200,95.93
100,96.95
800,96.91
200,96.89
100,96.93
1600,96.92
400,97.10
800,97.11
1600,96.95
100,96.27
400,96.91
1600,96.91
200,96.90
800,96.94
100,96.92
200,96.89
400,97.08
1600,96.88
800,96.94
100,96.92
1600,96.93
200,96.92
400,96.93
100,96.90
800,96.94
200,95.96
400,96.91
800,96.92
1600,96.90
200,97.08
100,95.99
400,97.11
800,96.93
1600,96.96
100,97.14
200,97.11
800,96.94
400,97.11
1600,96.90
100,96.90
200,97.07
400,96.95
1600,96.93
800,96.94
100,95.95
400,96.90
1600,96.92
200,97.08
200,96.95
800,96.92
100,96.93
800,97.10
400,96.95
1600,96.95
200,96.92
100,96.04
800,96.89
400,96.92
1600,96.93
100,96.65
200,97.10
800,96.94
400,96.92
1600,96.91
200,96.92
100,97.10
800,97.10
100,96.12
400,97.07
1600,96.92
200,95.95
400,97.08
800,97.12
100,96.95
400,97.11
1600,96.91
200,96.90
800,96.92
1600,96.93
100,96.12
200,96.93
800,97.10
1600,96.95
400,97.11
100,95.93
200,97.10
400,96.92
800,96.95
1600,96.93
100,96.93
200,96.90
100,95.98
400,95.95
1600,96.94
800,96.94
200,97.08
400,96.92
1600,96.95
800,96.92
200,95.97
100,96.92
400,96.93
800,97.10
100,96.19
1600,96.90
200,97.13
400,97.09
1600,96.93
800,96.93
100,97.13
200,96.92
1600,96.91
400,96.95
800,96.96
100,95.95
400,96.93
200,97.10
800,96.91
1600,96.93
100,95.97
400,97.10
800,96.93
1600,96.93
200,96.91
100,97.11
200,95.92
400,97.13
800,96.93
1600,96.94
100,96.93
200,96.93
400,97.11
800,97.10
100,95.98
1600,96.93
200,96.93
800,96.90
1600,96.93
400,96.90
100,95.92
200,97.10
400,97.11
1600,96.89
800,97.11
100,96.90
200,96.95
400,97.07
800,96.92
100,96.93
1600,96.92
200,97.11
400,96.95
1600,96.91
800,96.89
400,96.93
800,96.92
100,96.08
1600,96.94
200,96.93
100,96.90
200,96.08
400,96.95
800,96.92
1600,96.93
100,96.92
200,96.93
800,96.92
400,96.95
200,96.92
400,97.14
100,96.95
1600,96.90
200,96.89
1600,96.95
800,96.93
400,96.93
1600,96.95
100,96.90
200,96.93
100,95.93
800,96.91
400,97.10
800,96.90
1600,96.91
400,97.10
200,96.90
1600,96.92
100,96.19
100,96.90
800,96.92
200,95.92
400,96.92
800,96.91
100,96.28
1600,96.92
200,97.11
400,96.90
800,96.91
1600,96.92
400,96.92
200,95.95
100,95.93
800,97.13
1600,96.90
100,95.98
800,96.92
400,96.92
200,97.10
200,97.14
100,96.92
1600,96.93
400,97.07
800,96.94
200,96.95
100,97.11
1600,96.92
400,96.93
1600,96.93
800,96.92
200,95.97
100,96.93
400,96.93
100,95.92
1600,97.10
800,96.95
200,96.00
400,97.13
800,96.93
100,97.14
1600,96.92
200,96.94
1600,96.91
800,96.93
400,96.93
400,97.10
100,96.90
200,97.11
800,97.11
400,97.13
800,96.91
1600,96.92
100,96.92
200,96.92
400,97.08
100,96.33
200,96.95
800,96.95
1600,96.89
1600,96.92
100,95.93
400,97.07
200,96.93
1600,96.91
800,96.95
200,97.08
100,96.95
400,96.93
800,96.94
100,95.95
200,96.93
1600,96.90
800,97.10
1600,96.89
400,96.95
100,96.90
200,96.90
800,96.92
400,97.11
1600,96.91
100,96.93
800,96.94
400,96.93
200,97.11
100,96.95
200,97.10
1600,96.93
400,96.93
1600,96.91
800,96.95
400,97.07
200,96.90
100,97.10
800,96.95
100,95.93
1600,96.95
200,95.94
800,97.11
400,97.14
1600,96.94
100,97.08
400,96.89
200,95.95
100,95.94
800,97.15
800,97.10
1600,96.95
400,97.13
200,95.96
200,96.90
100,96.10
400,97.11
1600,96.93
1600,96.94
400,96.95
800,96.96
800,96.93
100,97.08
200,96.92
200,96.11
1600,96.95
100,95.93
400,97.11
200,96.92
800,96.91
400,96.93
1600,96.91
100,96.93
800,96.93
200,96.28
100,96.90
1600,96.93
400,95.95
100,96.89
800,97.12
800,96.94
200,96.15
1600,96.91
400,97.14
1600,96.95
100,96.93
200,96.06
400,97.14
800,96.92
1600,96.92
200,97.11
100,96.93
1600,96.94
800,96.92
400,97.12
100,97.11
200,95.99
400,97.11
800,96.89
1600,96.92
