Date/Time, 2020-08-20_22:29
400,89.36
200,87.88
100,83.90
800,91.75
1600,92.33
100,84.82
200,87.11
400,89.18
800,91.43
1600,92.62
100,85.63
200,88.88
400,89.87
800,91.56
1600,91.99
100,84.71
200,88.02
400,90.14
800,91.41
1600,92.26
100,84.41
200,89.08
400,89.95
800,91.32
1600,92.46
100,82.85
200,88.46
400,89.26
800,91.70
100,86.62
1600,92.59
200,88.60
400,90.18
800,91.29
100,84.46
1600,92.17
200,89.36
400,89.51
800,91.13
1600,92.33
100,88.77
400,89.35
800,90.94
200,88.05
1600,92.00
200,87.94
100,85.86
400,89.39
800,91.43
100,85.53
1600,92.20
200,87.07
400,90.01
800,90.82
1600,92.27
100,86.37
200,89.41
800,90.87
400,89.79
1600,92.25
100,84.24
200,88.16
800,91.35
400,90.14
1600,92.18
200,87.39
100,85.78
400,89.18
800,90.99
1600,92.27
100,85.17
200,88.49
400,89.92
800,91.02
1600,92.36
100,87.23
200,88.06
400,89.76
800,91.34
1600,92.03
100,87.43
200,87.94
400,90.31
800,90.76
1600,92.38
100,82.61
200,87.94
400,89.73
800,91.26
100,86.39
1600,92.53
200,88.62
400,89.33
800,90.79
1600,92.05
100,84.26
200,88.56
400,89.14
800,91.27
1600,92.54
100,85.76
200,87.75
400,90.23
800,91.14
1600,92.41
100,85.10
200,88.48
400,90.13
800,91.29
1600,92.37
100,85.67
200,87.67
400,90.27
800,91.08
1600,92.27
100,86.56
200,87.29
400,90.08
800,91.20
1600,92.23
100,84.17
200,87.75
400,89.73
800,91.07
1600,92.72
100,85.17
200,87.96
400,90.21
800,91.52
1600,92.04
100,84.26
200,85.72
400,89.52
800,91.45
1600,92.26
100,84.89
200,88.25
400,90.03
800,91.50
1600,92.23
100,86.08
200,86.83
400,89.31
800,91.18
1600,92.33
200,88.10
100,86.68
800,91.38
400,89.75
1600,92.16
100,86.25
200,88.45
400,89.41
800,91.38
200,87.73
1600,92.36
100,87.06
400,90.18
800,91.82
100,84.56
1600,92.30
200,89.00
400,89.71
800,90.66
