Date/Time, 2020-06-03_14:13
1600,96.22
1600,96.42
800,96.29
800,96.10
400,95.45
400,95.48
200,94.46
200,94.78
800,96.09
1600,96.04
100,93.36
400,95.24
100,94.09
200,95.51
1600,96.29
100,94.49
800,96.09
400,95.46
200,95.51
100,94.54
1600,96.29
800,95.98
400,95.58
200,95.34
1600,96.36
400,95.60
800,96.12
200,94.29
100,93.50
100,94.10
400,95.59
1600,95.93
200,95.34
800,96.03
100,94.21
1600,96.17
800,95.93
400,95.55
200,95.09
1600,96.07
800,95.86
400,95.45
200,95.20
100,94.32
1600,96.17
100,94.82
400,95.40
800,95.61
200,95.22
100,92.07
