Date/Time, 2020-06-02_22:48
200,96.33
200,95.96
1600,97.00
800,96.92
400,96.44
1600,96.91
400,96.34
800,96.69
100,96.30
200,96.57
100,95.61
100,96.11
1600,96.97
800,96.88
1600,96.80
800,96.77
400,96.13
400,96.66
400,96.62
800,96.81
200,96.73
1600,96.99
200,96.45
200,95.91
100,96.15
100,95.57
400,96.49
100,96.06
400,96.52
800,96.77
1600,96.89
800,96.71
800,96.64
1600,96.80
100,95.94
200,96.63
200,96.45
400,96.49
200,96.18
400,96.52
200,96.24
1600,96.80
400,96.54
100,96.42
100,96.30
1600,96.93
800,96.80
1600,96.75
800,96.71
100,95.31
100,95.80
1600,96.84
400,96.54
800,96.85
1600,96.86
100,95.89
800,96.76
200,96.46
200,96.06
400,96.74
100,96.23
200,96.00
800,96.90
1600,96.96
400,96.70
400,96.34
100,95.66
200,96.50
800,96.85
100,95.93
1600,96.89
800,96.87
100,96.42
400,96.68
200,96.36
1600,96.74
800,96.58
400,96.47
200,96.55
1600,96.89
400,96.56
800,96.57
1600,96.87
100,95.97
100,95.44
800,96.79
1600,96.80
200,96.41
400,96.64
1600,96.87
200,96.63
100,95.72
200,96.39
100,95.93
1600,96.92
400,96.57
800,96.71
400,96.32
1600,96.88
800,96.75
200,96.44
800,96.68
800,96.83
400,96.66
1600,96.81
100,96.41
200,96.54
200,96.19
200,96.20
1600,96.94
100,96.41
400,96.39
400,96.64
100,95.58
800,96.78
1600,96.88
400,96.68
100,95.99
400,96.73
200,96.00
100,95.25
800,96.74
200,96.32
200,96.38
800,96.80
1600,96.90
800,96.96
100,96.14
400,96.52
400,96.70
1600,96.98
200,96.43
800,96.78
100,96.65
1600,96.92
200,96.22
400,96.68
800,96.70
400,96.66
800,96.79
100,95.49
1600,97.01
100,96.44
200,96.51
1600,96.99
1600,96.92
800,96.59
400,96.44
200,96.37
800,96.57
200,95.92
1600,96.94
400,96.18
200,96.48
100,96.17
100,96.44
100,96.05
400,96.60
100,96.23
1600,96.88
1600,96.80
200,96.24
400,96.42
