Date/Time, 2020-06-12_21:25
200,97.18
100,97.31
800,97.30
400,97.22
800,97.29
1600,97.25
1600,97.31
400,97.25
100,97.21
200,97.26
100,97.21
100,97.33
800,97.27
1600,97.17
200,97.32
400,97.08
800,97.29
1600,97.22
400,97.16
200,97.34
100,97.20
200,97.18
100,97.16
800,97.25
1600,97.29
800,97.15
400,97.30
200,97.22
100,97.19
400,97.20
1600,97.21
800,97.22
200,97.19
200,97.27
400,97.26
800,97.23
1600,97.16
400,97.14
100,97.30
1600,97.27
100,97.28
200,97.32
200,97.13
400,97.25
400,97.35
800,97.14
1600,97.29
100,97.16
800,97.06
1600,97.24
1600,97.21
400,97.25
100,97.25
200,97.32
800,97.29
200,97.25
100,97.38
800,97.25
400,97.27
1600,97.23
100,97.06
800,97.24
200,97.29
400,97.27
100,97.17
1600,97.26
800,97.25
400,97.17
1600,97.26
200,97.17
200,97.27
100,97.19
200,97.28
400,97.33
800,97.24
800,97.22
1600,97.14
100,97.29
400,97.25
1600,97.16
100,97.17
400,97.27
200,97.34
1600,97.19
800,97.17
100,97.25
200,97.29
1600,97.14
800,97.27
400,97.23
100,97.23
200,97.21
400,97.20
200,97.17
800,97.19
800,97.30
1600,97.31
100,97.31
1600,97.07
400,97.17
100,97.22
200,97.27
1600,97.25
400,97.20
800,97.24
800,97.20
200,97.31
100,97.31
400,97.09
1600,97.31
100,97.27
200,97.15
400,97.30
800,97.31
1600,97.19
100,97.30
200,97.32
400,97.27
400,97.26
800,97.21
100,97.27
1600,97.23
200,97.30
1600,97.26
800,97.23
800,97.32
100,97.30
400,97.35
200,97.22
1600,97.29
200,97.23
100,97.31
400,97.13
1600,97.17
800,97.35
200,97.19
100,97.29
400,97.22
800,97.23
1600,97.24
100,97.18
200,97.23
400,97.24
800,97.26
1600,97.28
100,97.30
200,97.16
400,97.31
100,97.17
200,97.29
800,97.28
1600,97.22
400,97.19
800,97.21
1600,97.25
200,97.32
100,97.21
400,97.24
200,97.17
1600,97.17
400,97.24
800,97.20
800,97.23
100,97.33
1600,97.27
200,97.19
100,97.35
100,97.21
400,97.27
800,97.26
200,97.24
1600,97.16
800,97.18
400,97.33
1600,97.27
100,97.20
400,97.13
800,97.23
1600,97.22
200,97.17
100,97.20
800,97.21
400,97.22
200,97.16
1600,97.24
200,97.27
100,97.26
1600,97.28
800,97.27
400,97.32
100,97.31
200,97.30
800,97.29
1600,97.24
400,97.25
100,97.27
200,97.25
800,97.14
400,97.17
1600,97.26
400,97.19
100,97.17
100,97.04
200,97.27
1600,97.19
800,97.24
200,97.16
100,97.30
400,97.26
800,97.31
1600,97.29
200,97.24
400,97.13
100,97.25
800,97.19
1600,97.27
400,97.18
800,97.35
200,97.32
1600,97.26
800,97.19
400,97.24
200,97.30
100,97.32
1600,97.30
100,97.32
200,97.27
400,97.30
800,97.22
1600,97.26
100,97.22
800,97.08
400,97.32
200,97.17
100,97.34
1600,97.27
200,97.21
400,97.25
100,97.20
800,97.26
1600,97.23
200,97.32
800,97.29
400,97.10
1600,97.23
800,97.25
100,97.29
200,97.30
400,97.11
100,97.14
1600,97.28
400,97.25
200,97.29
800,97.26
1600,97.22
800,97.18
200,97.20
400,97.29
100,97.22
1600,97.29
400,97.26
100,97.28
200,97.29
100,97.29
800,97.29
1600,97.22
400,97.14
800,97.15
1600,97.20
200,97.30
100,97.30
200,97.30
400,97.19
400,97.22
200,97.13
800,97.27
1600,97.20
100,97.27
800,97.27
1600,97.25
100,97.17
200,97.26
400,97.20
200,97.28
1600,97.25
100,97.15
800,97.25
400,97.22
1600,97.31
800,97.22
400,97.10
200,97.35
100,97.07
100,97.17
800,97.25
1600,97.32
800,97.27
200,97.23
400,97.30
1600,97.26
100,97.13
1600,97.18
800,97.21
200,97.28
200,97.30
400,97.27
100,97.36
400,97.19
1600,97.25
100,97.32
800,97.30
200,97.18
400,97.03
800,97.30
1600,97.23
100,97.25
800,97.20
400,97.21
200,97.27
800,97.24
1600,97.24
400,97.22
100,97.19
200,97.30
200,97.20
1600,97.13
100,97.29
800,97.25
400,97.24
1600,97.30
200,97.26
800,97.26
100,97.17
400,97.10
1600,97.27
100,97.22
800,97.22
400,97.29
200,97.18
1600,97.20
200,97.29
100,97.29
400,97.29
800,97.24
1600,97.26
200,97.12
100,97.18
800,97.21
400,97.17
1600,97.20
200,97.33
100,97.23
400,97.03
800,97.26
800,97.23
200,97.17
1600,97.27
400,97.26
1600,97.24
100,97.20
100,97.19
200,97.29
400,97.09
800,97.21
100,97.18
200,97.29
1600,97.26
400,97.27
800,97.26
1600,97.32
400,97.15
100,97.29
200,97.18
800,97.18
1600,97.19
200,97.23
100,97.19
400,97.13
800,97.25
1600,97.15
100,97.34
200,97.14
800,97.22
1600,97.30
400,97.21
200,97.13
100,97.28
800,97.29
400,97.14
1600,97.25
200,97.31
100,97.17
800,97.21
400,97.28
1600,97.24
100,97.34
200,97.22
1600,97.20
400,97.22
200,97.14
800,97.24
100,97.32
100,97.14
400,97.35
800,97.24
1600,97.29
200,97.20
800,97.20
400,97.26
1600,97.22
100,97.20
1600,97.19
800,97.09
200,97.33
400,97.26
200,97.26
100,97.21
800,97.28
1600,97.24
400,97.17
100,97.32
1600,97.15
200,97.20
400,97.30
800,97.25
100,97.25
800,97.10
200,97.32
400,97.19
1600,97.31
1600,97.28
100,97.16
800,97.13
400,97.27
200,97.25
400,97.26
200,97.30
100,97.29
200,97.16
800,97.13
1600,97.23
100,97.28
1600,97.23
400,97.32
800,97.21
800,97.20
200,97.29
100,97.34
400,97.14
100,97.27
1600,97.13
200,97.32
800,97.31
400,97.22
1600,97.19
100,97.18
400,97.25
800,97.24
200,97.21
100,97.36
1600,97.24
400,97.28
200,97.19
200,97.28
1600,97.28
800,97.30
100,97.31
1600,97.18
400,97.28
800,97.16
400,97.16
100,97.19
200,97.19
1600,97.32
800,97.25
200,97.16
100,97.17
800,97.32
400,97.33
1600,97.22
100,97.18
200,97.28
400,97.24
800,97.14
100,97.32
1600,97.22
1600,97.32
200,97.25
100,97.27
800,97.28
800,97.20
400,97.28
400,97.31
200,97.13
1600,97.18
100,97.24
200,97.18
400,97.25
1600,97.24
800,97.18
