Date/Time, 2020-06-03_12:03
400,23.42
100,19.04
100,19.52
200,18.87
1600,58.90
800,30.17
200,21.24
1600,53.21
400,24.50
800,20.64
100,23.21
400,22.92
200,15.07
200,21.29
1600,49.49
800,21.50
1600,49.77
100,11.39
400,21.43
800,38.33
100,21.54
200,22.90
800,32.20
400,22.02
100,18.93
200,19.91
800,36.24
1600,58.60
400,23.74
1600,49.48
200,18.02
400,21.42
100,20.23
800,37.36
100,18.61
1600,50.04
1600,58.93
800,29.52
400,21.83
200,24.57
200,21.15
400,22.82
100,19.26
800,29.67
800,31.63
200,23.24
1600,58.92
100,18.10
400,22.47
1600,58.59
