Date/Time, 2020-06-03_17:44
200,96.99
1600,97.21
800,97.25
800,97.27
200,96.90
1600,97.30
100,96.82
100,97.06
400,97.16
400,97.18
100,96.99
200,97.11
100,96.83
200,96.99
400,96.89
800,97.14
400,96.97
800,97.25
1600,97.33
200,97.19
1600,97.32
100,97.13
800,97.13
400,97.26
800,97.03
1600,97.38
200,96.87
100,96.95
200,97.21
400,97.24
1600,97.26
100,96.93
400,97.23
800,97.18
1600,97.29
200,97.10
400,97.10
800,97.11
100,97.11
1600,97.26
100,97.05
200,97.21
1600,97.26
100,96.52
400,97.18
800,97.06
200,97.11
800,97.10
400,97.27
1600,97.33
800,97.23
400,97.28
100,97.02
200,97.21
1600,97.21
100,96.94
800,97.05
100,96.81
1600,97.29
400,97.22
200,97.13
200,96.96
800,97.27
400,97.30
200,96.94
400,97.16
1600,97.30
100,96.93
1600,97.29
100,96.85
800,97.24
100,96.95
1600,97.22
200,96.97
800,97.15
400,97.25
200,97.00
400,97.23
1600,97.08
800,97.23
100,96.84
400,97.09
1600,97.11
800,97.02
200,97.21
100,96.97
800,97.28
1600,97.20
200,96.92
400,97.20
400,96.96
1600,97.34
100,96.98
200,96.88
800,97.28
100,96.87
200,96.95
400,96.91
800,97.25
100,96.80
1600,96.94
200,97.08
400,97.20
800,97.06
1600,97.29
100,97.21
1600,97.20
200,97.16
200,97.09
400,96.92
800,97.23
100,97.09
200,97.02
400,97.16
800,97.21
400,97.22
1600,97.33
100,97.06
800,97.21
1600,97.22
100,96.92
400,97.21
200,97.21
800,97.16
1600,97.29
100,97.14
200,96.94
400,97.14
200,96.86
800,97.33
800,97.23
1600,97.27
100,96.88
400,97.13
800,97.21
1600,97.26
1600,97.23
100,97.00
200,96.88
400,97.26
100,96.90
200,97.24
400,97.28
800,97.29
1600,97.28
100,97.19
200,96.83
400,96.91
800,97.28
1600,97.27
1600,97.29
100,96.83
100,96.88
200,96.86
400,97.09
800,97.16
400,97.09
1600,97.26
200,97.09
100,96.94
800,97.22
200,96.90
400,97.28
800,97.23
1600,97.33
100,97.20
200,96.99
400,97.24
800,97.04
1600,97.24
100,97.10
200,97.09
200,96.85
400,96.95
400,97.23
800,97.23
1600,97.17
100,96.76
400,97.09
800,97.21
800,97.30
1600,97.28
100,96.89
200,97.12
1600,97.29
100,96.90
400,97.21
200,97.15
800,97.24
1600,97.31
100,97.16
200,97.16
400,97.23
800,97.22
800,97.07
1600,97.07
1600,97.30
100,96.97
400,96.94
200,97.14
1600,97.32
100,97.20
100,96.68
200,97.19
400,96.92
800,97.33
200,96.96
400,97.19
800,97.24
1600,97.26
100,96.83
200,97.01
800,97.18
100,97.13
400,96.89
1600,97.32
200,97.14
400,97.12
400,97.14
800,97.24
800,97.28
1600,97.31
100,97.18
200,97.28
1600,97.20
100,95.97
800,97.21
1600,97.25
200,97.15
400,97.17
200,96.96
100,96.99
400,97.25
800,97.08
200,96.98
400,97.08
1600,97.29
100,96.71
800,97.31
1600,97.27
1600,97.23
100,96.98
200,97.21
100,96.99
400,96.90
800,97.19
200,97.16
400,96.91
100,96.73
800,97.10
800,97.25
1600,97.21
200,97.22
400,97.03
1600,97.21
100,96.98
800,97.25
1600,97.32
200,97.03
400,97.22
100,97.10
200,97.03
200,96.77
400,97.18
800,97.30
400,97.09
1600,97.27
100,97.06
800,97.14
1600,97.07
400,97.08
100,96.18
100,97.11
200,97.12
400,97.19
800,97.25
1600,97.24
200,96.90
200,97.01
800,97.21
1600,97.26
1600,97.24
100,97.18
400,97.19
800,97.10
200,96.94
100,96.90
800,97.19
400,97.22
200,97.09
1600,97.29
100,96.70
400,97.08
400,97.20
800,97.25
1600,97.26
1600,97.29
100,96.95
200,97.11
800,97.26
800,97.22
100,97.01
200,96.88
200,96.88
400,97.18
1600,97.29
100,96.90
400,97.03
800,97.21
1600,97.33
100,96.81
400,96.90
200,96.88
800,97.24
200,97.14
1600,97.21
100,96.97
400,96.96
800,97.20
200,96.90
1600,97.35
100,97.16
1600,97.19
400,96.89
800,97.27
100,96.91
1600,97.18
200,96.90
400,97.08
400,97.13
800,97.19
100,97.02
200,97.02
200,97.10
800,97.24
1600,97.31
800,97.24
100,96.78
400,97.24
1600,97.18
100,97.08
800,97.15
200,97.23
400,97.30
200,96.88
1600,97.32
100,96.84
400,97.11
200,97.24
800,97.12
1600,97.32
1600,97.30
100,95.84
400,96.86
800,97.23
800,97.26
100,97.04
200,96.95
100,96.85
400,96.96
1600,97.37
200,97.12
400,97.07
100,97.03
800,97.28
1600,97.12
800,97.27
200,97.23
400,97.23
1600,97.30
800,97.19
100,97.25
200,97.00
200,96.85
400,97.13
100,96.82
1600,97.31
100,97.08
400,97.11
800,97.24
