Date/Time, 2020-06-03_08:33
1600,96.35
1600,96.47
800,96.65
800,96.45
400,96.24
400,96.05
200,95.74
200,96.13
100,95.95
100,94.59
1600,96.01
800,96.46
400,95.95
200,96.47
100,96.10
1600,96.25
400,96.41
800,96.52
200,96.64
100,96.04
1600,96.30
400,96.28
800,96.32
200,96.40
1600,96.37
100,95.61
800,96.47
400,96.40
200,95.68
100,95.71
1600,96.12
400,96.26
800,96.34
100,95.86
200,96.45
800,96.27
1600,96.34
100,96.07
400,96.18
200,96.11
1600,96.19
400,96.23
800,96.38
200,96.27
100,96.35
1600,96.32
800,96.21
400,96.21
200,96.19
100,94.98
800,96.44
1600,96.14
400,96.35
200,95.99
100,95.57
800,96.41
1600,96.28
400,96.50
200,95.93
100,96.07
1600,96.20
800,96.48
400,96.48
200,96.34
100,95.76
800,96.41
1600,96.20
400,96.09
200,96.28
100,95.89
1600,96.13
400,96.45
800,96.31
200,96.46
100,95.47
1600,96.08
800,96.20
400,96.33
200,96.03
100,96.33
800,96.18
400,96.37
1600,96.21
200,96.53
100,95.74
1600,96.24
800,96.50
400,96.51
200,96.04
100,94.61
800,96.28
1600,96.29
400,96.19
200,96.20
100,95.47
400,96.04
800,96.34
1600,96.21
200,96.32
100,95.97
1600,96.28
800,96.18
400,96.37
200,96.32
100,96.39
800,96.31
1600,96.26
400,96.20
200,96.06
100,96.09
1600,96.27
400,96.54
200,96.02
800,96.49
100,95.56
800,96.44
400,96.54
1600,96.30
200,95.82
100,95.20
800,96.49
1600,96.41
400,96.45
200,96.17
800,96.56
100,95.93
400,96.45
1600,96.31
200,96.24
100,95.51
1600,96.11
200,96.26
800,96.62
400,96.29
100,96.20
800,96.43
1600,96.30
400,96.37
200,96.23
100,96.07
800,96.42
1600,96.32
400,96.37
200,96.35
1600,96.20
100,94.87
800,96.43
400,96.19
200,95.99
100,96.18
800,96.18
1600,96.39
400,95.96
200,96.31
100,95.18
800,96.40
1600,96.15
400,96.41
100,96.03
200,95.79
1600,96.19
800,96.19
400,96.11
200,96.14
1600,96.33
100,95.90
400,96.39
800,96.36
200,96.13
100,95.33
800,96.40
1600,96.37
400,96.49
200,96.15
100,96.18
1600,96.10
800,96.30
400,96.24
100,95.84
