Date/Time, 2021-03-22_23:02
15,92.13
15,96.35
15,96.32
15,96.39
15,95.95
15,92.26
15,92.12
15,92.08
15,92.49
15,88.60
15,96.93
15,92.17
15,96.15
15,92.46
15,91.92
15,95.53
15,96.39
15,95.94
15,96.23
15,96.95
15,95.51
15,94.46
15,96.05
15,95.93
15,93.10
15,96.01
15,96.10
15,95.93
15,89.86
15,95.42
15,96.37
15,83.44
15,95.97
15,92.42
15,95.97
15,96.29
15,92.28
15,92.58
15,92.46
15,95.94
15,95.02
15,95.37
15,92.83
15,95.53
15,94.83
15,96.90
15,96.91
15,95.33
15,92.89
15,68.73
15,95.90
15,96.36
15,95.44
15,96.94
15,82.71
15,90.60
15,95.51
15,96.93
15,92.96
15,95.40
15,96.00
15,95.94
15,95.98
15,92.06
15,95.50
15,95.43
15,95.94
15,96.91
15,95.30
15,84.54
15,79.50
15,92.25
15,91.20
15,95.96
15,95.98
15,95.97
15,96.91
15,95.95
15,96.08
15,95.93
15,95.99
15,95.55
15,96.03
15,80.18
15,96.36
15,95.94
15,90.21
15,96.91
15,93.12
15,97.13
15,96.94
15,95.39
15,95.33
15,96.57
15,95.43
15,96.30
15,96.29
15,95.86
15,95.92
15,95.32
