Date/Time, 2020-06-08_22:52
25,95.12
25,95.00
25,94.06
25,94.88
25,95.70
25,93.59
25,95.32
25,93.92
25,95.18
25,91.54
25,94.89
25,80.83
25,94.90
25,92.44
25,92.29
25,95.25
25,95.64
25,95.34
25,94.51
25,92.74
25,93.90
25,91.83
25,93.59
25,93.84
25,95.05
25,91.74
25,95.27
25,94.26
25,93.57
25,95.64
25,92.87
25,94.24
25,94.61
25,95.37
25,93.45
25,93.30
25,94.80
25,82.86
25,95.83
25,94.79
25,95.23
25,94.76
25,93.70
25,94.30
25,92.99
25,95.30
25,94.93
25,95.68
25,91.79
25,93.74
25,93.99
25,94.68
25,94.24
25,95.80
25,91.91
25,92.52
25,91.19
25,94.86
25,94.81
25,94.11
25,93.69
25,93.93
25,94.18
25,93.03
25,94.81
25,86.13
25,91.61
25,95.65
25,94.59
25,93.50
25,96.00
25,93.73
25,94.24
25,94.21
25,92.18
25,89.76
25,93.37
25,92.34
25,92.89
25,94.70
25,95.09
25,95.25
25,94.86
25,93.78
25,91.42
25,93.99
25,95.28
25,95.13
25,94.24
25,94.81
25,93.55
25,95.24
25,92.27
25,94.32
25,93.39
25,93.77
25,94.58
25,95.39
25,94.50
25,94.91
