Date/Time, 2020-06-13_16:40
10,17.78
40,37.32
10,21.13
20,27.71
30,26.62
50,30.00
20,23.34
50,31.27
40,28.85
30,36.11
10,21.23
10,18.99
40,29.49
30,28.03
20,25.29
20,21.17
50,34.19
40,30.67
30,25.76
50,33.27
10,19.93
30,29.94
10,17.72
40,28.99
20,27.69
50,31.30
20,23.36
30,26.57
40,26.34
50,30.26
10,18.63
30,28.35
10,16.87
20,25.29
50,35.20
20,22.10
40,30.48
40,34.25
30,23.67
50,40.51
10,22.74
10,17.74
20,24.51
40,29.97
30,32.67
30,24.44
50,32.88
20,23.53
40,26.68
10,19.49
50,31.27
30,29.37
20,23.33
10,15.10
50,30.85
40,27.10
20,25.79
30,31.40
40,31.89
10,19.93
50,41.24
20,19.61
30,26.22
10,19.76
40,35.83
20,25.99
50,43.04
40,33.02
30,32.74
50,34.66
20,19.51
30,27.51
10,19.84
10,20.95
40,42.00
20,27.75
50,33.76
30,28.01
40,34.16
10,21.39
20,20.82
50,37.43
30,24.30
10,20.54
40,36.92
20,22.18
50,44.72
30,34.17
40,38.30
50,32.79
10,20.45
20,22.37
30,28.19
10,21.50
40,35.54
50,32.99
30,27.39
20,22.32
40,32.11
10,21.52
50,38.66
20,22.52
30,29.43
40,31.23
10,18.37
50,29.41
20,19.85
40,32.95
30,29.57
10,17.62
30,30.01
50,33.50
20,23.17
40,27.26
50,29.74
10,17.99
20,21.31
30,27.60
40,33.86
50,30.10
10,17.76
20,24.62
30,28.30
10,15.93
20,22.38
40,37.22
50,38.60
30,29.06
40,31.44
30,28.29
10,21.18
20,22.66
50,33.60
10,18.77
40,36.10
50,37.00
20,27.94
30,27.52
40,38.65
10,17.65
20,24.92
40,34.40
30,28.46
50,35.75
10,23.59
20,26.10
50,32.39
30,25.79
40,29.96
50,36.07
10,16.09
20,25.01
40,27.58
30,32.86
10,21.43
20,23.75
50,30.27
40,35.84
30,26.89
50,34.10
10,16.76
40,32.27
20,20.83
30,31.31
50,32.53
20,22.56
10,20.06
30,33.87
40,44.07
10,16.58
50,34.16
40,37.51
20,24.00
10,19.83
30,28.02
20,22.85
50,29.21
30,25.43
40,36.14
50,34.41
10,17.47
20,31.73
30,31.17
40,31.13
50,29.96
10,18.83
20,22.64
30,25.31
50,42.13
10,18.58
40,30.90
20,24.62
30,26.25
50,41.61
40,41.99
10,19.46
20,21.11
30,25.13
40,32.79
10,21.28
50,42.05
20,29.12
50,38.47
30,23.92
10,18.78
20,23.00
40,26.22
30,24.84
50,36.69
10,19.15
40,29.88
20,26.02
30,26.19
50,37.20
40,27.62
10,18.76
20,25.55
30,28.95
10,18.84
50,31.22
40,25.76
30,31.89
20,30.46
40,38.63
50,38.77
10,19.31
20,27.02
40,34.02
50,31.09
30,25.09
10,17.32
40,27.39
20,26.27
50,42.82
30,26.45
10,17.87
30,33.28
20,22.98
40,31.62
50,31.26
10,18.64
20,28.83
40,32.54
50,35.69
30,35.33
10,17.65
20,23.87
30,32.54
10,20.30
40,37.72
20,23.71
50,33.77
30,27.36
50,29.79
40,30.67
10,19.04
20,24.34
40,33.38
50,36.48
30,23.82
10,13.93
30,25.24
20,23.10
50,45.00
40,38.95
10,19.09
30,29.72
20,25.63
50,32.01
10,18.84
40,33.39
20,23.62
30,27.66
40,32.82
50,37.98
10,21.52
20,25.12
10,17.63
40,25.74
50,36.36
30,24.84
20,24.22
30,28.20
50,34.34
10,21.06
40,30.20
20,26.62
40,36.51
10,15.90
50,38.01
30,28.42
20,22.10
30,29.94
40,31.91
10,17.91
50,45.23
20,24.31
30,27.46
10,19.78
30,25.27
50,36.67
20,23.88
40,28.80
50,33.93
40,31.98
10,19.58
20,22.05
40,32.60
30,26.83
10,20.88
50,36.26
20,21.62
30,31.84
50,34.49
40,31.40
10,18.18
20,21.14
30,29.07
40,39.80
50,33.64
30,31.02
10,22.90
20,24.09
40,40.18
20,21.88
50,31.57
10,17.86
40,29.20
20,24.39
30,30.92
10,20.27
10,18.80
40,30.77
50,45.04
20,24.09
30,26.89
30,25.81
40,27.38
50,43.88
50,36.40
10,18.60
30,28.73
20,21.23
40,29.81
50,47.47
50,27.08
10,18.08
20,25.74
10,21.14
30,33.98
20,22.60
40,39.12
40,36.25
30,29.02
50,40.19
10,16.93
30,26.52
20,26.92
40,30.88
20,24.77
50,36.61
30,28.07
10,16.46
40,32.43
50,36.84
20,29.30
50,29.99
40,29.73
10,16.02
20,20.71
30,33.97
10,19.72
30,25.46
40,37.17
50,35.76
10,20.82
20,28.60
10,21.09
20,22.55
30,31.71
50,35.30
40,31.40
30,34.30
40,29.20
50,45.22
20,22.60
10,20.74
10,20.21
20,21.77
30,29.83
50,34.94
40,26.05
30,32.00
50,39.51
40,31.75
10,21.64
20,23.11
20,24.11
50,30.87
30,26.90
30,26.61
40,26.20
10,18.23
50,40.46
10,20.24
40,32.75
20,23.02
30,25.24
20,23.15
50,33.18
40,28.81
30,32.49
10,18.07
10,16.67
50,32.56
40,30.00
20,23.92
50,33.55
40,31.20
30,30.02
20,25.54
10,22.37
30,26.76
40,28.25
50,28.82
10,19.71
20,23.61
10,20.77
40,31.56
20,23.94
50,40.56
30,29.79
30,27.10
50,41.68
10,17.81
20,20.95
40,38.94
10,19.41
30,27.01
40,37.73
20,25.43
30,30.61
50,29.94
40,30.56
10,20.42
50,36.43
20,25.45
40,37.65
10,17.18
30,31.33
50,38.55
20,25.06
10,18.09
30,29.67
20,25.97
40,31.81
50,31.83
30,25.77
10,21.01
50,29.33
40,36.82
30,42.43
20,28.35
40,35.12
10,19.84
20,25.29
50,42.36
40,33.40
50,29.35
10,16.57
30,23.29
20,24.78
30,36.94
10,22.00
50,39.10
40,28.25
20,24.60
30,36.77
40,30.17
10,17.31
50,33.23
20,26.09
30,28.11
40,33.07
10,18.07
50,37.21
20,24.36
30,28.16
40,30.35
10,14.94
50,34.66
20,23.52
30,28.63
40,29.39
50,44.11
20,23.92
10,20.11
30,25.81
50,30.99
40,36.11
