Date/Time, 2021-03-22_22:30
10,93.02
10,81.79
50,96.95
20,96.15
30,96.54
40,95.97
20,95.93
40,96.92
50,96.38
30,95.93
10,92.34
20,95.45
30,95.94
40,95.97
50,96.93
10,96.92
30,96.92
40,96.91
20,88.16
50,96.90
10,96.01
20,95.98
40,95.93
50,96.92
30,96.93
40,95.97
30,96.38
10,88.99
10,84.00
50,96.93
20,95.35
20,95.31
50,96.89
40,96.93
40,96.90
30,96.91
10,95.51
20,96.17
50,95.95
10,95.33
30,95.97
20,93.64
50,96.08
30,96.54
40,96.93
30,95.93
20,96.01
10,81.01
40,96.49
50,95.31
10,92.82
20,94.06
30,95.31
40,95.96
50,96.90
10,89.95
20,96.03
30,96.06
40,96.39
50,96.09
10,91.55
30,94.27
20,95.97
40,91.62
50,96.08
30,94.96
10,78.77
20,96.15
40,96.94
10,96.37
50,96.01
20,96.08
40,97.14
30,95.50
50,96.93
10,96.89
20,92.99
50,96.92
30,95.93
20,97.09
40,96.92
10,95.94
30,93.44
40,95.92
50,96.37
10,95.96
20,95.31
50,96.32
30,95.94
10,96.04
40,95.96
30,96.04
20,96.05
40,95.99
50,96.90
20,92.96
30,95.93
10,93.06
50,95.93
40,95.04
20,95.95
10,95.11
30,95.98
40,95.31
50,95.94
10,96.11
10,92.67
20,95.96
40,95.54
50,96.36
30,93.19
40,95.98
50,95.96
20,95.99
10,92.45
30,96.29
20,96.94
40,95.95
20,96.03
10,95.43
50,95.95
30,96.05
30,96.95
40,96.55
20,92.30
50,95.29
10,95.96
40,95.91
30,96.93
30,96.90
20,95.46
10,92.66
50,97.12
50,95.96
40,96.37
20,96.08
10,95.95
30,95.97
10,92.21
40,96.32
40,96.18
50,96.93
20,96.41
30,97.09
10,95.78
20,95.92
50,96.95
30,96.94
40,95.43
50,95.94
10,91.91
20,96.15
50,96.92
40,96.40
30,95.31
10,95.99
30,95.92
20,97.12
40,95.93
50,97.12
10,92.09
40,95.94
20,95.88
30,93.01
20,91.40
50,96.01
10,89.88
30,95.99
40,96.90
50,95.96
10,92.11
20,96.05
30,96.34
40,95.95
50,96.01
10,92.75
20,96.15
30,95.97
10,92.37
20,94.64
40,96.04
50,95.92
30,96.38
40,96.90
50,96.07
30,95.99
10,95.32
20,92.28
40,94.70
20,96.34
50,95.97
30,96.04
10,95.92
40,96.93
50,95.96
10,96.94
20,95.55
50,96.94
30,95.41
40,96.93
10,92.12
20,95.97
40,96.94
30,96.96
50,96.32
40,96.93
30,96.17
10,95.93
10,95.99
50,94.01
20,95.93
20,95.96
40,96.94
30,96.96
10,89.76
50,97.11
20,95.98
30,95.41
50,96.04
20,95.97
40,96.94
10,85.26
40,96.93
30,96.04
50,96.28
10,95.25
30,95.38
10,92.78
20,93.30
30,95.50
40,95.93
50,96.18
20,96.08
50,97.14
40,96.92
30,96.31
10,91.84
20,95.38
20,96.96
40,95.35
10,92.92
50,95.93
30,95.93
40,95.47
50,95.99
20,93.88
10,94.28
40,96.52
30,95.93
50,96.00
20,95.05
10,85.24
30,95.64
40,96.53
10,94.37
50,96.93
10,68.09
40,96.93
30,95.40
20,96.93
30,95.04
50,95.97
20,95.93
40,96.38
50,96.46
20,96.05
40,96.92
10,95.32
30,92.69
50,95.97
10,96.15
20,96.93
40,96.93
30,95.38
10,95.39
50,96.90
20,95.98
50,96.93
10,81.22
40,96.91
30,95.95
20,95.94
50,96.93
40,96.93
30,95.93
20,96.37
