Date/Time, 2020-06-02_12:30
10,64.97
30,70.80
20,66.27
40,76.65
50,75.80
10,52.64
20,69.29
30,75.17
40,71.00
10,53.51
50,72.09
20,68.13
30,71.98
40,69.55
10,67.72
50,74.81
20,62.35
40,72.53
30,67.73
50,74.32
20,70.26
10,65.21
40,68.09
30,64.54
50,75.43
10,53.00
20,63.13
30,72.70
40,74.33
50,74.53
10,50.07
20,65.27
50,69.55
30,69.20
40,70.74
10,57.30
20,66.32
30,74.85
40,69.09
50,69.90
10,60.63
20,65.81
30,60.34
40,67.39
50,72.91
30,67.70
10,54.76
20,63.89
10,54.71
40,73.61
50,74.09
20,60.51
30,67.68
40,71.74
50,73.80
10,46.96
20,67.39
30,68.52
40,71.60
10,55.62
50,74.36
40,71.53
20,55.95
30,67.93
10,39.74
50,74.41
20,62.93
40,69.99
30,67.70
50,78.57
10,60.20
20,62.33
30,70.89
40,75.76
50,71.91
20,66.11
10,58.63
40,75.13
30,67.58
50,77.48
10,62.03
20,63.18
30,61.84
40,74.01
50,78.89
20,66.93
10,65.65
40,75.43
30,69.22
50,72.68
10,57.98
20,55.62
30,63.83
40,74.78
50,75.24
10,65.51
20,64.54
30,67.49
50,71.60
40,67.07
10,55.66
30,71.91
20,67.13
40,74.24
50,72.99
10,52.50
20,61.89
40,69.83
30,69.56
50,75.03
30,68.84
10,51.85
20,66.56
40,71.48
50,75.58
10,57.56
20,60.29
30,73.99
40,72.69
50,72.79
10,53.52
20,63.38
30,75.80
40,74.36
10,55.62
50,73.11
30,70.60
20,63.96
40,70.37
50,71.99
10,54.44
20,60.94
30,69.87
40,73.73
50,79.88
10,53.52
20,65.27
30,65.49
40,72.21
50,72.40
10,52.26
20,63.82
30,66.07
40,73.74
50,66.93
10,56.53
20,64.91
30,67.71
40,70.18
50,74.76
10,54.82
20,68.95
30,71.68
40,69.94
50,72.27
10,59.66
20,69.48
30,68.44
50,70.02
40,71.62
10,57.21
20,59.63
30,69.16
50,74.74
40,68.56
10,55.84
20,64.03
30,71.10
40,73.54
50,73.33
10,57.34
30,71.31
20,63.85
50,75.06
40,78.54
10,61.27
20,71.35
30,66.18
40,74.15
50,75.99
10,54.53
20,68.91
30,69.77
50,69.53
40,71.16
10,52.14
20,63.40
30,63.14
40,70.42
50,75.53
10,66.39
30,73.57
20,67.33
40,75.20
50,72.36
10,57.63
20,63.58
30,64.60
40,72.22
50,76.44
10,54.57
30,62.85
20,60.46
50,73.44
40,66.50
10,58.55
20,67.77
30,68.09
40,73.96
50,75.18
10,58.34
30,67.67
20,65.97
40,64.83
50,70.26
10,48.40
30,74.92
20,63.22
50,72.54
40,70.91
10,55.00
30,65.44
