Date/Time, 2020-05-28_13:06
10,91.51
10,92.92
20,94.62
30,95.15
50,95.96
20,94.48
40,95.73
30,94.79
40,95.40
50,94.99
20,92.48
40,95.19
50,95.81
10,94.80
20,92.04
30,93.05
50,96.12
40,95.28
10,91.12
30,95.10
10,93.04
20,95.62
30,94.02
40,93.45
20,94.14
30,95.04
40,95.34
50,95.68
10,91.97
50,96.28
20,95.77
10,81.75
30,95.46
10,91.80
30,94.82
40,94.87
40,94.73
50,95.29
50,95.73
20,95.00
10,92.62
40,95.14
20,94.99
10,85.52
30,95.50
20,91.36
50,95.42
50,94.37
30,95.28
10,86.25
40,95.56
40,94.92
50,95.69
20,93.41
20,95.65
10,86.71
30,94.61
30,94.62
40,94.37
20,93.35
50,95.36
30,94.20
10,92.12
50,94.10
30,91.86
40,94.98
50,95.05
10,94.22
30,93.31
10,77.12
20,93.99
20,94.37
40,93.86
50,95.81
40,95.83
10,94.02
30,94.60
20,94.80
50,96.09
40,96.08
10,91.62
40,95.30
20,93.88
20,94.74
50,96.01
30,94.53
40,95.15
50,95.47
30,94.05
40,95.11
10,92.56
10,94.76
30,95.29
20,90.56
50,95.44
20,91.32
10,94.48
40,94.74
30,94.07
30,95.35
50,95.12
20,94.71
40,95.13
10,89.95
20,93.68
10,88.95
50,95.20
40,95.42
50,95.43
30,94.32
20,91.37
50,94.36
30,95.22
10,89.82
20,89.91
30,96.10
40,94.45
40,93.73
50,94.91
10,93.66
50,94.42
20,93.22
10,91.43
40,94.73
20,92.06
30,95.43
30,95.82
40,95.28
20,93.06
10,93.18
50,95.19
10,88.60
40,95.67
50,96.14
20,90.61
30,95.80
10,84.36
40,95.36
50,95.51
30,94.64
10,91.52
40,94.49
30,94.93
50,94.19
50,95.16
20,94.89
30,94.42
20,93.18
40,94.86
10,91.39
20,94.93
30,95.00
10,89.08
50,95.81
20,93.75
40,95.13
40,94.99
30,94.75
10,93.72
50,92.94
40,95.06
10,93.20
30,94.72
50,93.50
20,92.52
10,84.52
50,95.74
20,92.46
30,95.60
10,93.76
40,95.43
30,94.84
20,92.97
40,95.34
40,94.92
10,93.62
20,94.50
50,95.23
30,95.27
50,95.55
30,94.39
10,87.88
40,95.95
50,95.01
20,95.10
40,94.21
20,91.90
10,90.28
50,95.68
40,96.23
10,94.06
30,93.51
30,94.90
50,94.62
20,92.21
50,96.28
10,93.20
40,95.50
30,95.33
40,92.43
10,91.52
20,92.26
30,95.53
50,95.25
30,93.83
20,95.25
20,92.98
10,86.22
50,95.48
40,93.01
30,94.54
40,96.27
20,94.63
10,87.59
50,95.72
10,85.78
30,94.56
20,90.98
40,95.05
50,94.80
10,92.46
20,95.63
30,93.60
40,95.34
10,85.01
50,96.10
30,95.21
40,94.90
20,94.71
40,93.16
10,89.46
20,92.70
50,95.07
50,95.88
30,94.74
30,94.01
50,95.23
10,90.43
20,94.44
40,95.00
30,92.64
10,91.25
40,92.07
20,93.02
50,95.52
10,89.18
20,94.58
30,95.73
50,95.71
20,89.54
40,95.13
50,96.13
10,83.53
30,94.03
40,94.96
40,95.64
50,95.48
10,89.81
30,95.56
20,95.81
30,95.20
40,95.00
50,95.13
20,94.37
30,93.86
10,91.59
10,73.41
50,94.87
40,94.98
20,92.98
10,85.96
20,94.74
40,95.51
10,92.93
20,95.20
50,96.21
30,94.84
40,95.04
30,95.30
50,94.87
10,84.80
20,94.08
50,95.13
30,95.14
40,96.08
10,90.89
30,95.11
40,95.38
10,88.43
20,95.49
30,95.60
20,92.54
40,94.79
50,96.00
50,95.67
30,94.02
10,89.60
40,94.99
20,91.18
10,92.38
30,94.80
50,95.82
40,95.06
50,94.52
20,91.17
30,95.79
40,95.85
20,91.92
50,95.73
10,90.79
10,93.98
20,95.35
40,95.33
30,95.81
50,95.47
20,94.07
30,95.88
10,85.33
40,92.67
50,95.24
20,92.36
10,93.57
30,94.18
40,93.69
50,95.62
40,95.07
20,90.46
30,94.20
10,91.09
50,95.68
10,94.41
30,94.84
50,94.52
40,94.12
20,96.03
40,94.53
10,92.75
50,96.64
10,93.60
30,95.39
20,94.65
30,94.91
40,95.38
20,94.37
50,94.97
30,90.84
10,92.60
50,95.78
20,90.53
10,86.24
20,93.32
40,95.29
50,96.03
30,93.76
40,95.41
10,93.70
30,92.63
20,95.41
10,90.79
50,95.37
20,94.75
40,95.17
30,94.40
40,93.78
50,94.67
50,91.82
40,91.99
20,93.62
30,94.56
10,81.61
30,92.29
10,89.48
50,94.72
20,95.18
20,90.62
10,90.07
40,95.98
30,92.52
40,95.15
10,95.18
20,93.83
50,95.82
30,93.86
50,95.66
40,95.20
20,94.00
50,94.68
30,95.94
10,86.69
40,95.07
10,92.58
40,95.16
50,95.26
20,95.02
10,92.76
20,93.33
30,94.48
30,95.27
40,94.65
10,95.02
40,95.38
20,95.27
30,95.20
50,95.14
50,95.44
40,94.90
30,94.11
10,91.36
20,91.25
50,96.06
10,94.17
30,94.99
20,94.58
10,91.06
20,95.60
50,95.14
40,95.49
30,94.45
40,95.74
50,94.96
30,93.57
20,94.32
10,84.77
50,95.79
40,94.84
10,91.34
20,94.07
30,94.86
40,94.43
50,94.94
40,95.22
10,88.19
30,94.92
20,93.90
10,93.76
50,95.68
20,94.99
30,94.07
40,95.38
30,92.76
50,95.47
20,92.86
50,96.08
40,95.46
10,94.16
10,95.50
30,95.62
40,95.17
10,90.81
50,95.93
20,94.69
20,94.89
50,94.28
40,95.75
30,95.59
10,92.62
40,94.43
30,90.18
50,94.52
20,95.00
10,81.99
30,94.03
50,95.68
40,95.51
10,94.59
20,92.85
30,94.23
50,95.81
20,94.97
40,95.95
20,93.94
40,94.02
50,93.78
20,92.89
30,95.44
40,94.61
10,88.31
10,92.49
50,95.05
30,95.06
20,94.12
30,94.86
10,89.64
50,94.26
10,85.96
20,90.29
40,95.60
30,94.12
50,95.01
40,94.61
20,95.14
50,95.50
10,84.75
20,92.63
30,95.16
40,94.97
10,90.52
30,91.08
40,95.08
50,96.02
