Date/Time, 2020-06-12_13:41
10,97.31
10,97.25
40,97.29
20,97.24
50,97.16
30,97.24
40,97.19
30,97.25
50,97.18
20,97.30
20,97.18
10,97.19
40,97.25
30,97.27
50,97.25
10,97.20
20,97.18
30,97.21
50,97.30
40,97.32
10,97.20
30,97.18
20,97.21
50,97.22
20,97.21
40,97.06
10,97.02
30,97.30
40,97.19
50,97.33
10,91.21
20,97.19
30,97.00
40,97.21
10,97.20
50,97.24
30,97.17
40,97.20
50,97.22
20,97.30
10,97.22
20,97.33
50,97.18
40,97.28
10,88.37
20,97.22
30,97.37
30,97.20
40,97.27
50,97.21
10,97.13
20,96.97
30,97.20
40,97.21
50,97.19
50,97.26
30,97.19
20,97.20
10,97.30
40,97.33
20,97.17
30,97.21
10,97.29
50,97.15
30,97.34
20,97.23
40,97.30
40,97.04
50,97.20
10,83.16
10,97.36
30,97.20
20,97.19
30,97.21
50,97.20
40,97.31
40,97.21
10,97.21
20,97.32
50,97.22
10,97.27
30,97.24
40,97.23
20,97.36
50,97.17
20,97.24
30,97.21
10,97.29
40,97.22
50,97.20
40,97.19
20,97.07
30,97.26
10,97.32
50,97.23
20,97.18
10,97.19
30,97.27
40,97.21
50,97.35
30,97.20
40,97.31
10,97.21
20,97.21
50,97.17
20,97.19
10,97.23
40,97.29
30,97.19
50,97.01
50,97.30
40,97.19
20,97.21
30,97.28
20,97.22
10,97.27
30,97.21
10,97.31
40,97.18
50,97.31
30,97.22
50,97.29
10,97.18
20,97.15
30,97.33
20,97.17
40,97.29
10,97.22
40,97.24
50,97.28
40,97.19
20,97.15
50,97.28
40,96.98
10,97.32
30,97.35
30,97.29
20,97.22
10,97.15
50,97.20
10,97.37
40,97.27
50,97.20
20,97.18
30,97.31
10,97.16
40,97.15
30,97.26
20,97.31
10,97.22
50,97.20
30,97.25
20,97.19
40,97.22
30,97.22
40,97.25
50,97.18
50,97.36
10,97.27
20,97.20
20,97.26
10,97.31
30,97.30
40,97.20
50,97.27
10,97.30
30,97.20
20,97.20
40,97.17
50,97.34
10,97.23
20,97.19
30,97.35
50,97.29
40,97.20
10,97.33
40,97.16
20,97.27
30,97.21
50,97.19
10,89.79
20,97.20
30,97.19
40,97.22
50,97.17
20,97.32
10,97.22
40,97.31
30,97.20
50,97.28
10,97.28
20,97.18
30,97.32
50,97.23
40,97.22
10,97.00
20,97.31
40,97.21
50,97.33
30,97.34
20,97.20
10,97.32
50,97.29
30,97.01
40,97.21
10,97.20
30,97.20
20,97.34
40,97.23
50,97.07
10,97.27
20,97.00
40,97.21
30,97.23
50,97.31
10,97.19
20,97.25
30,97.34
40,97.17
50,97.21
10,97.32
20,97.22
30,97.18
40,97.20
50,97.19
10,97.30
20,97.32
50,97.29
40,97.20
30,97.18
20,97.17
50,97.33
40,97.21
10,96.94
30,97.20
20,97.30
40,96.99
50,97.32
