Date/Time, 2020-06-12_09:52
20,95.67
10,94.28
40,95.63
20,95.21
10,93.48
50,96.10
40,95.73
30,95.44
30,95.57
50,95.59
30,95.46
20,93.17
40,95.79
40,95.51
10,94.97
30,95.33
50,96.22
50,96.45
10,93.31
20,93.21
10,93.77
20,95.94
30,94.63
50,95.91
40,95.57
20,94.92
10,82.77
10,93.06
30,95.41
50,96.50
40,95.70
20,96.16
30,95.44
20,93.91
40,95.16
10,93.47
20,95.41
50,95.87
30,95.30
50,95.54
10,94.73
40,95.50
50,95.06
30,95.58
50,95.73
40,95.64
20,95.29
10,87.38
40,95.22
10,89.82
30,95.14
40,96.20
20,94.40
30,96.13
50,95.99
40,94.72
30,95.35
50,95.71
20,95.73
30,94.92
20,93.98
10,92.79
10,93.27
50,95.19
50,95.70
30,93.56
40,94.90
40,95.54
20,94.76
50,96.01
40,96.17
10,94.63
30,93.59
20,94.29
10,95.07
50,96.27
10,91.63
30,95.32
40,96.14
10,73.06
40,95.56
30,95.29
20,94.62
20,95.06
50,96.11
20,94.98
30,95.10
50,95.64
40,95.50
30,95.65
50,95.61
40,95.32
10,95.22
10,92.51
10,94.22
20,92.73
30,95.23
20,91.67
50,95.66
10,94.61
40,94.90
30,95.55
20,95.49
50,95.61
40,95.62
40,95.47
20,94.43
10,91.27
50,95.66
50,95.28
30,94.99
40,95.09
20,93.96
30,96.14
30,95.32
10,92.37
50,95.40
20,93.32
10,94.22
40,94.75
20,94.54
50,94.99
30,96.18
10,94.53
20,93.47
30,95.98
40,95.50
10,91.55
50,96.27
50,95.47
40,95.72
40,95.84
20,93.59
10,94.74
30,95.99
40,95.52
50,95.53
20,94.44
30,95.04
10,93.70
20,93.57
10,89.15
40,95.60
30,95.23
50,95.23
50,95.70
10,93.06
10,92.10
30,94.93
20,95.51
40,95.36
20,95.47
50,96.13
20,94.30
30,95.49
40,95.81
10,94.73
50,95.01
30,95.19
40,95.48
30,95.35
50,94.50
40,95.55
20,94.81
20,94.43
10,87.88
10,94.30
10,93.78
30,95.83
50,96.12
40,95.84
40,95.65
20,93.21
40,95.78
30,95.60
30,95.11
20,95.41
50,95.83
10,93.96
50,95.73
40,95.96
10,88.93
20,95.51
30,95.49
40,95.42
50,95.50
10,92.91
20,93.56
10,95.19
50,96.14
50,95.75
30,93.68
40,96.44
30,95.20
20,94.59
40,95.63
10,93.19
50,96.32
10,92.01
20,94.57
20,95.48
10,93.83
30,95.36
50,95.35
40,94.88
30,95.84
20,93.64
30,94.17
10,93.66
50,95.73
20,95.37
40,96.33
40,94.71
30,95.53
50,96.08
10,88.84
30,94.78
50,95.34
40,95.79
30,94.05
10,93.31
20,91.79
20,95.85
40,95.58
50,96.27
30,95.57
10,93.42
40,95.28
50,95.80
40,94.93
20,94.12
10,89.63
40,95.45
20,95.57
30,94.94
30,95.23
10,93.18
50,96.29
50,95.89
50,95.71
20,94.72
20,93.21
30,95.16
40,93.63
10,93.66
10,92.02
40,95.66
30,95.99
20,89.76
50,95.99
20,95.07
30,95.28
50,96.49
10,83.30
40,96.09
20,96.11
40,95.45
10,90.46
30,95.55
50,95.82
50,95.54
30,95.70
40,95.43
40,95.69
10,94.25
30,95.21
20,94.61
10,89.24
50,95.53
20,94.73
40,96.09
10,72.61
30,95.15
20,95.65
30,95.86
50,96.34
40,95.46
20,95.51
10,75.82
10,94.30
50,96.08
40,96.03
30,95.52
50,96.02
20,94.61
10,92.08
20,95.72
20,93.65
40,95.76
30,95.64
10,91.85
50,96.13
20,92.26
30,95.79
30,94.76
50,95.99
40,95.56
10,91.83
30,95.10
40,95.18
30,96.18
50,96.11
10,92.41
40,95.93
40,95.75
50,95.83
20,92.99
50,96.04
20,92.89
40,95.41
10,93.10
10,94.87
20,95.57
30,95.82
50,96.06
50,95.93
20,94.97
30,95.98
40,95.01
10,91.16
10,94.29
20,94.03
30,94.96
40,95.22
50,95.80
40,96.10
30,94.92
20,91.43
50,96.00
10,94.94
30,95.20
10,91.36
20,96.36
10,95.45
50,95.16
40,94.52
20,95.52
40,95.80
40,95.04
50,96.67
20,94.65
20,95.14
30,95.62
50,95.49
30,93.80
30,96.03
10,93.87
10,94.49
20,95.02
50,96.24
50,95.91
40,95.74
10,93.12
30,94.33
40,95.80
10,94.55
40,95.50
30,93.30
50,95.81
20,95.66
20,95.24
40,95.40
10,93.69
30,95.37
50,95.35
50,93.73
10,91.72
20,94.77
40,93.93
30,95.23
20,95.27
10,80.22
20,93.81
30,93.87
10,95.43
40,96.13
50,95.38
40,95.63
50,95.83
10,93.13
30,95.35
20,94.11
50,96.12
30,93.19
40,95.70
20,94.09
10,88.69
30,96.16
40,95.56
50,95.31
40,95.22
50,95.58
10,93.87
20,95.52
10,93.23
20,95.42
30,95.43
30,95.85
50,95.40
20,95.00
40,95.18
10,95.25
40,95.82
30,95.50
50,95.92
10,92.17
20,92.15
40,95.19
10,92.19
30,95.55
20,95.91
10,94.76
30,95.40
50,96.44
40,95.96
50,95.66
20,95.77
40,95.73
30,94.62
50,95.54
30,95.35
20,94.67
40,95.42
30,95.26
50,95.97
10,86.84
20,94.20
10,94.13
40,94.99
40,95.64
10,91.25
50,95.66
40,95.77
50,96.07
20,94.35
30,95.38
20,95.17
50,95.74
10,94.18
30,94.40
40,95.83
30,93.50
10,95.87
40,95.82
20,94.79
20,95.00
50,96.25
10,94.77
50,96.10
30,95.88
10,92.55
10,93.92
50,95.46
40,96.10
30,95.76
10,86.29
20,95.03
30,94.45
40,95.12
50,95.27
20,95.46
20,93.71
10,95.55
50,95.85
30,94.26
40,95.95
30,95.02
50,96.01
20,94.02
20,95.15
40,96.04
40,94.73
30,95.90
40,94.67
10,92.72
50,95.52
20,93.54
10,92.85
50,95.76
20,94.71
30,95.46
40,95.69
50,95.35
40,95.56
20,95.09
10,91.60
30,95.56
20,95.52
10,92.27
30,95.08
50,95.45
40,95.39
30,93.40
10,85.47
20,95.09
50,95.86
30,95.43
50,95.99
40,95.40
10,90.56
