Date/Time, 2020-05-28_16:45
10,96.06
20,95.42
30,96.37
40,96.68
50,96.94
10,94.04
20,95.51
30,96.83
40,96.58
50,96.84
10,92.98
20,93.86
30,96.80
40,96.83
50,96.87
10,96.53
20,96.38
30,96.87
40,97.05
50,96.99
10,94.11
20,96.16
30,96.41
40,96.62
50,96.88
10,95.86
20,94.57
30,96.95
40,96.79
50,97.22
10,89.21
20,95.30
30,96.47
40,95.03
50,96.71
10,90.31
20,96.92
30,96.62
40,96.98
50,96.77
10,94.04
20,97.00
30,96.22
40,97.09
50,95.31
10,96.58
20,94.42
30,96.11
40,96.74
50,95.78
10,78.83
20,96.36
30,96.84
40,96.76
50,96.77
10,85.30
20,96.70
30,96.75
40,95.95
50,96.74
10,96.20
20,95.96
30,95.70
40,94.69
50,96.94
10,56.22
20,96.48
30,96.49
40,96.62
50,96.92
10,93.50
20,94.73
30,95.66
40,97.14
50,96.75
10,92.74
20,96.89
30,96.57
40,97.16
50,96.77
10,94.72
20,96.82
30,96.78
40,96.92
50,96.76
10,96.10
20,95.36
30,96.73
40,96.67
50,96.79
10,94.63
20,87.16
30,93.98
40,95.51
50,96.82
10,94.68
20,92.89
30,96.75
40,95.87
50,96.73
10,93.97
20,96.54
30,96.93
40,96.92
50,95.97
10,93.04
20,95.29
30,96.53
40,96.91
50,96.81
10,75.93
20,95.95
30,96.98
40,96.71
50,96.72
10,91.25
20,95.62
30,96.73
40,96.50
50,96.77
10,80.61
20,96.37
30,96.78
40,96.12
50,96.76
10,89.46
20,96.67
30,96.67
40,96.99
50,97.09
10,91.17
20,96.38
30,96.94
40,96.84
50,96.98
10,92.61
20,96.27
30,95.55
40,96.58
50,96.95
10,92.53
20,96.55
30,96.98
40,97.03
50,96.66
10,91.94
20,96.67
30,96.50
40,96.80
50,96.71
10,92.83
20,96.77
30,95.97
40,96.89
50,96.94
10,94.68
20,96.93
30,95.90
40,95.65
50,97.15
10,95.60
20,96.03
30,96.90
40,96.79
50,96.91
10,90.22
20,94.63
30,96.82
40,96.67
50,97.07
10,96.11
20,96.81
30,96.75
40,97.11
50,97.00
10,95.15
20,96.95
30,96.97
40,96.60
50,96.82
10,87.77
20,96.45
30,96.79
40,96.95
50,95.65
10,88.45
20,96.41
30,92.99
40,96.02
50,96.96
10,94.89
20,96.86
30,96.84
40,97.24
50,95.73
10,94.25
20,93.85
30,92.62
40,96.83
50,97.05
10,85.63
20,95.58
30,97.16
40,95.04
50,96.77
10,94.88
20,96.53
30,97.00
40,96.76
50,95.25
10,90.39
20,94.91
30,96.61
40,94.70
50,93.80
10,81.76
20,91.24
30,96.41
40,96.97
50,96.73
10,88.32
20,96.46
30,96.54
40,96.70
50,96.91
10,91.67
20,97.16
30,96.83
40,96.64
50,97.16
10,80.58
20,96.77
30,96.20
40,96.85
50,97.07
10,91.71
20,94.00
30,95.65
40,96.10
50,97.05
10,72.38
20,96.09
30,95.46
40,96.79
50,96.89
10,91.84
20,95.03
30,96.82
40,96.39
50,96.82
10,81.11
20,84.21
30,97.12
40,96.95
50,97.18
10,89.34
20,96.72
30,96.54
40,96.15
50,96.76
10,62.45
20,95.27
30,96.08
40,95.84
50,96.96
10,95.57
20,94.72
30,94.42
40,96.87
50,96.56
10,83.06
20,97.04
30,95.62
40,96.79
50,97.07
10,79.20
20,96.84
30,96.69
40,96.77
50,97.05
10,79.19
20,95.78
30,96.82
40,96.78
50,96.83
10,95.87
20,91.40
30,94.89
40,97.19
50,96.94
10,95.10
20,95.74
30,96.74
40,96.92
50,95.80
10,89.35
20,96.65
30,95.77
40,96.87
50,97.02
10,96.85
20,96.08
30,96.58
40,96.75
50,96.89
10,92.09
20,96.61
30,96.67
40,96.30
50,96.93
10,92.40
20,96.06
30,96.74
40,95.90
50,96.94
10,96.67
20,96.46
30,96.79
40,96.98
50,96.88
10,95.44
20,95.67
30,94.87
40,95.97
50,96.95
10,90.34
20,91.84
30,97.01
40,97.09
50,97.13
10,96.54
20,97.02
30,96.80
40,96.82
50,96.78
10,91.10
20,97.02
30,95.69
40,96.85
50,97.18
10,81.30
20,96.52
30,96.74
40,97.00
50,96.85
10,87.51
20,96.87
30,97.09
40,97.01
50,96.79
10,93.34
20,96.81
30,94.86
40,97.19
50,96.93
10,86.81
20,95.94
30,96.69
40,96.74
50,96.85
10,91.46
20,96.80
30,96.79
40,96.75
50,96.67
10,79.58
20,96.53
30,96.89
40,94.03
50,93.95
10,93.83
20,96.57
30,97.11
40,96.93
50,96.50
10,91.04
20,96.63
30,96.90
40,96.82
50,96.84
10,96.52
20,96.76
30,94.41
40,96.71
50,96.89
10,92.12
20,95.66
30,96.73
40,96.75
50,96.96
10,96.89
20,97.11
30,96.91
40,96.46
50,97.18
10,82.90
20,95.50
30,96.86
40,96.78
50,96.91
10,93.41
20,96.16
30,96.83
40,97.13
50,95.63
10,95.08
20,93.25
30,91.60
40,96.74
50,97.03
10,96.47
20,91.73
30,96.99
40,96.78
50,96.87
10,94.15
20,97.01
30,95.02
40,96.90
50,96.98
10,95.02
20,96.79
30,96.89
40,95.56
50,96.84
10,79.61
20,95.90
30,96.66
40,96.67
50,96.87
10,77.16
20,96.67
30,94.79
40,96.84
50,96.37
10,94.72
20,96.94
30,96.50
40,96.56
50,96.66
10,95.68
20,93.31
30,95.67
40,97.02
50,96.72
10,89.89
20,96.86
30,96.58
40,96.48
50,96.49
10,96.07
20,96.67
30,97.02
40,96.71
50,96.92
10,93.51
20,95.31
30,96.76
40,96.81
50,95.87
10,88.58
20,94.72
30,95.20
40,97.07
50,97.08
10,95.85
20,94.86
30,96.42
40,96.82
50,96.94
10,81.01
20,96.05
30,93.64
40,96.71
50,96.76
10,95.38
20,95.50
30,94.49
40,96.60
50,97.05
10,89.70
20,95.50
30,97.09
40,96.80
50,96.89
10,83.68
20,93.50
30,96.90
40,96.68
50,96.86
10,78.92
20,96.72
30,96.52
40,96.58
50,96.44
10,88.65
20,96.60
30,90.62
40,96.70
50,96.71
