Date/Time, 2020-06-02_10:31
8,59.25
8,44.66
128,72.13
16,57.83
128,74.58
32,63.66
64,67.76
32,61.85
16,52.82
64,71.22
8,62.02
16,55.59
64,70.49
32,66.20
128,73.76
64,70.66
32,66.03
128,73.24
8,54.54
16,61.71
8,60.55
16,60.86
128,72.85
8,54.42
16,48.53
32,64.41
64,67.57
128,70.59
64,70.76
32,64.26
8,53.46
16,58.79
8,61.54
32,63.37
64,68.81
128,75.62
16,55.76
32,64.85
64,67.84
128,72.85
8,50.07
16,61.25
32,60.28
8,55.24
64,69.32
128,71.63
16,62.86
32,67.67
64,69.86
8,52.40
128,72.23
16,64.64
128,73.51
32,66.15
128,74.46
32,63.95
16,58.55
64,71.10
8,54.74
64,71.49
8,59.62
16,60.77
32,66.42
16,59.75
64,72.15
8,54.47
128,72.33
64,70.20
8,44.59
128,71.39
32,63.20
16,62.36
32,65.91
64,70.76
8,61.11
128,73.17
32,66.20
16,49.25
128,75.50
8,59.21
64,69.71
16,58.53
32,66.54
128,73.94
8,47.64
64,68.69
32,66.44
16,56.41
64,70.66
8,49.52
128,75.59
16,60.04
64,71.05
128,74.33
32,64.17
8,57.57
32,59.12
16,60.28
128,73.22
16,63.42
64,68.20
8,53.92
32,67.48
8,54.01
64,69.62
128,73.29
16,60.79
64,71.10
128,72.75
8,50.58
32,68.96
16,59.97
64,68.08
8,61.83
32,64.31
16,53.76
128,75.07
64,71.49
32,69.37
8,56.23
128,73.12
16,56.45
64,70.66
128,71.39
32,66.83
8,47.00
32,66.18
16,65.68
64,69.08
8,53.15
128,74.73
16,58.26
32,68.79
64,68.71
16,60.26
64,70.61
128,73.84
32,65.57
8,50.12
128,75.72
8,62.96
16,57.18
32,61.85
64,68.86
16,53.37
8,66.80
128,73.07
32,66.68
8,53.39
64,71.88
128,74.93
16,57.51
32,64.48
64,68.66
16,63.15
8,61.13
128,75.12
8,46.08
64,70.61
32,65.79
16,53.85
128,73.51
32,66.80
64,71.66
16,61.42
8,57.12
128,74.75
32,67.89
8,53.29
128,75.84
64,70.22
16,59.01
128,73.69
32,66.20
8,46.80
64,66.72
32,64.68
16,57.32
8,31.30
128,71.39
64,73.05
16,60.43
32,69.08
8,55.00
64,71.81
128,72.43
16,55.37
32,62.02
8,51.18
64,71.39
128,73.42
16,65.29
64,67.93
8,60.99
128,74.53
32,64.94
16,63.95
32,62.62
128,74.48
64,72.44
8,59.40
16,62.19
32,65.93
64,69.10
128,72.92
8,56.13
32,67.36
16,62.38
64,67.40
128,74.23
8,57.62
128,76.24
16,62.14
32,66.01
64,69.47
8,54.66
16,52.43
32,65.14
64,68.64
128,75.15
8,57.33
64,71.83
32,62.89
16,55.18
128,72.82
8,59.42
16,56.24
32,64.89
64,71.32
128,72.43
16,61.25
128,74.73
32,66.92
64,67.64
8,55.26
16,62.07
32,59.72
8,47.76
64,69.01
128,72.45
8,51.83
64,64.86
32,61.27
16,58.82
128,74.55
8,44.93
16,59.68
32,66.44
64,69.32
8,60.14
16,64.88
128,74.55
32,64.70
128,74.60
64,69.44
8,56.13
32,66.88
16,63.99
64,69.69
128,74.08
32,63.73
16,60.40
128,69.48
8,50.75
64,70.86
8,41.63
16,58.82
32,64.14
64,69.47
128,73.09
8,60.99
32,67.53
16,59.34
64,68.13
8,55.31
128,73.99
16,61.15
64,69.54
32,66.59
8,52.04
128,73.04
32,64.34
16,59.15
128,72.80
64,69.88
8,58.70
16,52.77
32,66.27
64,69.74
128,73.89
8,57.09
16,61.18
32,65.69
64,68.30
128,72.15
8,55.62
16,63.20
32,62.77
8,55.89
64,68.91
64,71.49
128,73.69
16,58.65
32,60.25
8,55.38
128,74.23
16,63.85
32,67.31
64,66.25
8,62.16
16,60.09
128,73.79
32,65.91
64,71.64
8,58.89
16,50.07
128,73.91
32,61.61
128,73.14
8,55.00
16,54.12
64,67.79
32,62.33
64,68.96
128,74.21
16,57.97
8,58.85
128,72.25
64,72.56
32,67.84
8,54.88
16,53.97
32,68.42
8,49.38
64,71.39
128,73.61
64,71.47
32,66.78
16,61.25
16,53.71
8,58.20
128,70.42
32,66.76
64,70.30
8,51.03
128,74.63
128,73.00
32,69.34
16,62.52
64,69.20
8,58.61
16,58.65
32,63.25
64,68.25
8,45.60
16,61.90
128,74.95
128,75.00
32,70.07
16,57.35
64,72.71
8,59.95
64,66.76
32,66.25
16,60.24
128,72.85
32,64.94
8,44.93
64,69.76
8,58.68
128,73.59
16,57.23
32,64.58
64,68.93
128,72.30
8,52.76
16,53.30
128,75.74
32,57.06
8,50.87
16,59.39
64,65.79
32,63.83
64,70.05
8,57.24
128,73.12
16,56.96
32,67.96
8,47.96
64,69.40
128,71.44
16,60.67
32,67.29
64,66.91
128,72.50
8,57.96
32,66.73
8,55.14
16,56.53
16,62.50
128,74.28
64,66.50
32,61.51
8,60.34
128,74.50
64,66.03
16,61.58
128,72.00
64,71.49
8,51.08
32,66.39
16,54.94
32,61.85
128,74.28
64,66.30
8,55.31
16,56.36
8,58.51
32,62.98
64,67.28
128,75.72
16,54.24
32,68.76
128,72.18
64,68.35
8,52.40
16,57.11
32,65.59
128,70.67
64,67.30
32,63.71
16,63.58
8,63.22
128,72.82
64,68.98
8,58.05
16,60.81
32,67.94
32,64.41
16,57.88
64,67.52
8,53.49
128,74.06
64,69.98
128,72.20
8,44.40
32,65.40
16,50.05
128,72.85
64,71.30
8,55.43
16,60.86
32,67.24
64,69.98
128,74.41
8,49.35
16,61.73
32,61.10
64,69.20
128,73.51
16,58.24
8,52.79
32,64.17
64,70.78
128,73.54
8,52.24
16,63.56
32,60.93
64,70.96
128,70.72
8,47.62
16,54.91
32,67.41
64,69.76
8,63.53
128,71.76
16,59.95
32,61.03
64,70.49
8,60.14
16,62.76
128,71.98
32,66.47
64,71.76
128,72.08
8,48.65
16,58.12
32,62.67
128,75.02
64,68.74
8,58.39
16,63.20
32,64.31
8,40.89
64,69.62
128,73.71
16,60.93
32,62.91
128,72.30
64,71.44
