Date/Time, 2020-06-02_12:35
8,29.54
32,50.07
16,43.30
64,49.05
128,50.20
8,47.21
16,49.04
32,50.07
64,53.12
128,51.21
8,48.34
32,46.11
16,40.41
128,47.52
64,44.98
8,45.75
16,48.17
32,47.92
64,52.92
128,45.42
8,43.00
32,43.47
16,49.35
64,37.52
128,52.35
8,41.49
32,45.79
16,43.45
64,50.41
128,50.62
8,38.39
32,46.98
16,43.59
64,46.66
128,52.38
8,50.96
32,46.30
16,46.82
64,48.93
128,48.39
8,40.17
16,51.97
32,45.60
64,45.81
8,43.12
128,48.49
16,49.76
32,50.53
64,45.27
8,41.27
128,36.19
16,49.47
32,46.25
64,52.49
8,42.50
128,51.58
16,45.40
32,45.31
64,50.61
8,46.49
128,46.26
16,48.29
32,51.43
64,52.29
128,47.40
8,43.51
16,46.53
32,46.62
64,47.76
8,36.06
128,46.63
16,48.27
32,51.16
64,52.73
8,47.76
128,46.93
16,40.41
32,51.57
64,47.73
128,48.69
16,47.47
8,47.76
32,51.11
64,47.08
128,42.80
16,42.80
8,45.02
32,46.91
64,46.25
128,50.17
8,44.57
16,45.86
32,49.25
64,51.29
128,49.50
16,47.52
8,45.87
32,46.01
64,49.24
128,48.99
8,45.75
16,52.60
32,45.77
128,44.01
64,48.15
8,48.22
16,48.99
32,47.68
128,41.88
64,51.17
8,42.26
16,47.18
32,46.28
64,46.37
128,41.58
8,47.67
16,42.77
32,49.13
128,45.67
64,44.01
8,39.09
16,49.61
32,47.22
64,47.93
128,50.22
8,40.72
32,50.34
16,49.23
128,49.33
64,50.34
8,40.75
16,44.34
32,46.30
64,47.44
128,47.57
8,33.85
16,50.96
32,48.60
128,47.52
64,47.90
8,48.56
16,41.76
32,38.61
64,46.47
128,41.98
8,52.33
16,48.80
32,50.31
64,45.35
128,47.43
8,44.47
16,46.58
32,42.63
64,54.87
128,40.82
8,44.93
32,48.84
16,53.52
64,44.57
128,48.86
8,36.66
16,43.62
64,43.88
32,48.19
128,51.58
8,45.29
16,47.93
32,44.32
64,48.98
8,41.03
128,46.34
16,47.62
64,49.29
32,49.01
8,39.52
128,44.21
16,44.63
32,51.11
64,48.98
128,47.20
8,37.84
16,47.57
32,53.43
64,47.34
128,45.37
16,44.99
8,43.34
32,43.88
64,51.78
128,47.60
8,38.10
16,47.88
32,47.46
64,42.86
128,55.20
16,53.88
8,51.15
64,51.24
32,51.26
128,43.49
8,41.97
16,48.94
32,49.78
64,49.34
128,51.31
8,45.62
16,53.11
32,52.35
128,47.87
64,50.51
16,48.96
8,45.34
32,44.71
64,44.03
128,44.55
8,46.06
16,42.97
32,50.68
128,47.77
64,43.13
8,48.94
16,41.74
32,43.88
64,41.23
128,49.70
8,42.45
32,47.24
16,46.12
64,50.24
128,53.56
8,48.92
32,47.12
16,45.28
64,49.59
128,51.56
8,30.62
32,54.84
16,47.04
64,49.68
128,47.00
8,40.10
32,47.00
16,51.06
64,48.56
128,50.32
8,35.05
16,44.27
32,47.90
64,48.27
8,46.44
128,53.66
16,50.63
32,49.83
64,50.29
8,45.38
128,49.03
16,48.89
32,51.16
64,49.81
128,50.79
8,43.10
16,48.34
32,44.00
64,48.56
8,33.97
128,48.89
16,46.03
32,46.13
64,52.36
128,36.61
8,43.25
16,46.77
32,47.29
64,50.37
128,52.40
8,46.23
32,43.81
16,44.53
128,44.41
64,49.32
8,44.86
16,51.45
32,42.65
64,42.52
128,47.72
8,43.68
16,46.60
32,49.49
64,48.64
8,44.06
128,52.62
16,47.64
32,49.23
64,53.02
8,44.83
128,43.22
16,48.10
32,49.35
64,47.17
128,49.01
8,44.66
16,47.21
64,49.49
32,46.49
128,47.57
16,52.19
8,41.37
32,52.20
64,46.15
128,42.55
16,47.86
8,50.17
32,49.88
64,47.66
128,49.98
8,42.88
16,40.34
32,46.11
64,39.16
128,49.95
16,45.26
8,45.12
32,45.62
64,52.39
128,46.16
8,46.75
16,46.60
64,46.25
32,50.89
8,46.06
128,54.31
16,49.57
32,48.69
64,46.95
128,46.91
16,46.92
8,36.90
32,47.22
64,49.12
128,50.30
8,46.39
16,44.73
32,50.63
128,50.59
64,48.51
8,41.80
32,50.58
16,47.54
128,49.43
64,47.61
8,46.08
16,48.92
32,48.72
64,52.83
128,49.41
8,34.62
16,51.76
32,51.33
64,55.00
8,48.80
128,49.95
32,49.11
16,44.77
64,50.22
128,50.57
8,41.66
16,44.82
32,49.61
64,50.83
8,48.87
128,45.40
32,46.88
16,41.47
64,50.41
128,52.30
8,42.79
16,40.99
128,46.51
32,42.65
64,46.93
8,37.02
16,48.39
32,48.38
64,39.33
128,46.51
8,45.77
16,42.85
32,52.51
128,44.16
64,47.56
16,47.95
8,37.69
32,45.72
64,49.07
8,49.59
128,47.67
32,52.49
16,44.63
64,44.47
128,48.04
8,42.84
16,50.26
32,48.26
64,45.98
128,48.39
8,48.97
16,45.35
32,51.31
64,43.91
128,46.61
8,38.68
16,43.95
32,44.05
8,49.74
64,48.66
128,52.35
16,43.30
32,47.94
64,43.25
128,49.01
8,48.17
16,43.71
32,49.61
64,43.91
128,48.04
8,44.69
16,46.87
32,50.17
64,43.62
128,43.86
8,50.10
32,48.31
16,47.69
128,50.20
64,44.15
8,39.95
16,51.04
32,50.56
64,44.25
128,46.56
8,42.24
32,50.02
16,47.57
128,47.55
64,46.20
8,40.79
16,39.79
32,54.09
64,53.63
128,42.13
8,48.53
16,43.69
32,53.38
64,50.19
128,54.73
8,42.50
32,48.28
16,47.42
64,48.42
128,44.41
8,50.41
16,45.95
32,48.91
64,48.00
8,46.71
128,47.33
32,47.85
16,48.75
64,49.56
128,50.42
8,39.25
16,39.33
32,49.85
64,45.78
8,50.53
128,50.27
16,49.88
32,46.11
64,48.98
8,48.53
128,45.22
16,47.74
32,48.45
64,49.44
128,52.57
8,41.13
16,40.80
64,47.86
32,46.37
8,44.23
128,49.21
16,51.95
32,49.85
64,50.66
128,43.44
8,38.10
16,51.47
64,51.34
32,51.33
128,50.20
