Date/Time, 2020-05-28_14:37
8,36.03
16,54.74
32,62.40
64,67.79
128,73.22
8,61.23
16,60.21
32,64.99
64,69.62
128,70.50
8,62.67
16,56.67
32,66.47
64,71.10
128,72.85
8,57.14
16,64.38
32,65.06
64,69.96
128,72.40
8,59.30
16,60.98
32,65.69
64,68.74
128,72.50
8,56.68
16,51.16
32,64.07
64,70.32
128,69.95
8,54.98
16,59.18
32,65.09
64,68.74
128,74.23
8,62.62
16,54.29
32,65.30
64,70.39
128,72.40
8,54.86
16,64.23
32,62.86
64,69.23
128,70.87
8,56.97
16,64.23
32,68.06
64,69.93
128,71.29
8,54.21
16,64.62
32,66.83
64,69.44
128,72.85
8,59.50
16,61.03
32,63.73
64,70.61
128,74.46
8,60.72
16,61.92
32,66.68
64,70.78
128,71.88
8,54.50
16,60.43
32,63.73
64,69.69
128,70.50
8,48.56
16,65.00
32,66.15
64,70.18
128,72.65
8,62.19
16,50.55
32,66.63
64,68.57
128,74.68
8,60.89
16,57.83
32,67.19
64,67.76
128,74.06
8,49.50
16,56.84
32,67.31
64,71.61
128,75.54
8,54.47
16,61.63
32,65.57
64,71.88
128,74.13
8,61.54
16,61.37
32,61.48
64,69.42
128,72.87
8,59.09
16,64.33
32,67.96
64,70.32
128,73.54
8,58.25
16,63.32
32,68.62
64,70.49
128,72.62
8,51.59
16,62.50
32,63.95
64,67.32
128,75.20
8,62.36
16,56.07
32,69.54
64,70.44
128,73.17
8,56.20
16,61.27
32,65.50
64,70.76
128,71.39
8,53.97
16,67.82
32,67.36
64,68.27
128,73.89
8,57.14
16,57.39
32,68.67
64,70.88
128,72.92
8,50.72
16,61.83
32,66.90
64,69.35
128,74.78
8,66.15
16,59.56
32,61.10
64,69.42
128,72.13
8,66.18
16,58.31
32,66.22
64,71.69
128,74.26
8,55.36
16,57.80
32,66.05
64,70.66
128,73.76
8,63.87
16,64.62
32,67.82
64,71.73
128,72.62
8,45.10
16,54.87
32,67.05
64,71.71
128,73.99
8,58.68
16,62.60
32,68.16
64,70.71
128,75.12
8,55.02
16,58.19
32,66.88
64,67.01
128,73.54
8,47.40
16,59.61
32,65.91
64,73.59
128,71.61
8,38.05
16,61.83
32,69.71
64,72.22
128,72.30
8,55.12
16,55.35
32,64.41
64,71.78
128,73.34
8,53.80
16,67.20
32,63.61
64,69.15
128,74.06
8,61.44
16,65.46
32,62.09
64,71.13
128,74.36
8,59.50
16,63.34
32,66.03
64,68.45
128,72.90
8,60.67
16,63.61
32,68.11
64,70.35
128,75.89
8,58.39
16,63.39
32,67.00
64,69.32
128,73.04
8,55.82
16,56.07
32,64.53
64,68.88
128,73.02
8,61.49
16,58.62
32,61.90
64,72.34
128,74.78
8,61.44
16,56.60
32,64.70
64,71.64
128,72.00
8,57.72
16,61.39
32,66.92
64,69.25
128,73.32
8,54.93
16,64.40
32,61.99
64,68.86
128,72.20
8,55.41
16,58.77
32,61.87
64,66.89
128,74.43
8,45.72
16,60.26
32,67.53
64,69.59
128,74.01
8,61.08
16,67.56
32,66.47
64,69.08
128,72.62
8,58.97
16,65.39
32,65.52
64,69.62
128,71.71
8,53.12
16,61.18
32,62.38
64,70.59
128,70.20
8,46.06
16,59.63
32,66.03
64,69.91
128,73.39
8,63.03
16,59.95
32,68.35
64,67.74
128,73.47
8,59.40
16,61.20
32,68.21
64,70.66
128,73.24
8,56.90
16,61.32
32,64.26
64,70.44
128,71.58
8,61.42
16,52.89
32,67.24
64,69.25
128,73.09
8,54.76
16,61.58
32,64.92
64,70.03
128,72.45
8,59.52
16,64.72
32,64.87
64,67.64
128,71.78
8,57.62
16,59.15
32,60.30
64,72.00
128,73.47
8,60.46
16,63.97
32,67.09
64,67.64
128,73.61
8,63.17
16,61.44
32,67.65
64,72.00
128,72.90
8,55.53
16,49.93
32,63.15
64,68.64
128,74.08
8,52.96
16,53.66
32,64.17
64,70.27
128,74.58
8,62.21
16,58.82
32,66.95
64,71.71
128,71.41
8,62.88
16,55.92
32,67.19
64,70.49
128,74.06
8,48.37
16,62.07
32,67.05
64,71.52
128,71.53
8,58.51
16,54.79
32,65.91
64,70.42
128,73.64
8,52.14
16,64.14
32,68.86
64,69.98
128,71.88
8,60.43
16,60.45
32,63.49
64,68.59
128,74.68
8,47.00
16,64.81
32,69.22
64,72.32
128,74.13
8,60.31
16,59.97
32,66.05
64,67.86
128,72.35
8,47.79
16,62.62
32,66.73
64,69.69
128,74.13
8,60.41
16,56.60
32,66.32
64,69.05
128,72.28
8,54.40
16,52.10
32,58.63
64,65.35
128,74.83
8,53.10
16,61.75
32,66.08
64,69.42
128,72.18
8,59.11
16,56.19
32,67.92
64,70.44
128,71.91
8,50.62
16,61.34
32,67.60
64,68.81
128,72.13
8,61.01
16,59.18
32,67.29
64,68.42
128,73.47
8,54.16
16,62.98
32,62.50
64,65.01
128,73.24
8,61.80
16,60.60
32,68.06
64,71.13
128,71.68
8,54.59
16,58.31
32,62.50
64,70.71
128,74.11
8,57.86
16,58.55
32,64.43
64,68.23
128,75.42
8,60.58
16,58.69
32,69.78
64,68.93
128,71.76
8,56.80
16,59.75
32,66.27
64,69.30
128,70.89
8,63.61
16,64.16
32,64.75
64,68.71
128,73.27
8,58.58
16,62.57
32,69.51
64,67.35
128,73.89
8,55.36
16,61.25
32,65.18
64,70.30
128,72.87
8,45.55
16,47.78
32,66.51
64,71.76
128,73.34
8,55.00
16,59.42
32,68.76
64,69.76
128,72.72
8,55.50
16,65.82
32,62.19
64,70.32
128,73.59
8,54.47
16,59.90
32,65.01
64,72.15
128,72.60
8,52.86
16,62.16
32,61.29
64,70.52
128,71.78
8,51.08
16,54.84
32,68.52
64,69.20
128,72.33
8,65.10
16,62.81
32,64.00
64,70.39
128,70.97
8,61.15
16,62.86
32,66.83
64,70.66
128,70.92
8,48.51
16,61.63
32,63.83
64,70.35
128,74.73
8,58.97
16,64.40
32,65.98
64,69.59
128,72.10
8,44.81
16,61.08
32,65.55
64,71.59
128,72.20
