Date/Time, 2020-06-08_19:53
16,58.00
8,38.99
64,72.22
32,64.99
8,62.81
128,78.12
16,62.93
32,68.35
128,75.25
8,65.43
64,73.17
16,59.44
64,73.29
32,69.15
128,76.66
8,58.27
16,66.59
32,68.09
64,74.00
128,75.67
8,60.65
32,69.15
16,63.05
64,71.22
128,75.77
8,60.67
16,53.64
32,67.46
64,73.85
128,75.82
8,56.63
16,62.28
32,67.31
64,72.03
128,78.19
8,65.65
16,57.59
32,68.62
64,72.73
128,76.58
8,54.52
16,68.28
32,65.91
64,73.64
8,59.52
128,74.33
16,67.10
32,71.28
128,76.19
64,74.39
8,57.00
16,66.16
32,70.33
64,74.07
128,76.71
8,61.92
16,64.09
32,65.69
64,74.15
128,76.14
16,66.02
8,63.73
32,69.46
64,75.22
128,76.51
8,58.70
16,63.15
32,66.34
64,73.73
128,75.52
8,55.19
16,66.59
32,69.85
64,73.49
128,76.44
8,63.56
16,55.97
32,68.25
64,73.29
128,77.77
8,61.97
16,61.73
32,69.97
64,73.05
8,52.38
128,77.67
16,60.77
32,71.59
64,73.12
128,78.09
8,56.92
16,62.86
32,69.00
64,75.44
128,75.12
8,63.94
16,64.43
32,65.04
64,73.61
128,76.73
8,61.25
16,66.55
32,71.01
64,72.56
128,75.69
16,66.74
8,60.31
32,71.42
64,73.66
128,77.35
8,54.66
16,64.81
32,68.09
64,71.78
128,77.10
8,64.35
16,59.90
64,73.73
32,72.15
128,75.22
8,58.39
16,62.40
32,69.34
64,73.34
128,74.80
8,55.99
16,70.09
32,69.44
64,71.27
128,76.98
8,59.83
16,60.50
32,71.49
64,74.59
128,76.11
8,52.98
16,64.09
32,69.46
64,72.27
128,78.17
8,67.91
16,60.60
32,65.62
64,73.25
128,76.46
8,68.37
16,60.96
32,69.68
64,74.00
128,77.33
8,57.52
16,60.96
32,68.47
64,73.42
128,77.87
8,65.00
16,67.46
32,70.09
64,74.15
128,76.21
8,46.92
16,55.97
32,70.67
64,74.81
128,76.96
8,59.95
16,65.44
32,72.94
64,75.12
128,77.18
8,56.39
16,62.21
32,69.66
64,71.27
128,76.68
8,49.95
16,62.16
32,69.41
64,76.58
128,75.99
8,44.42
16,63.97
32,72.10
64,75.93
128,77.10
8,55.91
16,59.08
32,68.71
64,74.76
128,77.43
16,69.24
8,56.90
32,67.94
64,73.37
128,76.81
8,64.40
16,68.02
32,65.43
64,75.41
128,76.98
8,60.46
16,65.15
32,70.00
64,73.03
128,76.88
8,63.49
16,66.35
32,71.66
64,74.27
128,78.42
8,59.83
16,65.00
32,70.79
64,73.15
128,76.11
8,57.00
16,58.67
32,67.87
64,72.51
128,78.27
8,63.53
16,61.34
32,66.08
64,74.24
128,76.31
8,64.06
16,60.40
32,67.96
64,75.37
128,76.39
8,61.85
16,62.57
64,73.42
32,70.87
