Date/Time, 2020-06-12_19:59
8,27.09
8,41.08
128,72.77
16,52.79
32,64.89
64,64.94
16,65.56
32,65.06
64,68.93
128,71.51
8,67.40
16,59.51
8,40.12
16,45.06
32,69.71
32,68.28
64,73.64
128,72.35
8,41.66
16,61.51
64,71.78
128,76.29
64,68.35
32,57.88
128,77.00
128,76.26
64,71.66
8,59.23
64,66.01
16,56.72
32,67.79
8,57.12
16,59.10
32,65.64
16,58.48
128,78.61
64,70.47
8,58.56
32,67.94
128,70.97
8,56.92
64,72.03
16,49.69
32,64.48
128,73.99
16,67.32
8,61.30
128,72.75
16,62.74
32,70.60
64,68.66
8,41.25
32,62.98
32,53.58
128,75.87
64,67.37
8,61.63
64,68.08
16,47.09
32,69.12
32,65.38
128,71.73
16,66.04
8,48.82
8,56.37
128,70.00
16,50.07
64,68.27
64,73.34
128,75.92
8,45.38
128,68.02
16,61.42
32,52.47
64,66.69
8,58.97
128,73.61
8,41.54
16,64.28
64,67.69
32,68.96
16,65.87
128,78.59
32,65.30
64,71.61
128,71.73
16,45.45
8,57.81
32,70.12
8,55.36
64,72.90
16,50.41
32,62.62
128,76.93
64,75.05
8,52.43
32,68.93
128,71.36
16,53.03
64,72.08
8,56.27
32,62.31
16,66.06
64,67.15
16,56.12
64,72.03
128,71.93
8,57.50
32,68.67
128,74.13
64,68.47
16,60.48
32,66.80
128,78.51
8,49.66
8,60.48
16,60.02
64,68.59
8,41.61
32,69.54
64,73.71
128,71.88
16,52.67
32,68.81
128,75.54
8,58.08
32,64.82
128,72.65
16,69.08
16,59.71
64,65.91
8,56.75
32,72.39
32,66.97
64,67.52
128,70.25
128,78.34
8,55.43
16,62.11
64,66.62
8,61.37
128,70.79
8,59.86
16,55.37
64,71.15
32,61.41
16,60.55
16,58.89
32,65.28
32,68.16
64,68.57
128,77.70
8,58.00
32,68.83
64,68.06
128,70.99
128,78.34
8,59.35
16,63.56
64,68.88
8,40.70
16,41.35
16,50.55
32,67.77
64,67.84
64,73.71
8,60.24
128,77.35
32,71.62
32,71.13
128,77.20
128,75.15
8,58.89
16,43.57
64,70.03
128,72.80
16,52.46
8,54.18
32,66.42
8,39.95
64,70.59
16,48.75
8,58.12
128,77.62
32,69.58
64,74.54
128,75.20
64,73.88
16,46.36
32,62.48
32,64.99
64,67.86
8,57.88
16,69.12
128,73.12
8,57.36
8,60.70
16,47.71
16,62.81
32,63.73
64,74.71
128,69.28
8,42.60
32,69.39
128,72.15
64,74.39
32,68.83
64,66.33
16,61.80
16,68.06
128,78.39
128,71.44
8,61.85
32,57.62
64,72.59
64,72.81
8,32.52
16,42.51
32,61.46
8,60.19
128,79.38
16,61.30
16,53.76
32,64.48
64,69.96
128,76.26
128,70.50
8,64.81
32,65.72
64,66.33
32,67.55
64,69.10
8,49.74
8,40.82
16,66.18
128,76.36
16,58.98
32,62.38
16,61.30
64,67.88
64,65.64
128,76.14
8,61.49
32,65.98
64,67.69
128,72.65
128,74.95
16,56.72
8,44.52
32,55.27
8,58.10
16,47.52
128,73.32
64,72.64
32,65.86
8,59.81
16,63.61
16,59.63
32,65.04
64,66.25
128,74.03
128,69.18
8,28.12
8,40.07
64,66.28
32,66.44
32,52.03
16,48.07
32,70.82
64,65.57
64,73.25
128,77.20
8,57.26
16,51.45
128,73.91
8,59.16
64,69.88
16,62.31
128,71.86
32,61.03
64,71.95
16,63.08
8,59.98
32,69.83
16,48.24
64,69.88
128,71.78
8,53.89
32,64.02
128,70.97
128,77.70
8,58.82
8,59.74
16,53.76
32,71.03
64,66.64
128,71.66
16,55.18
32,66.30
16,43.16
64,72.76
8,61.78
16,61.63
32,60.66
64,66.47
8,50.58
32,63.49
128,79.48
128,71.44
64,69.71
32,59.21
8,65.26
16,59.61
16,56.65
128,77.45
64,64.47
8,56.71
8,58.39
32,66.25
32,59.55
64,71.69
128,72.05
16,59.80
16,61.03
64,73.27
32,69.32
128,74.93
128,77.80
8,60.36
64,66.98
32,70.89
8,58.89
16,60.21
8,56.59
64,67.79
128,74.98
8,59.83
64,73.12
16,58.57
64,67.86
32,48.38
128,76.31
16,64.21
16,50.58
32,66.44
128,76.31
128,71.26
8,60.24
32,66.59
32,69.75
8,57.67
64,74.95
16,51.76
8,56.47
64,65.79
64,70.61
128,73.17
16,66.11
32,63.56
64,65.47
8,57.79
8,59.28
16,60.16
128,77.20
32,68.98
128,73.14
128,74.78
16,54.14
32,69.78
8,42.45
64,71.25
16,53.56
32,68.40
64,67.20
128,69.63
8,57.93
16,60.60
128,78.32
16,51.83
32,63.68
64,64.11
8,55.29
32,65.72
32,62.48
64,66.15
128,67.40
64,73.44
8,59.74
16,58.24
16,64.38
128,72.23
32,68.54
8,56.90
128,72.03
64,65.20
32,67.63
128,76.21
8,57.36
16,48.12
16,66.79
64,68.54
64,63.11
8,58.89
32,63.49
8,46.56
128,77.62
16,59.10
16,62.57
32,68.86
128,77.03
64,73.95
128,76.71
8,47.67
32,64.29
64,72.90
16,57.88
128,78.17
8,58.27
64,64.55
32,67.82
8,58.97
64,65.59
16,59.90
32,70.24
128,77.80
8,57.60
16,57.03
16,62.31
32,69.29
64,65.69
128,73.84
8,51.11
128,76.93
8,59.52
32,67.70
64,66.25
16,57.97
128,78.79
64,66.23
8,40.43
32,68.42
16,50.00
32,67.07
128,71.19
32,70.07
64,69.03
8,58.12
64,69.59
16,47.04
8,56.78
64,66.25
128,71.06
128,74.03
16,46.82
32,68.52
8,59.69
16,60.65
16,63.80
32,59.19
8,60.14
32,61.51
64,72.42
64,68.69
128,78.04
128,74.60
32,65.11
32,72.61
8,59.50
16,45.38
64,67.13
128,74.55
8,47.12
8,60.58
16,43.93
64,72.05
16,66.26
128,76.19
64,70.20
32,62.50
32,46.69
8,57.79
16,54.70
128,69.26
64,67.06
8,42.93
128,73.04
8,47.12
16,60.84
16,64.60
32,63.35
64,69.88
128,73.14
32,69.05
64,74.12
16,58.12
32,67.53
128,71.26
8,40.50
64,68.37
128,71.86
