Date/Time, 2020-06-12_11:10
128,79.43
32,65.06
8,62.62
32,68.96
64,73.39
128,76.63
16,58.86
8,39.09
64,73.95
16,63.68
16,61.39
32,69.56
8,67.76
16,66.91
64,73.54
8,60.62
128,78.64
32,69.66
64,74.85
128,75.42
32,70.04
16,63.85
8,61.49
8,61.61
128,76.68
64,71.17
16,53.83
32,68.33
64,74.61
128,78.32
8,56.44
64,72.66
16,62.50
32,67.17
128,77.97
8,66.49
64,72.73
16,59.92
32,69.83
128,76.26
16,69.10
8,55.17
64,74.76
32,67.24
8,61.13
128,74.48
16,67.17
32,71.28
32,71.32
64,75.19
128,77.55
128,77.97
8,57.88
16,66.59
64,74.44
8,62.62
16,65.90
8,65.96
32,67.12
64,74.85
128,76.73
16,66.96
64,75.49
32,70.12
128,76.73
8,59.42
16,63.44
32,67.63
64,75.02
16,66.86
128,76.78
8,51.06
64,74.61
32,70.87
128,76.83
8,43.17
16,55.76
32,68.13
64,74.54
16,64.50
8,62.43
128,78.14
64,74.17
32,71.32
128,77.87
8,32.81
16,62.60
16,63.68
32,74.56
64,73.00
64,75.93
128,78.14
8,57.45
128,75.77
32,69.08
8,67.74
64,74.54
16,65.03
16,67.53
32,65.11
128,77.30
32,71.81
8,60.43
64,72.73
128,76.16
16,67.41
8,59.76
32,72.17
8,45.79
64,74.68
128,78.47
16,65.32
32,69.03
64,72.47
8,66.39
128,77.03
16,63.13
32,72.78
64,73.73
128,75.54
16,62.36
8,60.12
32,71.08
64,73.42
128,75.52
64,71.49
8,56.42
32,69.29
16,70.21
8,60.75
128,77.08
16,61.83
32,72.49
32,70.62
128,76.49
64,75.12
8,52.76
16,63.97
64,72.81
8,68.41
128,78.37
16,58.33
128,77.43
64,73.98
32,67.02
8,69.59
16,61.56
32,71.08
64,74.59
16,61.30
128,77.18
8,59.33
32,68.93
128,77.92
64,73.61
8,65.12
16,69.63
128,78.04
64,73.76
32,70.04
16,56.67
8,36.80
128,77.60
64,75.02
32,71.98
8,61.06
32,73.72
16,67.58
8,57.36
64,76.27
16,64.55
128,77.15
32,71.18
128,77.10
64,73.54
8,50.75
16,62.72
32,70.29
64,77.24
8,36.71
32,72.68
128,75.82
16,66.16
64,75.68
128,77.52
8,55.99
16,59.30
32,69.00
64,74.81
32,69.34
128,78.19
8,59.30
16,68.74
128,77.25
64,73.56
8,65.43
16,68.30
32,67.07
128,76.81
64,76.10
8,59.66
32,71.59
16,66.45
128,76.53
8,63.10
64,74.54
16,67.65
32,72.56
64,74.37
128,78.37
32,71.88
16,65.03
8,60.84
64,73.68
128,76.01
8,38.68
16,58.96
128,78.64
32,69.71
64,74.37
8,64.13
16,62.24
32,66.49
64,74.37
128,76.09
16,62.33
8,66.27
32,67.87
64,76.54
128,77.33
8,55.02
16,62.43
32,71.83
128,75.94
64,73.88
8,52.96
16,69.24
128,76.16
8,61.73
32,65.69
16,63.54
64,72.76
32,69.56
64,72.90
128,75.87
32,68.93
8,51.75
16,62.55
64,73.49
8,62.93
128,78.12
16,69.56
64,74.46
32,69.39
128,77.18
8,60.46
