Date/Time, 2020-05-29_23:13
8,34.93
16,56.67
32,56.53
64,58.11
128,57.30
8,25.38
16,57.20
32,57.88
64,57.26
128,57.18
8,57.76
16,34.66
32,57.01
64,56.04
128,56.88
8,55.19
16,56.53
32,56.41
64,56.46
128,36.81
8,57.33
16,56.79
32,56.55
64,56.75
128,58.17
8,56.47
16,57.15
32,57.47
64,56.63
128,58.42
8,56.75
16,56.84
32,56.89
64,56.90
128,56.71
8,56.37
16,56.29
32,57.28
64,57.21
128,57.97
8,35.50
16,56.50
32,56.87
64,56.26
128,56.68
8,34.42
16,57.20
32,57.91
64,56.70
128,57.08
8,56.73
16,56.00
32,56.89
64,56.92
128,57.55
8,57.12
16,57.11
32,57.52
64,57.07
128,56.66
8,57.21
16,56.72
32,57.23
64,56.97
128,57.43
8,56.27
16,57.66
32,56.87
64,56.55
128,58.02
8,27.60
16,56.98
32,56.24
64,57.24
128,57.08
8,56.80
16,35.48
32,55.68
64,57.75
128,57.52
8,56.30
16,56.60
32,56.41
64,58.19
128,57.00
8,35.05
16,56.65
32,56.36
64,56.97
128,57.23
8,56.42
16,55.97
32,56.50
64,57.21
128,57.52
8,56.78
16,56.19
32,35.20
64,56.77
128,56.66
8,55.38
16,57.01
32,56.99
64,57.77
128,56.96
8,56.32
16,56.79
32,57.21
64,55.82
128,56.93
8,56.27
16,56.36
32,56.09
64,57.94
128,57.08
8,56.03
16,56.07
32,56.29
64,57.87
128,57.45
8,56.23
16,56.74
32,55.95
64,34.82
128,56.16
8,56.49
16,56.21
32,56.43
64,57.75
128,57.15
8,56.66
16,56.91
32,56.67
64,57.09
128,56.88
8,35.24
16,56.36
32,56.94
64,56.90
128,57.72
8,56.59
16,26.23
32,56.14
64,56.16
128,57.62
8,56.18
16,56.86
32,56.70
64,55.70
128,57.20
8,34.06
16,56.94
32,57.08
64,56.70
128,58.37
8,56.97
16,57.23
32,57.71
64,56.55
128,57.35
8,35.05
16,35.26
32,57.33
64,56.97
128,57.00
8,56.75
16,56.70
32,56.14
64,56.73
128,58.29
8,55.60
16,36.54
32,56.70
64,57.77
128,57.28
8,35.79
16,56.17
32,55.75
64,57.21
128,56.91
8,56.61
16,56.82
32,55.90
64,57.38
128,57.08
8,35.79
16,56.53
32,56.29
64,56.80
128,56.88
8,56.75
16,56.70
32,34.50
64,57.46
128,56.61
8,56.90
16,56.79
32,55.66
64,56.77
128,56.83
8,34.66
16,57.11
32,56.46
64,57.72
128,57.18
8,56.83
16,56.50
32,56.31
64,57.07
128,56.63
8,56.39
16,57.39
32,55.61
64,55.65
128,56.98
8,25.84
16,35.26
32,56.84
64,57.58
128,57.35
8,34.88
16,56.70
32,34.62
64,56.97
128,56.63
8,56.15
16,57.20
32,55.85
64,57.65
128,56.76
8,56.92
16,56.05
32,56.33
64,56.92
128,57.25
8,56.63
16,56.53
32,35.90
64,57.29
128,57.85
8,56.13
16,34.30
32,56.36
64,57.82
128,59.06
8,57.26
16,57.06
32,57.25
64,56.43
128,58.19
8,57.09
16,57.01
32,57.13
64,56.75
128,57.08
8,35.31
16,56.36
32,56.14
64,57.09
128,57.97
8,55.65
16,56.74
32,56.75
64,55.73
128,57.50
8,58.10
16,55.97
32,57.54
64,57.07
128,57.25
8,56.30
16,56.26
32,56.72
64,56.65
128,56.53
8,56.06
16,56.65
32,57.86
64,56.26
128,58.12
8,56.11
16,35.36
32,57.23
64,56.82
128,56.93
8,55.46
16,34.03
32,57.25
64,56.43
128,56.56
8,35.02
16,58.21
32,57.37
64,56.14
128,56.93
8,55.94
16,56.48
32,35.40
64,57.92
128,57.05
8,34.42
16,55.49
32,35.59
64,57.19
128,57.40
8,56.75
16,56.70
32,56.60
64,56.14
128,55.67
8,57.52
16,56.21
32,57.08
64,57.82
128,57.23
8,25.99
16,35.00
32,57.23
64,56.34
128,58.47
8,55.99
16,34.83
32,56.84
64,56.53
128,57.65
8,56.32
16,57.42
32,56.89
64,57.48
128,57.62
8,56.78
16,56.21
32,56.94
64,57.80
128,57.75
8,35.14
16,56.79
32,56.96
64,56.53
128,57.13
8,56.47
16,56.70
32,57.01
64,57.48
128,57.70
8,56.78
16,56.21
32,56.46
64,56.92
128,56.66
8,55.87
16,56.41
32,57.11
64,57.75
128,57.20
8,34.35
16,56.84
32,56.09
64,56.87
128,58.22
8,56.44
16,55.78
32,57.08
64,57.70
128,57.82
8,56.15
16,56.96
32,56.26
64,56.75
128,58.00
8,57.04
16,35.14
32,56.70
64,57.31
128,56.91
8,57.31
16,56.26
32,35.25
64,55.92
128,56.36
8,57.16
16,56.07
32,57.74
64,56.55
128,58.00
8,56.59
16,35.14
32,56.53
64,57.58
128,56.83
8,57.31
16,57.03
32,57.42
64,34.87
128,58.00
8,56.32
16,56.67
32,56.46
64,56.90
128,56.61
8,35.19
16,56.84
32,57.21
64,56.34
128,58.56
8,56.66
16,56.00
32,57.01
64,58.14
128,56.96
8,56.80
16,34.10
32,56.29
64,56.75
128,57.55
8,34.90
16,55.85
32,56.12
64,57.82
128,57.40
8,56.51
16,56.31
32,56.58
64,56.29
128,57.92
8,56.85
16,56.19
32,57.01
64,56.55
128,57.62
8,57.50
