Date/Time, 2020-07-16_22:15
100,27.67
200,34.94
200,42.27
100,27.66
400,45.22
400,41.41
800,55.53
800,51.70
1600,61.24
1600,58.69
100,27.47
100,27.86
400,45.75
200,33.88
1600,59.45
200,35.84
400,44.89
800,50.50
1600,59.48
800,53.79
100,26.16
200,36.49
400,45.53
200,37.39
100,25.61
800,50.00
1600,62.06
400,47.89
800,52.28
100,29.01
1600,61.77
200,32.81
800,54.94
200,35.01
400,45.57
100,23.74
400,45.77
1600,58.20
100,32.89
800,54.18
1600,60.52
200,33.95
400,45.38
100,24.69
800,57.83
200,35.78
1600,57.17
400,43.13
800,53.60
100,26.17
1600,60.95
200,34.99
1600,60.47
100,26.00
800,55.23
200,37.21
400,48.53
400,45.42
800,53.55
100,31.14
400,44.72
200,33.66
1600,59.70
1600,60.07
100,26.75
200,32.00
400,46.93
200,33.34
800,53.46
1600,59.70
400,41.06
1600,58.48
800,57.10
100,25.82
100,29.31
200,34.29
800,54.58
400,44.30
800,56.09
200,36.79
100,25.70
1600,60.64
400,44.34
100,28.93
200,36.35
1600,60.12
800,51.28
800,55.95
100,25.18
400,45.14
200,36.45
1600,60.03
100,26.67
400,43.53
800,54.16
400,42.68
1600,58.25
800,52.07
100,27.05
200,35.14
200,35.43
1600,61.39
400,46.68
800,51.19
100,29.25
1600,57.31
200,35.14
100,31.29
400,43.64
800,52.31
1600,61.75
800,55.52
200,35.01
400,44.57
100,26.29
200,31.50
100,29.88
400,44.40
1600,59.46
800,53.06
200,35.97
1600,56.76
400,47.19
800,53.16
100,25.64
1600,60.79
400,42.37
200,36.77
100,28.79
1600,59.97
800,54.00
200,32.15
400,44.06
800,55.81
100,24.54
200,34.72
400,46.38
1600,61.37
800,55.96
200,34.84
100,25.98
1600,61.63
400,48.62
800,51.88
200,36.85
100,32.48
400,44.51
100,27.20
1600,62.30
800,53.00
200,36.08
1600,59.10
400,42.71
800,55.33
100,23.76
200,34.82
1600,61.17
100,27.27
400,44.36
800,52.70
200,37.20
1600,58.54
400,43.96
800,52.20
100,28.13
200,34.06
400,44.49
1600,60.05
100,28.23
1600,61.83
800,53.24
200,39.66
400,43.46
400,43.97
800,56.19
100,25.89
1600,59.85
200,35.48
800,57.33
100,26.51
200,34.63
400,46.24
800,53.47
1600,60.47
800,51.77
1600,61.26
200,34.55
100,27.72
400,43.46
100,25.56
200,34.11
400,43.11
1600,59.94
800,54.82
100,29.51
200,35.99
400,47.80
800,52.36
1600,58.68
1600,60.99
1600,59.68
200,35.71
800,54.73
100,31.10
400,46.05
800,51.95
800,54.28
100,25.14
200,31.54
1600,61.37
100,25.71
400,45.04
200,32.61
100,29.20
400,43.73
1600,60.34
200,34.96
1600,59.21
400,47.74
800,54.60
100,25.25
400,45.64
200,34.20
800,55.07
100,25.07
200,36.01
1600,59.36
400,42.82
1600,60.99
100,27.69
200,35.05
800,55.54
400,45.84
800,54.00
100,25.26
400,44.19
1600,59.91
200,37.19
100,26.34
200,38.02
800,57.23
400,45.13
1600,59.99
800,55.14
100,24.29
1600,61.33
200,35.96
100,26.37
100,27.52
400,41.80
800,53.95
1600,61.50
200,35.41
400,43.78
800,53.67
1600,62.62
1600,58.56
200,38.74
400,43.77
100,30.21
800,48.63
200,35.18
400,48.37
400,44.50
1600,57.21
800,52.39
100,25.36
200,35.70
100,26.93
200,35.44
1600,62.40
400,44.71
800,56.12
800,55.38
1600,58.32
100,26.00
200,35.49
400,45.73
100,28.34
200,33.86
400,43.09
100,31.54
800,50.59
1600,60.57
1600,59.99
200,35.79
800,54.65
800,52.93
400,44.20
100,25.54
1600,62.95
200,35.22
400,41.28
800,53.66
100,24.26
1600,60.62
1600,57.37
200,35.20
400,47.42
800,50.07
800,55.40
200,36.44
100,28.61
400,43.25
100,27.20
1600,58.90
200,34.03
400,43.55
100,27.08
800,55.33
1600,61.82
400,43.78
200,33.23
800,52.22
100,24.45
200,34.42
1600,57.91
400,44.11
100,27.21
800,50.78
1600,60.57
400,46.25
200,35.23
800,54.86
200,35.39
100,24.69
400,49.60
