Date/Time, 2020-07-16_20:07
1600,67.02
1600,66.60
800,65.01
800,63.01
400,58.68
400,57.67
200,26.95
100,20.59
200,41.02
100,16.78
800,63.55
1600,66.36
200,28.20
100,13.98
1600,66.62
400,58.26
400,59.46
800,60.92
200,40.35
100,32.83
1600,65.20
800,60.54
400,59.31
200,41.34
100,37.25
400,54.05
1600,67.29
200,42.95
100,27.41
800,63.33
100,20.83
1600,67.02
200,49.04
800,60.60
400,56.47
200,35.02
800,64.92
1600,65.27
100,12.73
400,49.24
1600,66.86
800,62.63
200,35.35
400,53.62
1600,66.47
100,30.04
800,62.07
400,52.83
200,48.65
100,33.52
1600,65.77
800,58.40
100,10.60
200,40.96
400,58.79
800,63.59
1600,67.08
400,58.43
200,49.01
100,14.49
100,28.08
1600,67.41
200,44.62
800,63.20
400,51.04
1600,66.59
800,62.90
100,26.72
200,30.11
400,46.27
1600,65.64
800,62.94
200,37.12
100,26.17
400,59.37
1600,66.16
100,14.65
800,64.26
400,60.64
200,37.62
1600,66.17
800,61.95
100,14.78
400,59.15
200,49.57
100,19.33
400,59.52
1600,66.51
200,45.80
800,62.46
800,64.69
100,25.07
1600,66.73
400,57.21
200,29.78
1600,67.82
200,52.69
400,54.38
800,60.60
100,22.15
1600,66.63
200,31.73
400,56.09
100,16.59
800,60.73
1600,67.49
800,63.03
400,48.51
200,44.53
100,13.93
800,63.58
1600,67.91
400,59.67
100,26.79
200,41.72
1600,66.23
800,63.14
100,16.50
200,34.02
400,56.54
1600,65.90
800,63.51
200,39.34
400,57.28
100,37.90
800,62.51
1600,67.20
100,26.49
400,54.63
200,45.80
1600,66.66
800,65.29
400,57.99
200,33.68
100,19.95
1600,66.34
400,46.91
200,35.31
100,15.80
800,60.89
1600,67.32
800,63.60
100,34.17
400,47.58
1600,66.75
200,42.41
100,17.99
200,47.82
400,52.71
800,62.55
1600,67.02
800,63.04
400,56.16
200,43.29
100,15.26
800,61.42
1600,66.38
100,28.64
400,50.41
200,44.23
100,29.01
1600,67.47
200,50.14
400,58.13
800,62.26
1600,66.10
800,63.27
400,62.47
200,31.20
100,11.74
1600,67.33
800,61.80
200,21.18
400,56.27
100,18.37
400,51.74
100,13.60
1600,66.35
800,65.17
200,47.59
800,62.37
1600,66.80
400,56.28
200,37.70
800,64.05
100,25.96
1600,65.65
400,58.61
100,14.61
200,48.30
800,63.30
1600,66.16
400,50.97
200,41.38
100,19.10
1600,66.68
800,64.54
200,40.80
100,14.65
400,51.03
1600,65.66
800,62.73
400,40.41
200,34.56
100,21.43
800,63.29
1600,66.50
400,42.69
200,43.46
100,24.22
100,24.85
1600,66.26
800,62.80
200,42.06
400,59.38
800,62.71
1600,67.11
100,29.40
200,44.27
400,52.66
1600,67.59
200,27.59
400,53.19
800,61.63
100,23.92
400,60.07
1600,65.31
800,61.51
200,44.87
100,26.81
1600,68.08
800,62.69
400,49.01
100,30.25
200,36.45
1600,66.47
400,49.95
200,32.98
100,26.91
800,64.02
1600,64.17
800,61.86
400,53.27
200,34.44
100,24.56
1600,67.74
100,15.79
400,54.40
800,63.66
200,37.63
1600,67.15
400,57.67
100,29.54
800,63.25
200,41.29
1600,66.90
800,61.65
100,28.59
400,53.18
200,36.60
1600,66.47
800,63.90
100,28.77
200,49.99
400,57.98
100,11.68
800,64.36
1600,67.29
400,56.16
200,48.34
100,14.51
200,54.41
1600,64.93
800,62.44
400,58.42
1600,67.60
800,63.62
100,18.10
400,47.56
200,48.93
100,11.32
200,25.37
800,62.57
1600,65.92
400,44.83
1600,67.89
200,41.42
800,60.71
400,57.40
100,31.15
200,46.63
1600,65.71
800,64.04
400,60.39
100,23.02
400,54.94
1600,66.47
800,59.73
100,26.62
200,30.02
1600,67.04
800,60.58
400,52.84
100,15.44
200,38.91
1600,67.95
400,59.24
800,61.05
200,44.62
100,28.32
1600,66.30
400,49.45
200,36.42
800,61.65
100,14.54
1600,67.58
800,64.70
200,28.36
400,55.10
100,33.70
1600,66.70
800,58.97
400,59.12
200,39.25
100,11.73
1600,66.44
800,64.49
100,16.30
400,52.65
200,52.12
200,34.16
800,61.56
1600,65.64
400,52.00
100,33.97
1600,66.18
800,63.89
400,58.87
200,37.03
100,33.54
800,63.19
400,53.51
1600,67.36
200,34.36
100,28.97
1600,66.34
800,62.78
400,56.74
200,25.57
100,29.77
800,62.51
1600,67.38
400,59.35
100,15.06
1600,66.81
200,34.60
800,63.59
100,15.95
200,33.48
400,58.38
1600,65.98
200,53.13
100,14.30
800,64.34
400,63.03
1600,65.64
800,63.80
400,55.27
100,33.37
200,47.13
1600,66.49
400,56.22
800,62.87
100,10.80
200,39.40
800,61.49
400,59.14
1600,67.15
100,18.68
200,28.45
1600,66.76
800,64.29
400,57.20
100,16.36
200,12.62
1600,66.61
400,57.83
800,62.23
200,29.44
100,13.23
1600,67.52
800,62.83
200,47.94
400,50.28
1600,65.95
100,23.36
800,59.82
200,41.99
400,53.80
100,16.20
800,65.33
100,10.95
1600,66.52
400,56.05
200,47.59
1600,67.30
800,63.11
400,57.06
200,27.36
100,12.01
1600,65.37
800,63.27
400,44.29
200,38.54
100,24.43
800,62.39
400,55.59
1600,65.78
100,13.48
200,22.32
1600,65.84
100,14.58
800,65.22
200,27.95
400,54.70
1600,65.90
400,55.94
200,39.86
800,62.27
100,22.31
1600,67.39
800,61.89
400,48.29
200,39.22
100,26.11
1600,67.47
800,61.69
100,12.86
400,51.25
200,37.41
800,62.02
1600,66.68
100,23.25
400,55.34
200,42.69
1600,66.59
800,64.82
100,32.39
200,37.73
400,53.77
1600,66.49
400,55.80
800,62.74
200,30.46
100,22.63
1600,67.32
800,61.53
400,56.13
100,28.01
200,44.38
1600,67.25
800,62.08
100,28.45
200,48.82
400,57.00
1600,65.82
800,63.09
200,39.93
400,57.43
100,19.90
1600,66.46
400,56.63
800,63.91
200,28.18
1600,68.15
100,34.11
200,21.20
800,63.20
100,10.59
400,55.44
1600,66.92
800,63.87
200,34.92
100,26.34
400,52.08
1600,66.88
200,37.20
100,17.67
800,61.56
400,46.70
1600,66.35
800,64.50
200,25.57
100,26.00
400,59.25
800,60.84
1600,67.60
400,55.82
100,11.54
200,36.09
