Date/Time, 2020-07-16_21:09
200,57.00
1600,67.56
400,62.01
100,49.27
400,61.57
800,66.71
800,65.29
100,43.77
1600,67.57
200,56.80
100,45.79
1600,67.35
200,55.95
400,62.71
800,66.11
400,63.86
200,56.29
1600,68.16
100,45.77
800,66.25
400,63.78
100,47.10
800,65.44
200,58.65
1600,68.09
100,46.95
400,62.68
200,58.49
1600,68.38
800,66.03
100,39.47
200,57.39
400,64.30
1600,68.56
100,35.26
800,64.62
200,55.67
800,66.24
1600,68.03
400,62.50
100,47.57
400,63.12
100,50.03
800,65.77
200,56.68
400,61.24
1600,67.62
200,53.25
800,64.76
1600,69.30
200,56.98
400,61.14
100,50.19
400,62.74
200,53.24
100,50.51
800,65.78
1600,67.99
800,65.73
1600,68.00
200,56.23
100,41.59
200,54.11
800,64.94
400,62.06
1600,67.59
100,49.91
400,62.67
1600,68.38
800,64.97
400,60.64
200,55.42
100,44.46
800,66.23
1600,68.43
200,60.70
100,47.99
800,66.17
400,63.76
100,45.07
1600,68.58
200,56.00
400,61.88
1600,67.33
800,65.53
100,41.76
400,61.37
200,59.84
200,58.30
1600,67.85
800,65.29
100,47.10
800,64.38
400,60.40
1600,68.74
800,65.85
400,62.54
100,47.79
200,58.54
1600,68.68
100,48.29
1600,68.76
200,55.77
400,61.50
800,64.57
200,57.40
100,47.17
400,62.75
800,65.60
200,56.33
1600,67.74
400,62.90
100,41.24
800,65.95
100,50.51
1600,68.13
400,63.78
200,57.42
800,64.95
1600,68.65
100,48.47
200,53.15
800,65.15
400,60.28
1600,68.56
200,58.48
100,47.02
400,61.97
800,66.10
200,55.36
800,66.80
1600,68.56
100,46.15
1600,68.34
400,62.82
100,38.17
400,63.87
200,54.06
800,65.71
400,63.95
200,58.37
1600,68.60
800,66.01
100,38.83
1600,68.21
100,49.54
800,65.86
200,56.11
400,63.43
1600,68.73
100,50.71
800,65.41
200,52.44
200,57.68
400,62.17
400,61.54
1600,67.87
100,40.13
800,64.51
1600,68.03
100,48.42
200,58.54
400,60.67
1600,68.05
400,61.52
200,57.34
800,66.40
100,43.23
800,65.96
100,47.12
200,57.65
200,58.17
1600,68.16
800,64.03
400,62.29
1600,68.13
1600,67.49
100,46.27
400,64.19
800,66.28
100,50.44
100,44.81
200,54.75
200,54.31
800,65.45
1600,67.79
400,62.83
400,63.62
1600,68.42
800,65.65
200,56.42
400,61.51
100,42.60
1600,67.89
800,66.16
100,52.76
400,63.16
200,57.91
800,64.10
1600,68.24
1600,68.23
100,42.01
400,63.62
100,37.51
800,64.69
200,59.07
400,61.52
800,66.20
200,53.37
200,60.48
1600,68.84
400,62.30
