Date/Time, 2021-03-22_23:01
100,54.15
200,58.11
1600,59.31
400,58.53
100,56.33
200,57.68
800,58.98
400,58.85
1600,59.19
800,59.18
800,59.25
100,52.97
400,58.85
200,57.69
1600,59.32
200,58.11
800,59.20
100,50.69
400,58.73
1600,59.27
100,54.61
400,58.56
200,58.07
800,59.27
1600,59.27
200,58.06
100,53.93
400,58.90
800,59.15
1600,59.32
100,57.15
200,58.40
1600,58.99
800,59.20
400,58.89
200,58.18
800,58.87
100,54.77
400,59.20
1600,58.88
100,57.96
200,57.47
800,59.01
400,58.69
1600,59.11
400,59.06
800,59.20
200,59.07
100,57.07
1600,59.08
100,57.42
200,58.13
400,58.79
1600,59.24
800,59.21
200,52.40
100,57.49
1600,59.21
400,57.98
800,59.29
200,58.50
400,58.40
100,58.05
800,58.93
100,54.43
200,57.97
1600,59.07
400,58.53
800,58.95
1600,59.33
100,55.41
800,59.13
200,58.30
400,58.83
1600,59.04
100,52.57
200,58.40
400,58.68
800,58.77
100,57.45
200,57.66
400,58.78
1600,59.37
800,58.65
1600,59.32
100,56.10
200,58.81
400,59.24
800,59.32
400,58.62
100,56.11
200,58.00
1600,59.45
800,58.83
100,56.56
1600,59.41
400,54.37
200,57.95
800,59.22
200,58.10
1600,59.36
100,55.17
400,58.64
1600,59.33
800,59.17
200,58.90
100,51.08
400,58.29
1600,59.30
100,56.85
800,58.88
200,58.29
400,58.57
800,59.15
100,56.65
400,59.04
1600,59.28
200,55.29
800,58.84
200,55.09
100,57.45
1600,59.36
400,58.81
1600,58.92
100,54.35
800,59.37
400,58.69
200,58.47
800,58.82
1600,59.11
200,57.87
400,58.96
100,51.58
100,55.42
1600,59.12
800,59.26
200,57.65
800,59.18
1600,59.42
400,58.61
200,59.16
400,58.68
100,55.75
1600,59.26
100,55.09
800,58.57
200,58.01
400,58.94
800,58.95
200,58.22
1600,59.39
400,59.17
100,56.51
100,56.44
800,58.98
1600,59.33
200,55.72
400,57.87
800,58.62
200,58.17
100,58.19
1600,59.40
800,58.67
400,59.11
200,57.97
1600,59.28
100,57.68
400,58.55
800,59.19
100,53.75
200,59.05
1600,59.36
800,59.31
400,58.80
1600,59.27
100,57.06
400,58.95
200,56.43
800,58.97
100,57.46
1600,59.41
200,57.26
100,54.69
200,55.63
400,59.02
1600,58.70
800,58.95
400,59.01
800,58.88
1600,59.38
100,56.71
400,58.69
200,57.38
800,58.99
1600,59.44
100,58.35
400,58.06
200,58.52
1600,59.14
800,58.72
100,57.15
200,58.66
400,58.93
200,59.16
100,54.74
1600,59.22
800,58.43
400,58.31
800,59.05
1600,59.29
200,55.70
100,56.44
400,58.83
800,58.85
100,57.15
200,58.57
400,58.76
1600,59.35
800,59.14
1600,58.75
100,56.61
200,58.95
400,59.14
800,59.30
400,57.64
800,58.68
1600,59.28
200,58.41
100,57.96
1600,59.26
100,57.93
400,58.44
200,58.94
1600,59.15
800,58.80
400,58.63
100,57.27
200,57.96
800,59.30
1600,59.31
100,52.15
200,57.73
400,59.00
800,59.12
200,58.01
100,57.36
1600,58.97
400,58.56
800,58.96
1600,59.04
200,58.12
100,52.35
400,58.27
800,59.23
200,58.30
1600,59.34
400,58.61
100,52.56
800,58.81
200,56.89
1600,59.38
100,48.32
400,58.62
800,59.07
100,54.61
200,57.64
1600,59.17
400,58.36
800,58.70
1600,59.18
200,57.84
100,54.36
400,58.44
100,57.39
1600,59.00
800,59.19
200,58.94
1600,59.25
400,58.57
800,59.38
100,57.36
400,59.21
200,59.00
800,59.29
1600,59.22
100,56.93
400,58.39
200,58.72
100,56.78
1600,59.46
800,58.95
200,58.77
800,58.82
400,59.12
1600,59.43
100,50.14
200,57.48
1600,59.33
400,58.71
400,58.34
800,59.16
200,57.50
100,51.36
800,59.41
200,53.46
100,58.48
1600,59.40
100,58.41
400,59.09
200,59.14
800,59.09
400,58.71
1600,59.48
800,58.40
1600,59.33
200,58.40
100,54.27
400,58.33
800,59.41
1600,59.36
200,57.18
100,58.51
400,59.10
800,58.72
1600,59.22
100,57.80
400,59.08
200,58.11
800,59.22
1600,58.96
100,54.15
200,58.55
1600,59.35
400,58.65
800,58.96
400,58.56
100,58.47
200,56.67
800,58.32
1600,59.26
200,58.35
100,57.61
400,58.36
800,59.30
100,52.39
1600,58.88
1600,59.37
800,59.26
200,58.51
400,57.97
100,52.85
200,58.53
800,58.74
100,56.34
1600,59.41
400,58.82
200,58.33
400,59.08
100,48.33
800,58.97
1600,59.36
200,59.21
800,59.28
400,58.17
100,58.06
1600,59.06
200,57.01
100,58.82
400,58.78
800,59.21
200,54.43
1600,58.68
400,56.97
1600,59.29
800,59.23
100,56.65
100,57.76
200,55.99
400,58.46
800,59.19
1600,59.20
200,57.96
400,58.86
800,59.18
100,58.03
1600,59.49
200,58.32
800,58.67
400,58.39
100,54.61
1600,59.41
200,57.68
400,58.34
800,59.31
1600,59.41
400,58.86
200,58.02
800,58.99
100,58.22
400,58.14
200,58.10
1600,59.41
100,56.33
1600,59.22
800,59.22
100,55.72
400,58.79
200,57.36
800,59.08
100,57.17
1600,59.34
400,58.25
200,59.08
800,59.33
100,56.97
1600,59.48
200,57.72
800,59.16
400,58.59
1600,59.21
100,53.67
200,58.59
400,58.82
100,57.23
1600,59.37
800,59.10
200,58.75
200,55.29
800,58.76
100,55.40
1600,59.43
400,58.63
400,58.80
800,59.27
1600,59.33
400,57.48
200,58.45
800,58.94
100,58.84
100,53.97
1600,59.01
200,59.05
400,58.56
800,59.27
1600,59.39
100,57.05
1600,59.29
200,57.28
800,58.71
400,58.65
400,59.09
100,57.66
200,56.64
800,59.02
1600,59.28
100,58.19
200,57.07
200,58.79
100,58.30
800,58.75
1600,59.35
800,59.18
400,58.76
400,59.20
1600,59.31
100,57.97
200,58.63
400,58.92
800,59.09
100,53.72
1600,59.39
200,53.04
100,58.11
400,58.58
1600,59.44
800,58.86
200,58.65
400,58.65
800,59.08
1600,59.39
100,54.51
400,58.82
200,58.06
1600,59.35
800,59.01
100,54.17
200,58.42
800,58.79
400,59.27
200,58.61
100,55.37
1600,59.18
800,58.97
100,55.87
400,58.97
1600,59.03
200,58.29
400,58.66
800,58.96
1600,59.49
