Date/Time, 2020-07-16_21:02
800,52.80
100,43.31
100,45.69
200,45.36
400,49.47
400,50.36
200,45.15
800,51.92
100,44.30
200,45.48
1600,56.83
1600,55.85
400,50.73
800,52.40
400,50.91
800,53.02
100,44.82
1600,55.63
400,50.14
200,49.38
200,47.38
800,52.34
100,42.22
1600,55.98
1600,54.99
100,43.83
1600,55.37
100,39.89
400,49.71
800,53.17
100,43.75
200,47.31
400,49.64
200,46.96
1600,55.40
800,51.41
200,47.96
400,51.80
200,46.82
400,50.84
800,53.29
400,50.15
100,44.55
1600,55.80
200,47.12
800,53.67
100,44.02
1600,55.01
800,53.03
1600,55.49
800,52.45
1600,55.78
100,42.70
400,51.37
200,47.32
800,52.77
100,46.13
400,51.18
1600,54.83
200,46.24
100,45.15
200,45.56
100,42.87
200,46.25
400,50.22
800,53.24
400,51.04
100,43.90
1600,54.93
200,45.09
800,53.70
1600,56.06
400,48.83
800,52.28
400,49.59
800,52.66
1600,55.60
100,42.20
200,45.53
400,48.95
800,53.24
100,41.24
200,45.76
1600,55.16
1600,54.88
100,42.62
1600,55.07
100,44.20
200,48.05
400,48.91
200,47.45
800,52.87
400,50.40
1600,55.30
100,40.92
400,48.26
200,46.30
800,53.53
100,42.90
400,50.09
800,52.51
1600,56.23
800,52.23
1600,55.73
200,45.18
800,52.52
100,41.57
200,47.83
1600,55.08
400,48.67
100,43.48
200,46.91
100,43.56
200,45.31
400,50.73
800,53.37
1600,56.02
200,44.74
800,53.20
100,41.20
400,50.40
1600,55.44
400,50.21
800,52.97
400,51.16
800,53.30
1600,55.53
100,43.73
200,46.98
400,50.10
100,43.61
800,52.35
200,47.00
1600,54.85
1600,55.45
100,40.67
1600,56.02
100,45.62
200,46.04
400,48.70
800,53.19
200,48.31
100,41.38
1600,56.79
800,52.27
400,50.62
200,47.12
400,50.12
200,46.98
400,50.37
800,52.43
1600,55.44
100,42.77
200,46.47
400,49.23
800,52.81
1600,55.33
100,40.86
800,52.23
1600,55.27
800,52.57
1600,55.75
100,43.14
200,47.68
400,49.12
800,52.82
100,43.14
1600,55.90
200,46.01
400,49.28
100,42.70
200,46.43
200,45.35
100,46.14
400,48.72
800,54.02
1600,56.28
100,43.33
400,50.23
800,53.74
200,47.03
1600,55.32
800,53.34
400,50.92
400,48.61
800,52.89
1600,54.87
100,45.09
200,45.96
400,49.23
100,44.66
1600,55.08
800,52.02
100,43.60
1600,55.94
200,45.79
100,42.16
200,47.32
200,48.60
400,50.65
200,43.72
400,48.71
800,52.29
1600,55.27
400,49.63
100,42.63
800,52.87
1600,55.52
100,42.95
200,45.50
800,54.15
800,52.72
1600,54.82
400,49.50
1600,55.40
800,53.21
100,43.60
1600,55.51
400,50.52
200,47.02
200,48.32
400,50.92
100,46.48
200,48.55
100,45.12
800,52.43
1600,55.15
100,43.99
200,47.27
400,50.38
800,51.71
1600,54.87
400,50.66
800,53.07
800,53.93
400,48.75
1600,55.48
100,43.33
200,44.80
400,50.29
100,43.76
800,53.43
1600,55.40
200,45.86
1600,55.48
100,42.44
1600,55.62
100,42.51
200,47.40
400,48.19
800,52.66
1600,56.21
100,44.16
200,45.49
400,49.70
800,52.78
200,47.44
400,49.63
200,46.31
400,50.27
800,52.31
1600,55.55
200,46.71
100,44.76
800,53.02
400,50.64
100,42.57
1600,55.92
800,52.86
400,50.66
1600,56.14
800,52.14
100,40.26
1600,55.36
200,45.98
800,53.28
100,44.22
1600,54.28
400,51.56
200,47.09
200,46.61
800,52.31
100,45.06
100,41.80
200,46.92
400,49.14
1600,55.09
100,44.62
200,48.38
400,50.45
800,52.44
1600,55.92
800,53.21
1600,55.40
400,50.47
400,49.37
800,52.67
100,40.79
400,50.98
200,45.38
100,44.31
800,52.82
1600,55.57
100,39.56
200,47.22
200,46.34
100,45.52
1600,55.07
100,41.85
400,48.98
800,52.86
1600,55.39
200,47.38
200,47.37
400,49.77
800,52.14
1600,55.70
800,52.53
400,49.56
400,49.42
400,49.89
1600,54.83
800,52.96
100,45.06
200,47.07
800,52.16
100,42.39
1600,55.41
200,48.73
100,38.35
400,48.54
1600,55.17
1600,55.81
200,46.95
100,43.22
1600,54.72
800,53.47
100,42.77
400,49.24
400,49.75
200,46.05
800,51.51
1600,55.91
200,48.32
1600,54.15
400,50.36
800,53.18
100,46.26
200,47.57
1600,54.73
400,48.92
800,53.34
100,40.62
200,47.51
100,41.98
1600,56.25
800,52.40
1600,54.78
200,47.88
400,50.41
800,52.92
100,46.09
100,42.42
200,46.14
400,50.04
800,54.16
400,49.15
200,42.44
200,48.84
200,47.98
800,52.13
400,49.39
100,44.64
1600,54.69
400,50.33
800,52.97
1600,55.69
100,44.99
1600,55.46
200,48.08
800,53.19
800,53.24
100,45.08
1600,55.96
400,49.98
800,53.64
1600,55.04
100,43.63
200,45.24
400,49.37
200,46.17
800,51.90
100,46.43
100,41.26
200,46.09
400,50.05
100,43.52
1600,55.16
200,46.59
400,51.27
800,52.82
800,51.58
1600,55.19
1600,55.23
400,49.78
100,43.15
800,53.13
100,44.23
400,49.99
200,45.72
800,51.99
100,44.28
1600,55.85
200,48.71
400,51.43
200,47.74
200,49.04
1600,55.90
100,43.49
400,50.91
800,53.38
1600,55.47
200,45.53
100,43.19
400,50.53
800,53.39
1600,54.88
800,52.64
400,50.26
400,50.28
400,49.56
1600,55.54
800,52.44
100,43.07
200,45.79
800,52.84
1600,55.87
100,41.16
200,44.38
100,44.50
400,49.78
1600,55.06
400,49.20
200,47.53
100,41.79
800,52.79
1600,55.14
100,38.95
400,50.67
200,46.27
800,54.50
1600,55.73
1600,54.85
800,51.92
200,45.46
800,53.43
400,49.66
100,42.64
200,47.76
800,52.68
400,49.38
1600,55.62
200,47.01
100,44.67
200,44.98
1600,56.33
1600,55.26
1600,55.48
100,41.59
100,44.27
400,49.65
800,52.76
100,46.64
200,44.89
400,47.62
800,53.45
400,50.69
1600,55.80
200,45.63
200,46.65
800,53.52
400,50.17
100,43.94
200,48.54
400,49.63
800,53.37
1600,55.55
100,44.03
1600,54.98
200,47.44
800,52.43
800,53.69
100,44.21
1600,56.48
1600,55.45
800,53.55
400,50.66
200,45.04
100,41.51
400,48.87
