Date/Time, 2020-07-17_12:47
1600,69.21
1600,68.61
800,66.29
800,66.95
400,63.05
400,63.25
200,59.80
200,60.22
100,56.46
1600,68.61
800,66.40
400,62.79
100,57.03
200,58.37
400,63.72
1600,68.86
100,57.67
800,65.72
200,61.54
400,64.21
800,66.28
100,56.84
1600,68.74
200,62.11
100,52.08
800,66.99
1600,68.90
400,64.54
200,61.92
800,65.35
400,64.90
1600,68.67
100,57.83
200,61.48
800,67.17
100,57.16
400,63.55
1600,68.67
200,59.77
100,54.20
1600,68.21
800,66.59
400,63.59
200,58.95
800,65.60
100,57.30
400,64.21
1600,68.45
200,60.02
100,57.70
