Date/Time, 2020-07-17_00:07
200,60.04
100,58.72
100,58.73
1600,67.88
1600,66.52
400,63.76
100,60.14
200,60.25
200,59.62
800,65.08
800,66.75
400,63.04
200,62.32
800,65.06
800,66.06
1600,67.54
400,62.62
400,64.87
1600,67.50
400,63.12
200,63.33
800,65.86
100,56.73
100,58.88
400,64.71
200,61.46
1600,67.19
100,60.61
200,61.43
1600,67.34
1600,67.56
800,66.39
100,56.47
100,59.15
400,65.24
800,65.11
1600,65.76
400,63.85
400,64.32
800,65.87
200,60.77
100,61.02
800,64.65
200,60.30
200,59.63
400,64.27
1600,67.68
100,58.16
800,65.46
100,59.53
1600,67.11
800,64.95
800,65.00
200,59.80
400,63.84
1600,67.40
200,58.65
1600,67.04
100,57.33
400,62.71
400,61.58
400,62.72
200,60.41
800,65.79
1600,67.62
100,58.02
100,60.18
200,61.14
200,59.39
800,65.61
1600,67.92
100,60.01
200,62.72
400,64.24
400,63.40
1600,67.26
800,65.24
1600,67.50
400,62.96
100,56.46
800,65.59
200,60.69
800,65.39
100,56.65
1600,67.21
800,64.65
100,54.60
100,57.43
200,63.89
100,58.23
400,64.06
1600,67.35
800,65.90
200,60.78
400,63.94
200,62.06
1600,67.61
1600,67.30
800,65.59
100,55.50
400,64.02
200,62.35
200,61.40
1600,67.82
800,66.02
800,65.68
400,63.47
100,54.55
200,61.58
400,64.17
100,56.50
800,64.89
1600,67.56
100,59.89
400,64.94
1600,67.50
100,59.99
800,65.56
400,62.48
200,59.02
1600,67.42
200,61.39
200,60.55
400,63.25
1600,67.37
800,65.42
1600,67.87
400,63.40
200,62.53
800,65.49
100,59.19
400,64.46
800,66.37
100,58.52
100,57.64
1600,67.81
400,65.44
200,59.65
1600,68.06
400,63.26
800,65.63
1600,67.54
100,55.59
200,61.18
200,63.27
800,64.37
200,62.69
800,65.63
100,58.12
1600,67.54
400,64.08
800,65.34
200,63.34
100,58.71
400,64.20
100,57.81
400,63.63
1600,67.16
800,64.91
400,64.26
1600,66.54
800,65.92
200,61.57
200,61.83
1600,67.11
1600,67.45
800,65.91
100,57.22
400,63.64
1600,67.56
100,61.17
800,65.45
200,60.68
200,62.35
100,55.63
400,64.17
100,59.47
1600,66.94
400,62.78
400,63.89
800,66.23
200,60.52
400,63.21
800,66.15
800,65.87
100,59.44
1600,66.77
100,59.15
200,60.22
400,63.39
1600,66.36
800,65.89
800,65.85
200,61.11
1600,67.96
1600,67.41
400,62.91
200,62.88
400,63.74
100,54.30
100,59.16
100,60.71
200,61.24
800,64.74
100,58.11
800,66.26
1600,67.28
1600,67.06
200,61.96
400,63.18
100,58.30
200,61.79
100,58.51
400,62.99
1600,67.36
800,65.25
200,61.96
400,63.62
200,63.05
100,58.98
1600,67.33
800,66.26
400,64.86
800,65.53
800,65.84
100,56.92
1600,67.04
1600,67.21
200,61.51
400,62.92
100,60.60
1600,67.77
200,60.91
200,62.00
400,64.13
800,65.46
400,65.08
200,62.76
1600,67.03
