Date/Time, 2020-07-17_00:14
100,62.96
100,62.48
200,65.76
1600,70.24
400,64.94
1600,69.78
200,62.32
800,68.19
800,68.83
400,65.92
100,63.56
200,64.71
100,63.62
400,66.54
200,64.28
800,68.25
1600,70.26
400,66.87
100,65.45
200,64.53
1600,69.85
800,68.14
400,66.97
1600,70.04
200,63.39
1600,70.07
800,68.21
100,64.30
200,64.72
400,67.38
800,68.78
100,63.46
800,69.17
100,61.45
400,67.12
1600,70.15
200,63.94
400,65.70
800,69.64
400,67.25
100,64.67
1600,69.52
800,68.45
200,65.27
1600,69.16
400,67.61
100,62.54
800,67.76
200,65.51
100,60.78
1600,70.32
200,64.18
400,67.15
100,62.53
800,68.40
1600,70.13
1600,70.45
200,60.90
400,67.10
800,68.87
800,69.19
200,63.86
400,66.60
100,64.11
200,66.60
100,60.05
1600,70.71
1600,69.92
400,66.68
1600,69.53
800,69.26
100,60.10
100,62.16
800,69.35
200,64.70
400,67.37
200,65.50
1600,70.07
400,66.93
800,69.07
200,63.41
800,68.67
100,61.44
400,66.89
400,66.30
1600,70.00
100,61.87
200,64.32
200,64.03
800,68.43
800,67.12
1600,70.57
100,58.06
400,67.42
800,68.44
1600,70.74
1600,70.81
100,63.78
200,64.73
400,66.66
1600,70.57
100,60.18
200,63.52
400,66.93
200,66.48
800,68.65
100,60.57
100,63.55
400,68.75
800,68.91
1600,69.28
1600,70.52
200,65.49
400,67.56
800,69.13
400,65.46
100,61.68
100,62.41
200,64.65
800,67.86
1600,70.69
100,59.97
200,59.49
400,66.56
400,67.45
800,68.93
1600,69.93
200,65.69
200,65.60
800,68.51
1600,71.24
100,58.63
400,66.64
400,66.83
800,69.85
100,58.03
200,62.44
1600,70.92
800,69.00
100,57.15
800,68.18
1600,69.74
100,63.26
200,66.64
400,66.94
1600,70.21
200,66.84
800,68.02
1600,70.54
400,67.52
200,66.41
400,67.44
100,63.19
800,68.35
400,67.25
800,69.07
1600,69.79
100,60.60
200,65.26
1600,69.08
200,64.96
800,68.43
400,65.29
100,64.46
1600,70.60
100,62.31
100,59.42
200,66.75
200,64.72
400,66.46
800,68.62
1600,71.05
200,63.20
400,67.70
800,68.38
400,66.51
1600,70.30
100,63.07
1600,70.11
800,68.15
100,64.99
800,68.98
200,58.56
400,66.20
800,68.86
200,61.50
1600,69.87
100,61.28
200,64.01
400,67.89
1600,70.38
1600,70.19
100,63.28
400,67.69
800,68.29
100,63.21
200,66.43
200,63.41
400,65.71
100,58.74
800,69.26
1600,70.29
100,61.35
400,67.74
800,68.10
200,66.66
1600,70.43
1600,70.76
400,67.66
800,69.33
100,59.09
100,59.26
200,65.84
400,67.02
400,67.22
800,68.61
1600,70.43
200,64.03
100,59.23
1600,70.51
800,68.78
1600,69.71
400,67.95
200,63.95
800,69.29
800,68.39
100,62.80
1600,70.36
200,64.19
400,66.90
100,64.71
100,63.66
200,64.53
800,69.53
400,66.99
800,69.09
1600,70.21
400,65.97
200,64.90
1600,70.55
100,62.62
800,68.60
400,65.97
200,64.79
400,65.04
1600,70.42
100,63.40
1600,69.69
