Date/Time, 2020-07-20_11:47
400,61.52
100,54.52
1600,67.91
200,56.66
100,54.71
1600,68.67
200,57.82
800,65.99
800,64.62
400,60.77
100,56.00
200,56.44
800,65.10
400,61.22
100,55.23
1600,68.23
400,61.65
200,59.39
800,64.82
1600,68.35
100,52.78
800,65.77
200,58.33
200,59.80
400,62.47
1600,68.29
100,54.85
400,62.30
800,65.52
1600,68.19
100,54.65
200,58.12
100,51.79
400,61.95
400,62.83
1600,67.88
800,64.38
200,58.34
800,65.72
1600,67.84
100,55.59
400,62.17
200,57.57
1600,67.58
800,65.48
100,54.69
400,61.92
200,57.42
1600,67.88
800,64.56
100,53.24
200,57.13
400,62.03
100,56.50
1600,67.76
200,56.53
1600,68.31
800,65.12
400,61.79
800,65.21
100,55.25
200,56.47
400,61.24
800,65.93
1600,68.27
100,54.21
200,55.77
400,61.78
800,65.90
1600,68.27
200,57.94
100,55.33
800,65.08
400,60.95
1600,67.82
200,58.37
100,51.63
400,61.50
800,66.09
1600,67.84
100,52.06
200,56.51
400,61.54
100,52.05
1600,67.30
800,65.46
800,64.72
200,59.95
400,61.62
200,56.88
100,50.89
1600,68.24
400,61.53
100,54.79
800,65.93
200,57.96
400,61.57
1600,68.26
800,65.32
1600,68.26
200,57.03
100,53.23
800,65.20
400,61.70
200,58.87
1600,67.94
100,52.48
400,61.86
800,65.31
200,57.97
100,55.85
1600,68.24
400,62.53
400,61.47
1600,68.22
100,52.21
800,65.76
200,57.63
800,65.13
100,54.55
1600,67.90
200,55.70
400,61.50
100,54.93
1600,68.22
800,65.47
200,57.86
1600,68.05
400,61.12
800,65.18
100,53.42
200,57.84
400,62.23
200,56.95
1600,68.27
800,66.02
100,51.52
400,61.72
1600,68.54
800,65.99
100,51.77
200,58.87
800,65.16
400,62.58
1600,68.22
100,54.15
400,61.43
200,58.14
800,64.77
200,58.11
1600,68.22
100,54.73
400,61.72
800,65.33
400,62.00
1600,67.68
100,52.01
200,58.81
200,58.82
800,64.60
100,54.63
1600,67.68
400,61.41
800,65.70
100,52.95
1600,68.36
400,60.73
200,57.14
800,64.89
100,52.37
1600,68.23
200,58.71
400,61.11
800,65.93
1600,68.40
100,54.64
200,58.69
400,62.10
800,65.93
1600,67.74
100,56.09
200,56.72
100,55.43
400,61.15
800,66.17
1600,67.33
200,56.46
400,61.80
800,65.35
1600,67.93
200,56.94
800,65.77
100,54.12
400,61.43
1600,67.81
100,56.13
200,58.97
800,65.61
400,61.96
400,61.67
1600,67.81
200,58.76
100,52.17
800,64.92
1600,68.20
100,51.16
200,56.12
400,60.40
800,66.09
400,61.95
100,53.62
200,57.67
1600,68.25
1600,67.73
800,65.60
100,54.14
400,61.59
200,58.32
800,65.47
1600,67.88
100,55.45
200,58.52
400,62.52
1600,68.06
800,64.94
100,54.06
400,61.30
200,57.65
800,64.90
400,61.90
1600,67.41
100,56.05
200,58.50
1600,68.24
800,65.96
200,56.86
100,54.40
400,61.82
800,66.12
1600,68.28
100,53.80
200,58.25
400,60.80
800,65.32
1600,67.92
100,54.17
200,59.03
1600,68.58
400,60.47
800,65.39
100,54.31
200,57.02
800,65.27
1600,68.28
400,62.09
100,53.74
200,58.32
800,64.86
400,61.30
1600,68.27
100,54.66
200,57.90
800,66.05
400,62.69
1600,68.01
200,58.22
100,54.01
400,61.62
800,65.53
1600,68.73
100,51.89
200,57.92
400,61.71
800,65.92
1600,67.34
100,54.61
200,58.37
400,62.68
800,64.89
1600,68.13
100,54.42
200,58.70
800,65.03
400,61.03
200,60.08
100,55.11
1600,67.69
400,61.92
800,65.11
1600,68.51
100,53.64
400,61.83
200,58.98
800,65.49
100,50.47
1600,67.82
200,57.20
400,61.90
800,64.72
1600,67.64
100,50.49
800,65.83
200,59.12
400,61.39
100,54.37
1600,68.14
200,57.11
400,61.42
800,65.02
100,55.14
1600,68.33
400,61.38
200,58.07
800,64.87
1600,68.62
100,53.08
200,58.48
400,61.11
800,65.47
1600,68.17
200,57.92
400,61.54
100,56.31
800,64.92
1600,68.01
100,54.05
400,61.56
200,59.14
800,65.09
1600,68.16
200,58.91
100,49.49
400,61.01
800,65.49
1600,67.44
100,54.58
200,56.58
400,61.66
1600,68.04
800,64.35
200,58.86
100,53.84
400,61.66
800,65.37
1600,68.94
200,59.24
100,53.83
400,61.00
1600,67.20
800,65.53
200,58.06
100,51.50
400,62.63
800,65.29
1600,68.20
400,62.08
800,65.69
100,52.86
200,59.42
1600,68.32
200,57.60
400,62.37
100,52.40
800,66.01
1600,67.89
100,54.71
200,59.26
400,60.94
800,64.90
1600,67.04
100,55.10
200,53.90
400,61.91
800,65.63
1600,68.04
400,61.55
100,55.11
200,57.47
800,65.72
100,55.90
1600,67.74
200,58.23
400,61.72
800,65.75
1600,67.85
400,61.72
100,56.94
200,57.36
800,65.29
400,61.99
200,58.37
1600,68.30
100,55.95
1600,68.24
800,64.18
200,57.66
100,54.71
800,64.47
400,62.74
1600,67.70
100,53.32
200,57.97
400,60.95
800,65.51
200,56.80
100,53.21
1600,67.82
800,65.22
400,61.72
100,53.43
200,59.18
1600,68.24
800,65.79
400,62.91
100,55.05
1600,68.18
200,58.59
400,62.55
800,65.31
100,52.71
1600,67.79
1600,67.53
200,60.53
400,62.40
800,65.62
100,55.13
200,57.74
400,62.60
800,65.19
1600,68.00
200,55.68
800,65.40
400,62.02
100,55.35
1600,68.12
100,54.86
200,57.22
400,60.73
800,65.59
1600,68.06
100,52.76
400,61.41
200,59.28
1600,67.46
800,66.07
100,50.19
400,61.23
200,57.63
800,66.39
100,52.25
1600,68.48
200,58.06
1600,67.71
400,61.48
800,65.33
100,55.06
200,59.49
400,61.53
800,64.77
1600,67.90
100,56.50
200,57.55
400,62.35
1600,68.12
800,65.14
100,53.31
200,56.44
400,60.80
800,65.79
100,55.47
1600,68.04
200,56.89
400,60.36
800,65.74
1600,68.14
100,53.60
400,61.54
200,56.86
800,65.93
200,59.64
1600,68.70
100,53.09
400,61.85
800,65.76
100,54.39
1600,68.30
200,58.65
400,61.61
800,65.51
1600,67.91
200,58.73
100,55.31
400,62.51
800,65.80
1600,67.74
200,56.39
100,52.60
400,61.70
800,66.10
1600,68.70
