Date/Time, 2020-07-16_23:22
200,18.53
100,20.55
200,18.60
1600,13.60
100,14.16
1600,13.62
400,17.99
800,23.35
800,20.69
400,19.17
400,17.32
800,22.61
200,12.33
100,10.81
1600,16.07
100,14.83
400,18.51
200,25.02
800,20.91
1600,13.68
100,17.30
800,20.59
400,23.40
200,18.89
200,18.02
100,15.94
1600,14.30
400,21.86
100,10.39
800,19.76
1600,14.92
200,21.36
400,20.28
800,22.75
1600,15.55
400,21.71
100,15.85
200,12.38
100,19.02
400,18.63
800,23.67
1600,16.06
200,12.92
1600,16.02
800,20.95
100,17.36
400,21.36
800,22.00
200,15.95
1600,16.39
