Date/Time, 2020-07-17_12:35
100,61.90
200,62.07
1600,65.93
1600,65.12
400,60.44
400,61.77
200,64.47
100,61.59
800,61.25
800,62.90
100,59.66
200,61.67
200,60.34
100,56.20
800,63.97
400,61.66
100,64.58
800,66.81
200,64.83
400,61.35
1600,65.05
1600,65.97
400,64.62
800,63.74
100,63.22
1600,65.66
400,63.70
800,64.46
1600,65.82
200,61.38
400,64.14
800,66.85
100,61.28
200,59.58
100,61.48
200,61.82
100,59.01
1600,66.99
400,63.63
200,64.44
1600,66.68
800,66.14
400,62.71
800,65.95
1600,64.91
100,63.77
1600,64.88
100,58.90
800,64.75
400,65.97
200,62.84
1600,66.36
100,53.67
400,65.64
200,63.70
800,63.22
200,56.42
400,61.95
800,64.65
1600,66.86
400,64.57
200,60.88
100,63.23
800,66.14
100,59.61
1600,66.29
200,62.94
400,63.77
200,63.16
400,63.28
800,64.31
200,63.03
1600,65.01
100,56.19
800,66.80
1600,65.95
400,63.24
100,52.77
800,64.86
1600,65.70
800,64.01
1600,64.64
100,58.52
800,64.16
1600,65.54
200,61.21
400,62.99
200,60.31
100,60.59
400,64.40
100,54.35
200,60.82
400,65.60
1600,67.36
200,62.03
800,64.27
100,62.14
400,62.82
800,63.16
1600,64.84
200,60.81
100,60.50
100,57.71
200,61.72
400,65.03
1600,64.28
1600,66.24
800,63.69
800,64.21
400,64.45
200,61.15
100,55.84
800,63.82
400,64.11
400,65.71
800,63.49
1600,65.99
1600,64.75
100,60.62
200,54.04
100,60.07
800,64.36
200,62.63
400,63.43
1600,66.69
100,54.65
200,62.21
400,63.38
800,63.16
1600,66.52
100,53.11
200,63.05
400,65.06
800,63.72
1600,65.47
100,55.26
1600,64.15
100,58.49
800,63.77
200,60.73
400,64.05
800,65.48
1600,63.45
200,61.20
400,65.56
100,57.86
200,64.14
400,64.83
200,62.83
400,62.80
800,62.45
1600,64.88
200,63.20
100,60.21
400,63.07
1600,65.60
800,65.34
100,59.09
800,66.99
1600,65.07
100,61.61
400,61.10
800,64.28
200,62.07
100,59.96
200,63.73
1600,66.06
400,63.18
800,61.35
1600,65.90
800,65.22
1600,65.84
100,52.68
200,62.60
1600,67.44
400,61.56
100,61.59
800,63.84
200,60.03
400,64.56
200,57.41
400,66.01
100,65.25
100,62.80
800,65.18
200,61.09
100,62.18
400,64.11
800,65.55
1600,63.74
1600,65.54
200,59.64
200,61.72
400,65.87
200,63.98
1600,66.41
400,62.57
100,63.08
800,61.83
1600,67.24
800,63.73
100,54.58
400,64.85
1600,64.56
800,64.21
400,65.04
800,66.22
100,56.74
200,62.86
1600,66.09
400,65.32
800,62.68
100,51.80
200,60.72
100,56.22
200,62.24
1600,65.36
400,63.30
800,63.76
1600,65.10
100,61.93
1600,66.00
200,58.05
400,62.65
800,66.57
100,60.70
200,61.60
200,63.07
100,61.20
400,63.17
800,64.76
1600,65.42
100,61.04
400,62.50
800,65.02
1600,65.88
200,60.86
800,66.60
400,63.46
200,62.82
1600,65.64
200,61.79
100,59.72
400,63.42
400,64.28
800,65.11
1600,66.86
100,60.69
1600,65.54
800,62.52
800,65.35
100,53.51
400,61.85
200,64.41
1600,67.89
100,60.22
800,65.45
200,62.43
400,65.96
1600,65.15
200,59.88
100,55.68
1600,67.43
200,60.45
400,62.84
800,61.68
1600,64.98
100,62.27
400,62.21
800,62.33
100,58.68
400,65.59
200,64.76
100,55.13
800,63.42
1600,66.52
100,60.63
200,61.91
200,62.74
400,64.21
800,64.50
1600,64.83
800,64.95
800,64.30
400,65.71
1600,64.16
100,63.63
200,64.12
400,60.72
1600,65.77
400,63.00
100,58.94
200,61.67
800,64.24
1600,65.89
100,53.64
800,64.33
100,53.22
200,64.16
400,63.01
800,64.11
1600,66.08
200,62.03
400,62.52
100,59.71
200,59.45
1600,65.73
400,60.99
1600,66.78
1600,65.95
800,64.80
100,61.13
200,60.41
100,63.58
400,62.88
800,65.42
800,64.64
800,65.27
200,64.74
400,62.73
1600,67.07
200,60.74
100,60.19
400,62.11
1600,65.23
200,62.29
100,59.42
400,61.70
800,63.91
100,60.58
400,64.79
1600,65.66
100,58.54
200,62.88
400,61.78
800,64.95
1600,66.13
200,57.86
1600,65.85
100,58.79
800,65.90
800,62.81
200,60.03
400,64.67
1600,65.84
800,63.83
100,53.49
1600,66.69
200,63.71
400,60.91
100,52.52
400,64.41
100,56.54
200,61.87
1600,65.43
800,65.44
400,63.90
200,61.74
800,62.39
100,59.82
1600,66.41
200,60.45
400,65.39
1600,63.43
800,64.21
200,56.26
1600,66.91
100,60.38
200,65.82
400,62.76
800,63.07
100,63.66
800,64.76
100,58.67
400,63.93
1600,65.80
200,62.88
800,64.44
400,61.36
400,64.92
1600,65.84
800,65.15
100,60.94
200,61.19
1600,65.48
1600,65.42
200,62.73
100,63.77
200,61.64
800,64.30
400,61.66
100,54.13
400,62.16
1600,65.59
800,65.81
200,61.07
100,60.23
800,63.70
400,64.74
800,66.22
1600,67.52
100,59.40
100,61.52
200,60.76
400,63.00
1600,65.38
400,61.69
400,62.81
200,60.81
800,62.85
100,59.23
1600,65.45
200,62.76
200,63.97
800,64.95
400,64.86
1600,64.98
100,57.26
800,65.49
800,65.22
100,61.91
1600,66.66
100,58.66
200,61.07
400,64.48
1600,65.84
200,63.93
400,64.27
800,66.42
100,62.07
1600,67.05
800,63.97
800,63.99
400,65.57
1600,67.52
200,62.47
1600,66.80
100,61.69
200,64.54
400,62.24
200,60.67
200,61.97
100,59.72
400,63.85
1600,64.18
800,66.28
100,56.70
100,54.50
400,61.97
800,66.68
1600,66.66
200,64.21
400,64.36
400,61.97
200,60.72
800,63.89
100,63.56
200,63.01
1600,65.42
800,63.21
1600,67.43
100,59.83
400,63.37
1600,65.83
800,65.20
400,64.61
400,64.61
100,62.96
200,62.84
800,66.86
1600,65.86
800,64.94
100,59.32
200,62.65
100,60.20
200,64.36
1600,66.84
200,58.40
400,65.27
1600,65.14
800,65.69
100,55.91
1600,64.88
400,61.58
800,65.81
100,60.27
200,60.46
400,65.96
100,60.10
400,65.20
800,65.99
1600,66.31
100,62.51
200,62.22
800,64.92
1600,66.39
400,62.70
200,63.37
800,64.43
1600,67.56
