Date/Time, 2020-07-16_21:30
1600,68.10
1600,68.65
800,66.04
400,64.15
800,66.89
400,63.24
200,61.01
100,53.22
200,58.14
100,57.44
800,66.69
100,50.56
1600,68.41
1600,68.30
400,63.51
200,58.25
800,65.73
400,63.86
100,57.51
200,63.13
1600,68.06
200,62.74
400,64.21
100,52.13
400,64.68
1600,68.32
800,66.53
100,53.74
200,60.86
800,67.69
100,57.14
1600,68.13
800,65.83
200,61.32
400,64.95
200,58.96
100,52.09
800,67.69
1600,67.72
400,64.97
800,66.42
1600,68.07
100,58.95
400,63.70
1600,68.03
400,64.30
200,59.56
800,65.60
100,58.56
200,61.03
200,58.15
1600,68.06
800,66.19
800,66.58
100,47.96
400,64.69
1600,68.28
400,64.19
200,60.74
100,49.28
100,57.04
1600,68.76
800,67.26
200,60.31
400,62.31
100,53.69
800,66.98
1600,68.74
400,63.55
200,56.51
800,66.42
1600,68.01
400,63.61
200,60.28
100,57.66
1600,68.08
100,51.40
800,67.41
200,62.08
400,63.97
1600,67.52
100,53.21
200,60.04
800,66.88
400,63.62
100,53.05
400,64.11
1600,68.42
200,64.51
800,66.14
1600,68.68
800,67.30
200,58.79
100,52.29
400,63.84
200,59.67
800,66.30
100,55.69
1600,68.94
400,63.43
1600,68.31
800,66.35
200,60.16
100,53.57
400,63.81
100,56.31
1600,68.68
800,66.95
200,61.74
400,64.45
1600,68.87
100,50.28
800,67.08
400,65.63
200,61.32
1600,68.01
100,57.42
400,64.30
200,60.10
800,66.04
1600,68.27
800,65.93
100,57.65
200,57.67
400,63.46
800,67.22
200,60.62
1600,68.09
100,56.77
400,63.55
100,52.81
1600,68.65
1600,68.36
400,65.56
200,58.52
800,66.94
200,59.84
100,53.08
800,67.06
400,62.67
1600,68.59
400,65.40
200,61.43
100,53.36
800,66.96
1600,68.33
100,54.13
200,59.49
400,63.96
800,66.36
800,66.36
1600,67.83
100,54.94
400,64.50
200,61.52
1600,68.05
100,56.65
200,60.43
400,64.10
800,65.73
1600,68.72
100,57.09
800,66.91
1600,68.57
400,64.20
200,62.43
100,52.48
400,64.72
200,58.96
800,65.80
800,66.83
1600,68.67
200,61.06
400,64.67
100,50.86
100,56.05
1600,68.10
400,65.12
200,60.59
800,67.60
1600,67.59
100,55.61
400,62.71
200,58.88
800,67.26
800,67.01
1600,67.83
400,64.98
100,58.23
200,59.82
200,60.24
800,66.81
100,51.40
1600,68.07
400,64.27
800,66.83
200,59.17
100,56.01
1600,68.28
400,63.43
1600,68.05
200,61.44
800,66.09
100,52.48
400,63.92
800,67.34
400,63.87
200,62.30
100,51.07
1600,68.47
1600,67.60
100,56.08
400,64.68
800,66.81
200,62.01
400,64.14
100,57.07
800,66.35
200,59.93
1600,68.20
100,54.69
200,60.68
1600,68.47
400,64.50
800,65.96
100,53.05
400,62.73
200,60.78
800,65.51
1600,67.47
1600,68.54
400,64.38
800,67.21
1600,68.16
200,60.96
100,57.56
200,60.57
800,67.29
100,53.43
400,64.00
1600,67.53
400,64.05
800,66.07
100,52.08
200,62.71
1600,68.71
800,66.44
100,51.98
200,62.09
400,63.86
1600,68.60
200,58.52
100,53.69
800,66.58
400,64.54
1600,68.61
400,64.66
100,54.19
800,65.92
200,60.93
1600,68.03
100,56.49
400,64.90
800,67.52
100,50.02
200,58.03
200,60.88
800,67.09
1600,69.02
400,62.98
100,55.60
200,61.04
1600,68.64
1600,67.46
800,67.29
400,63.33
100,55.96
800,66.72
200,61.19
400,64.13
800,66.96
200,59.53
100,49.46
400,63.64
1600,67.78
1600,68.89
400,64.29
100,57.49
200,63.60
800,66.69
1600,67.98
400,64.12
200,61.40
100,55.14
1600,67.80
800,67.45
400,64.11
800,65.85
200,58.00
100,51.68
1600,68.57
800,66.52
400,63.78
200,62.59
1600,68.45
100,48.32
800,65.47
400,64.33
100,52.22
200,60.07
400,64.00
100,55.52
200,59.56
800,65.74
1600,68.35
100,57.61
200,60.42
800,67.30
400,64.38
1600,68.44
100,56.50
800,65.79
1600,68.20
400,64.48
200,59.93
100,57.20
200,61.50
1600,68.15
400,64.46
800,66.57
100,44.73
400,64.05
200,62.81
1600,67.86
800,66.29
400,64.63
1600,68.34
800,65.68
200,58.55
100,49.83
800,66.79
1600,68.78
100,54.75
200,59.15
400,64.50
1600,67.74
800,65.80
100,53.79
200,60.67
400,63.58
800,66.84
1600,68.17
100,52.47
200,60.89
1600,68.61
400,65.71
100,55.54
200,62.99
800,66.46
400,65.24
1600,68.12
100,51.28
800,66.87
200,60.01
400,65.32
100,55.74
200,62.20
1600,67.15
800,66.69
400,63.41
1600,68.60
100,52.55
400,64.47
200,56.63
800,66.51
100,56.77
800,66.75
200,56.51
400,65.10
1600,68.21
100,54.86
1600,68.20
800,67.32
200,58.04
400,64.05
1600,68.22
100,56.61
800,65.66
400,64.00
200,59.56
1600,68.55
100,51.26
200,59.64
400,64.43
800,65.51
1600,67.62
400,64.94
100,47.58
200,61.63
800,65.21
200,60.15
100,53.93
800,67.62
1600,67.92
400,63.60
1600,68.35
100,52.97
200,59.27
800,66.63
400,63.94
800,66.92
100,57.29
400,65.38
200,60.57
1600,67.96
1600,67.81
100,55.66
200,59.78
800,66.38
400,64.46
100,55.12
400,64.76
1600,67.44
800,67.18
200,60.73
200,60.78
100,54.28
400,65.72
1600,68.10
800,66.55
1600,68.43
200,57.37
400,64.16
100,57.96
800,66.44
1600,67.99
400,62.78
800,66.80
100,51.07
200,61.36
800,67.76
1600,67.83
400,64.15
100,55.23
200,62.61
800,66.70
100,52.04
400,63.94
200,61.04
1600,68.65
100,51.05
1600,67.73
400,63.09
800,66.41
200,58.32
100,53.15
1600,68.29
400,64.80
800,66.51
200,62.10
400,65.90
200,59.79
100,54.50
800,66.43
1600,68.34
400,63.76
100,55.52
200,61.32
1600,68.07
800,67.54
1600,68.42
800,66.57
100,53.16
400,63.06
200,56.20
1600,69.07
400,63.81
100,46.68
800,67.42
200,58.93
400,63.50
100,53.53
1600,68.58
200,62.18
800,67.01
100,55.62
200,61.24
400,63.20
800,66.45
1600,68.29
800,67.06
1600,67.76
200,60.62
100,53.24
400,65.29
800,67.34
400,64.29
200,60.39
100,54.06
1600,68.86
