Date/Time, 2021-03-22_23:02
10,46.09
10,36.77
10,48.52
10,45.11
10,45.51
10,37.82
10,32.84
10,50.50
10,34.50
10,46.05
10,48.61
10,41.92
10,45.97
10,39.70
10,29.78
10,40.52
10,41.94
10,39.72
10,41.33
10,26.40
10,50.92
10,39.77
10,21.24
10,46.32
10,29.61
10,43.10
10,43.65
10,43.91
10,49.24
10,43.26
10,37.87
10,33.09
10,37.15
10,26.05
10,34.16
10,20.41
10,32.74
10,26.62
10,45.91
10,33.00
10,28.32
10,35.99
10,47.02
10,39.41
10,35.87
10,47.26
10,43.27
10,34.72
10,45.79
10,35.50
10,46.38
10,46.99
10,39.61
10,44.51
10,47.39
10,40.96
10,43.63
10,50.71
10,41.30
10,35.50
10,40.80
10,43.35
10,40.38
10,41.88
10,52.59
10,45.33
10,41.48
10,38.71
10,38.45
10,44.81
10,48.40
10,28.58
10,43.68
10,36.90
10,32.64
10,16.16
10,47.85
10,36.68
10,33.49
10,39.68
10,52.27
10,34.01
10,47.24
10,49.49
10,38.39
10,42.41
10,33.31
10,35.91
10,44.99
10,31.29
10,44.00
10,22.07
10,34.65
10,41.39
10,32.81
10,37.00
10,29.89
10,32.99
10,47.08
10,41.44
