Date/Time, 2020-07-16_18:51
30,47.81
30,45.08
30,53.23
30,50.13
30,51.41
30,50.42
30,54.45
30,50.10
30,43.55
30,53.07
30,51.23
30,52.37
30,52.51
30,46.91
30,46.85
30,44.58
30,52.76
30,45.56
30,43.59
30,47.74
30,45.31
30,45.60
30,46.97
30,43.06
30,45.19
30,46.70
30,46.75
30,49.58
30,51.95
30,41.79
30,51.77
30,47.72
30,46.00
30,40.60
30,50.31
30,44.74
30,49.69
30,49.72
30,39.67
30,44.23
30,32.47
30,52.24
30,51.14
30,44.94
30,47.77
30,45.47
30,43.69
30,50.81
30,46.66
30,43.36
30,51.87
30,47.47
30,46.95
30,46.99
30,43.34
30,52.40
30,42.46
30,54.64
30,55.30
30,41.79
30,52.01
30,42.40
30,52.22
30,52.16
30,49.14
30,54.71
30,47.58
30,44.12
30,49.97
30,54.95
30,55.40
30,49.55
30,45.10
30,39.18
30,39.37
30,37.74
30,44.69
30,51.44
30,46.44
30,43.73
30,53.31
30,45.91
30,48.58
30,49.31
30,46.30
30,36.60
30,53.66
30,38.79
30,46.86
30,51.55
30,50.17
30,47.70
30,44.05
30,47.11
30,51.90
30,45.91
30,45.32
30,42.92
30,44.83
30,39.96
