Date/Time, 2020-07-16_16:38
10,16.45
10,15.53
30,16.37
50,24.41
40,19.83
50,19.73
30,22.91
20,15.46
20,15.97
40,18.51
40,20.81
10,13.37
20,17.84
30,18.30
30,17.65
20,15.97
40,19.31
50,19.57
10,17.08
50,22.62
10,15.78
20,19.63
30,20.63
40,19.93
10,13.38
20,14.41
40,20.60
30,17.29
50,20.83
10,15.76
50,22.67
20,19.52
30,19.48
40,18.65
10,15.03
20,17.57
50,22.50
30,21.60
10,13.12
50,24.15
40,21.75
20,15.06
10,15.89
40,22.02
50,22.45
20,17.54
30,19.18
30,19.91
40,21.95
50,19.26
10,14.85
20,16.29
30,16.08
40,17.33
50,25.10
10,15.38
30,16.04
20,16.06
40,19.36
10,15.74
50,20.45
20,16.26
30,18.98
40,22.08
50,22.84
10,17.77
30,20.89
20,13.41
40,22.30
50,21.15
10,18.05
20,19.08
30,16.31
10,18.30
40,18.84
50,19.03
20,19.25
40,18.62
30,16.86
50,18.40
20,19.43
10,14.76
30,19.32
50,25.31
40,19.84
20,16.77
10,20.15
30,16.84
10,14.27
20,15.10
40,16.71
50,20.18
30,22.64
20,17.55
40,18.67
10,16.17
50,20.48
30,19.92
10,15.27
20,18.14
50,21.46
40,23.59
30,23.96
40,22.42
20,16.91
50,19.55
10,14.19
30,16.71
40,19.05
10,18.15
50,20.65
20,15.16
30,20.76
10,13.63
40,22.22
20,16.33
50,18.29
30,17.88
10,13.61
40,20.97
50,24.80
30,18.95
20,14.58
40,23.15
10,14.73
20,17.61
50,18.17
30,18.98
10,14.98
50,25.84
40,19.07
20,17.86
30,18.90
40,21.23
20,18.57
10,13.27
50,20.54
30,17.80
50,20.04
40,22.83
10,13.78
20,17.94
30,17.56
40,19.73
10,12.95
50,21.65
20,14.96
30,19.85
10,15.72
50,22.20
40,20.11
30,19.17
20,17.13
40,21.71
10,14.82
20,16.20
50,21.68
30,17.68
50,25.95
40,18.18
10,15.38
30,16.35
20,16.42
50,28.71
40,17.51
10,13.81
20,15.71
10,14.42
30,17.11
40,18.39
50,20.98
20,21.19
40,21.59
30,19.21
50,22.99
10,14.49
20,15.72
10,18.25
40,20.05
50,21.91
30,18.72
20,17.51
30,20.13
40,21.82
10,13.64
50,19.89
20,15.24
10,13.76
40,19.50
50,26.25
30,17.28
20,18.68
30,17.52
10,13.58
40,17.82
50,22.12
20,17.19
30,20.41
40,24.52
50,21.19
10,13.69
20,15.72
30,17.91
40,17.12
10,14.28
50,19.12
20,13.48
30,16.04
50,22.32
40,18.92
10,13.08
20,14.99
30,19.51
40,19.78
10,15.92
20,15.07
50,22.41
30,18.83
50,21.23
10,17.23
40,18.51
20,16.45
30,19.61
40,18.96
20,18.23
10,15.09
50,19.42
30,17.39
10,16.01
40,21.23
50,21.02
30,26.39
20,15.30
40,24.12
50,19.72
20,18.57
10,14.54
30,16.68
50,25.41
40,18.72
20,14.62
10,15.62
30,17.04
40,19.73
10,16.54
50,21.19
30,19.47
20,14.92
40,18.28
50,23.93
10,17.73
20,23.77
30,17.48
40,21.21
50,18.96
10,15.17
20,15.95
30,23.61
10,16.86
40,19.64
50,20.44
20,15.52
30,19.56
40,17.85
50,17.74
10,15.18
30,16.42
20,16.22
40,19.57
10,15.88
20,19.28
50,25.07
30,18.58
40,18.15
10,16.01
50,22.06
20,15.63
30,17.12
40,17.95
10,18.84
20,17.63
50,18.35
30,21.78
10,12.44
50,21.09
20,16.32
40,19.03
30,18.93
40,17.98
