Date/Time, 2020-07-16_14:20
40,10.60
50,11.61
40,28.87
30,10.31
20,10.17
50,10.41
10,10.41
30,10.21
20,11.05
10,10.14
40,10.55
50,29.53
30,10.42
40,13.56
10,10.00
20,10.19
10,10.01
30,11.79
20,10.89
50,10.98
20,10.20
40,12.08
50,13.73
30,10.93
10,10.01
10,10.03
30,10.28
20,10.28
50,12.07
40,23.91
30,10.76
20,10.17
40,19.49
10,10.14
50,18.17
50,18.06
40,16.49
10,10.05
30,10.21
20,11.37
40,11.35
30,10.39
20,10.18
50,13.79
10,10.11
40,18.53
10,10.13
30,10.19
20,10.81
50,19.15
40,10.40
50,21.35
30,10.28
20,10.09
10,10.13
20,10.09
30,10.63
10,10.00
50,11.13
40,13.16
10,10.30
50,10.63
30,11.55
20,10.12
40,13.90
10,11.79
40,11.27
30,10.71
20,10.13
50,16.63
30,10.13
30,15.62
40,10.40
10,10.00
40,16.57
20,10.04
50,10.43
20,10.15
50,10.61
10,10.01
20,10.06
30,15.83
40,11.22
50,17.73
10,10.00
20,10.17
30,15.03
10,10.14
50,10.31
40,10.59
10,10.07
40,10.22
50,10.45
20,10.11
30,10.28
30,10.26
40,10.13
50,10.15
20,10.46
10,10.09
40,12.84
50,11.44
10,10.05
30,10.36
20,15.96
10,10.06
40,18.84
50,10.82
20,10.23
30,10.93
20,10.38
30,11.01
10,10.04
40,11.98
50,11.19
50,13.28
40,10.23
10,10.07
20,10.28
30,10.76
20,10.70
10,10.11
30,10.40
40,10.75
50,10.19
30,18.66
10,10.03
40,10.43
50,10.43
20,10.08
20,10.46
40,23.55
50,17.18
10,13.03
30,10.12
50,25.73
30,10.23
40,10.25
10,10.03
20,16.45
10,10.03
30,11.04
20,10.04
40,10.30
40,12.39
50,10.62
30,11.62
10,10.00
50,10.92
20,10.40
20,21.05
30,10.14
10,10.04
40,12.35
50,12.73
10,9.78
50,11.16
40,10.37
30,10.33
20,15.14
20,10.07
40,10.36
10,10.03
50,12.65
30,10.19
30,10.95
50,26.74
20,10.09
10,10.04
40,10.24
50,13.36
30,10.57
40,10.39
20,10.25
10,11.04
40,10.81
30,11.48
20,10.05
50,12.73
10,10.00
50,10.27
20,10.08
30,10.31
40,11.31
10,10.09
30,10.17
10,10.09
50,14.13
20,10.19
40,11.24
50,14.17
40,10.27
30,10.20
20,11.00
10,10.83
30,10.31
40,10.45
20,10.13
10,10.29
50,11.61
40,12.10
10,10.30
50,14.28
30,10.42
20,10.07
40,10.75
10,19.55
50,11.46
20,10.20
30,10.67
50,11.13
20,10.24
30,10.49
40,13.58
10,10.03
10,10.02
40,10.56
30,10.10
20,10.09
50,18.68
20,10.18
40,10.92
30,21.82
10,10.03
50,10.67
20,10.22
50,10.28
40,11.82
10,10.00
30,10.18
20,18.31
40,26.12
30,11.19
10,10.03
20,10.21
40,15.97
50,10.45
10,10.02
50,11.74
30,22.42
30,14.87
50,10.59
40,10.37
10,10.01
20,10.08
30,13.90
20,10.11
10,10.06
40,11.41
50,18.73
10,11.30
50,10.65
30,10.25
20,10.09
40,10.63
20,10.16
10,10.05
50,18.79
40,17.20
30,10.58
40,11.62
30,12.36
20,10.26
10,10.02
50,11.35
30,10.49
50,17.83
10,10.08
20,10.41
40,10.40
40,19.52
30,24.11
10,10.02
20,10.07
50,16.60
10,10.06
30,10.53
40,10.20
50,17.93
20,10.03
40,10.58
50,14.26
30,16.62
20,10.38
10,10.02
30,10.18
20,10.36
10,10.06
40,12.84
50,11.24
40,10.61
10,10.13
30,10.16
50,26.96
50,10.90
20,11.23
10,10.03
40,13.60
20,10.19
30,11.06
10,11.88
40,13.70
20,10.20
20,10.64
30,10.32
50,11.28
50,14.78
30,10.19
40,18.97
10,10.04
40,11.09
10,10.06
20,10.21
30,10.47
50,10.30
50,20.65
40,10.28
20,10.29
10,10.06
30,10.19
40,10.68
20,12.64
10,9.98
20,10.24
30,10.14
50,14.77
40,10.70
30,12.49
10,10.07
50,33.89
20,16.74
40,17.82
30,13.37
10,10.05
50,11.82
50,16.01
30,10.54
40,10.52
20,10.87
10,10.01
40,10.76
20,10.15
30,10.20
50,10.74
10,10.08
10,10.15
40,10.20
20,10.39
50,10.31
30,11.76
20,10.13
40,17.71
10,10.03
50,15.61
30,10.16
50,21.47
40,10.83
30,10.12
20,10.50
10,10.09
10,10.19
30,10.30
20,10.15
40,10.33
50,10.63
40,10.16
50,11.22
20,10.20
30,18.11
